선수명,ID,팀명,평균자책점,경기,승리,패배,세이브,홀드,승률,이닝,피안타,홈런,볼넷,사구,삼진,실점,자책점,이닝당_출루허용률,완투,완봉,퀄리티스타트,블론세이브,타자수,투구수,피안타율,2루타,3루타,희생번트,희생플라이,고의4구,폭투,보크,선발,선발승,구원승,종료,세이브기회,터프세이브,병살타,땅볼,뜬공,땅볼/뜬공,인플레이타구타율,투구수/경기,투구수/이닝,9이닝당 삼진,9이닝당 볼넷,삼진/볼넷,피출루율,피장타율,피OPS
임준혁,73632,KIA,1.74,7,0,0,0,0,-,10 1/3,8,0,12,1,4,3,2,1.94,0,0,0,0,50,198,0.235,3,0,1,2,0,2,1,1,0,0,1,0,0,1,10,14,0.71,0.250,28.3,19.2,3.48,10.45,0.33,0.429,0.324,0.753
한기주,76610,KIA,2.43,55,2,3,25,0,0.400,70 1/3,53,4,19,9,66,19,19,1.02,0,0,0,4,280,1066,0.212,9,0,2,0,2,2,1,0,0,2,50,29,3,12,85,46,1.85,0.272,19.4,15.2,8.45,2.43,3.47,0.291,0.296,0.587
로드리게스,77649,KIA,3.13,30,0,1,1,10,0.000,31 2/3,32,3,20,3,15,11,11,1.64,0,0,0,0,144,579,0.267,9,1,0,1,1,0,2,0,0,0,3,10,0,4,50,24,2.08,0.282,19.3,18.3,4.26,5.68,0.75,0.382,0.433,0.815
손영민,76639,KIA,3.21,54,3,1,0,2,0.750,73,61,4,29,15,46,29,26,1.23,0,0,0,1,316,1227,0.229,17,1,4,2,2,3,1,1,0,3,4,1,0,8,79,82,0.96,0.261,22.7,16.8,5.67,3.58,1.59,0.337,0.346,0.683
윤석민,75620,KIA,3.78,28,7,18,0,0,0.280,162,161,10,59,15,104,76,68,1.36,2,1,14,0,703,2623,0.266,33,2,23,1,1,2,0,26,7,0,2,0,0,14,207,134,1.54,0.307,93.7,16.2,5.78,3.28,1.76,0.346,0.377,0.723
윤형진,70655,KIA,3.86,3,0,0,0,0,-,4 2/3,6,0,3,0,3,2,2,1.93,0,0,0,0,23,93,0.333,0,0,2,0,0,1,0,0,0,0,0,0,0,0,5,4,1.25,0.400,31.0,19.9,5.79,5.79,1.00,0.429,0.333,0.762
스코비,77658,KIA,3.92,22,8,10,0,0,0.444,126 1/3,123,11,62,5,58,57,55,1.46,0,0,14,0,543,1971,0.269,33,0,15,4,6,4,0,20,8,0,1,0,0,17,178,102,1.75,0.286,89.6,15.6,4.13,4.42,0.94,0.360,0.414,0.774
이대진,93626,KIA,4.11,17,7,6,0,0,0.538,76 2/3,65,5,45,4,47,37,35,1.43,0,0,5,0,335,1292,0.239,16,2,8,5,1,7,1,16,7,0,0,0,0,8,77,88,0.88,0.267,76.0,16.9,5.52,5.28,1.04,0.350,0.368,0.718
양현종,77637,KIA,4.17,31,1,2,0,0,0.333,49 2/3,39,7,31,2,48,24,23,1.41,0,0,0,0,217,920,0.222,8,1,6,2,1,2,0,6,1,0,8,1,0,2,38,53,0.72,0.260,29.7,18.5,8.70,5.62,1.55,0.341,0.398,0.739
전병두,73228,KIA,4.18,9,3,2,0,0,0.600,28,23,3,14,2,9,15,13,1.32,0,0,0,0,122,490,0.221,7,1,1,1,0,3,0,6,3,0,0,0,0,1,27,46,0.59,0.215,54.4,17.5,2.89,4.50,0.64,0.322,0.394,0.716
에서튼,77659,KIA,4.22,6,2,2,0,0,0.500,32,28,8,12,0,24,16,15,1.25,0,0,3,0,137,540,0.226,4,0,1,0,2,2,0,6,2,0,0,0,0,0,22,50,0.44,0.217,90.0,16.9,6.75,3.38,2.00,0.294,0.452,0.746
