선수명,연도,소속팀명,연봉,WAR,상세url
카페얀,2010,한화,"900,000",-0.810,http://www.statiz.co.kr/player.php?name=카페얀
류현진,2010,한화,"27,000",9.198,http://www.statiz.co.kr/player.php?name=류현진
구대성,2010,한화,"20,000",-0.164,http://www.statiz.co.kr/player.php?name=구대성
강동우,2010,한화,"15,000",0.514,http://www.statiz.co.kr/player.php?name=강동우
이영우,2010,한화,"13,000",-0.426,http://www.statiz.co.kr/player.php?name=이영우
신경현,2010,한화,"11,500",1.406,http://www.statiz.co.kr/player.php?name=신경현
안영명,2010,한화,"10,500",,http://www.statiz.co.kr/player.php?name=안영명
김태완,2010,한화,"10,000",2.542,http://www.statiz.co.kr/player.php?name=김태완
이도형,2010,한화,"10,000",0.351,http://www.statiz.co.kr/player.php?name=이도형
마정길,2010,한화,"8,000",,http://www.statiz.co.kr/player.php?name=마정길
이대수,2010,한화,"8,000",0.461,http://www.statiz.co.kr/player.php?name=이대수
양훈,2010,한화,"7,500",0.086,http://www.statiz.co.kr/player.php?name=양훈
최영필,2010,한화,"7,000",-0.388,http://www.statiz.co.kr/player.php?name=최영필
윤규진,2010,한화,"6,500",1.032,http://www.statiz.co.kr/player.php?name=윤규진
송광민,2010,한화,"6,000",0.721,http://www.statiz.co.kr/player.php?name=송광민
유원상,2010,한화,"5,500",1.352,http://www.statiz.co.kr/player.php?name=유원상
추승우,2010,한화,"4,500",0.627,http://www.statiz.co.kr/player.php?name=추승우
김혁민,2010,한화,"4,200",-0.317,http://www.statiz.co.kr/player.php?name=김혁민
정원석,2010,한화,"3,700",3.043,http://www.statiz.co.kr/player.php?name=정원석
이여상,2010,한화,"3,500",-0.028,http://www.statiz.co.kr/player.php?name=이여상
박정진,2010,한화,"3,500",2.686,http://www.statiz.co.kr/player.php?name=박정진
전근표,2010,한화,"3,300",-0.100,http://www.statiz.co.kr/player.php?name=전근표
이희근,2010,한화,"3,000",-0.436,http://www.statiz.co.kr/player.php?name=이희근
최진행,2010,한화,"3,000",3.110,http://www.statiz.co.kr/player.php?name=최진행
박노민,2010,한화,"3,000",0.012,http://www.statiz.co.kr/player.php?name=박노민
황재규,2010,한화,"3,000",-0.070,http://www.statiz.co.kr/player.php?name=황재규
오선진,2010,한화,"3,000",-0.957,http://www.statiz.co.kr/player.php?name=오선진
정희상,2010,한화,"2,900",0.191,http://www.statiz.co.kr/player.php?name=정희상
허유강,2010,한화,"2,800",-0.258,http://www.statiz.co.kr/player.php?name=허유강
정현석,2010,한화,"2,800",0.193,http://www.statiz.co.kr/player.php?name=정현석
박성호,2010,한화,"2,600",,http://www.statiz.co.kr/player.php?name=박성호
정재원,2010,한화,"2,600",-0.118,http://www.statiz.co.kr/player.php?name=정재원
신주영,2010,한화,"2,600",,http://www.statiz.co.kr/player.php?name=신주영
김강,2010,한화,"2,500",0.273,http://www.statiz.co.kr/player.php?name=김강
전현태,2010,한화,"2,500",0.114,http://www.statiz.co.kr/player.php?name=전현태
서정,2010,한화,"2,400",,http://www.statiz.co.kr/player.php?name=서정
박상규,2010,한화,"2,400",,http://www.statiz.co.kr/player.php?name=박상규
구본범,2010,한화,"2,400",,http://www.statiz.co.kr/player.php?name=구본범
김강석,2010,한화,"2,400",-0.044,http://www.statiz.co.kr/player.php?name=김강석
김주,2010,한화,"2,400",,http://www.statiz.co.kr/player.php?name=김주
신해수,2010,한화,"2,400",0.081,http://www.statiz.co.kr/player.php?name=신해수
조성우,2010,한화,"2,400",,http://www.statiz.co.kr/player.php?name=조성우
윤기호,2010,한화,"2,400",0.000,http://www.statiz.co.kr/player.php?name=윤기호
양승진,2010,한화,"2,400",-0.756,http://www.statiz.co.kr/player.php?name=양승진
김기남,2010,한화,"2,400",,http://www.statiz.co.kr/player.php?name=김기남
윤경영,2010,한화,"2,400",0.060,http://www.statiz.co.kr/player.php?name=윤경영
장민제,2010,한화,"2,400",,http://www.statiz.co.kr/player.php?name=장민제
김사연,2010,한화,"2,400",,http://www.statiz.co.kr/player.php?name=김사연
한윤섭,2010,한화,"2,400",-0.013,http://www.statiz.co.kr/player.php?name=한윤섭
김회성,2010,한화,"2,400",-0.307,http://www.statiz.co.kr/player.php?name=김회성
김동영,2010,한화,"2,400",-0.100,http://www.statiz.co.kr/player.php?name=김동영
이양기,2010,한화,"2,300",-0.021,http://www.statiz.co.kr/player.php?name=이양기
