iter	Passed	Remaining
309	2801	177940
310	2810	177945
311	2821	178067
312	2830	178038
313	2837	177902
314	2843	177723
315	2851	177606
316	2859	177541
317	2866	177411
318	2872	177213
319	2880	177175
320	2890	177181
321	2897	177053
322	2905	176981
323	2911	176814
324	2919	176728
325	2927	176667
326	2933	176478
327	2938	176268
328	2945	176124
329	2951	175922
330	2957	175721
331	2962	175528
332	2969	175406
333	2979	175442
334	2988	175441
335	2998	175501
336	3007	175507
337	3017	175514
338	3025	175466
339	3033	175417
340	3041	175323
341	3050	175363
342	3058	175281
343	3068	175320
344	3078	175413
345	3087	175359
346	3095	175306
347	3104	175299
348	3111	175215
349	3119	175157
350	3128	175149
351	3136	175048
352	3143	174966
353	3152	174955
354	3159	174846
355	3168	174836
356	3177	174833
357	3184	174730
358	3192	174651
359	3200	174610
360	3209	174601
361	3218	174580
362	3224	174440
363	3232	174363
364	3240	174294
365	3248	174291
366	3256	174230
367	3264	174136
368	3271	174056
369	3279	173979
370	3288	174005
371	3297	173995
372	3306	173972
373	3313	173881
374	3321	173828
375	3329	173780
376	3337	173701
377	3344	173593
378	3350	173452
379	3356	173301
380	3364	173245
381	3372	173194
382	3379	173106
383	3388	173077
384	3395	172991
385	3404	172994
386	3412	172934
387	3422	172996
388	3433	173092
389	3443	173165
390	3452	173148
391	3459	173055
392	3470	173133
393	3480	173199
394	3487	173072
395	3496	173078
396	3502	172966
397	3512	172987
398	3520	172952
399	3529	172947
400	3539	172997
401	3548	173011
402	3556	172957
403	3566	173013
404	3574	172945
405	3581	172842
406	3589	172797
407	3598	172814
408	3609	172887
409	3618	172876
410	3627	172887
411	3637	172923
412	3642	172771
413	3648	172612
414	3657	172593
415	3668	172708
416	3676	172650
417	3686	172721
418	3696	172768
419	3707	172821
420	3715	172788
421	3725	172840
422	3733	172775
423	3743	172838
424	3753	172903
425	3763	172941
426	3773	172958
427	3782	172954
428	3791	172968
429	3801	173007
430	3812	173091
431	3821	173117
432	3830	173111
433	3838	173047
434	3845	172974
435	3854	172965
436	3863	172957
437	3871	172917
438	3882	172979
439	3892	173040
440	3902	173063
441	3909	172985
442	3916	172917
443	3924	172859
444	3931	172749
445	3939	172712
446	3945	172607
447	3954	172564
448	3960	172471
449	3968	172406
450	3976	172385
451	3984	172324
452	3991	172214
453	3996	172081
454	4005	172055
455	4012	171975
456	4021	171973
457	4030	171978
458	4039	171956
459	4047	171917
460	4055	171869
461	4063	171824
462	4072	171843
463	4078	171738
464	4087	171702
465	4093	171574
466	4100	171525
467	4110	171548
468	4117	171473
469	4126	171467
470	4135	171488
471	4142	171383
472	4150	171363
473	4157	171283
474	4166	171276
475	4174	171204
476	4181	171161
477	4191	171170
478	4198	171094
479	4207	171114
480	4214	171034
481	4223	171006
482	4232	171014
483	4241	171021
484	4250	171047
485	4259	171042
486	4266	170966
487	4274	170916
488	4283	170926
489	4293	170937
490	4301	170925
491	4309	170880
492	4317	170825
493	4324	170772
494	4332	170722
495	4340	170660
496	4348	170634
497	4356	170604
498	4364	170546
499	4372	170527
500	4379	170459
501	4389	170474
502	4397	170456
503	4405	170433
504	4415	170459
505	4425	170502
506	4434	170481
507	4443	170479
508	4451	170475
509	4462	170520
510	4469	170469
511	4478	170446
512	4488	170518
513	4500	170612
514	4511	170676
515	4522	170756
516	4531	170782
517	4542	170860
518	4552	170889
519	4560	170837
520	4568	170794
521	4574	170682
522	4581	170602
523	4590	170603
524	4595	170484
525	4602	170387
526	4610	170363
527	4619	170358
528	4628	170349
529	4635	170271
530	4644	170280
531	4653	170289
532	4661	170263
533	4669	170234
534	4677	170199
535	4685	170161
536	4694	170141
537	4703	170136
538	4710	170092
539	4719	170077
540	4729	170112
541	4738	170106
542	4747	170125
543	4754	170056
544	4764	170062
545	4772	170030
546	4781	170029
547	4790	170030
548	4800	170069
549	4809	170080
550	4816	170025
551	4825	170021
552	4833	169980
553	4840	169914
554	4848	169886
555	4856	169848
556	4863	169769
557	4870	169689
558	4876	169595
559	4886	169614
560	4893	169563
561	4900	169497
562	4907	169418
563	4915	169397
564	4923	169364
565	4931	169331
566	4938	169256
567	4945	169175
568	4953	169155
569	4961	169131
570	4969	169106
571	4977	169049
572	4985	169016
573	4992	168971
574	4999	168904
575	5008	168899
576	5017	168891
577	5023	168801
578	5031	168753
579	5039	168726
580	5047	168694
581	5055	168675
582	5062	168608
583	5070	168573
584	5078	168532
585	5087	168539
586	5098	168603
587	5106	168598
588	5115	168592
589	5124	168592
590	5133	168576
591	5140	168524
592	5147	168452
593	5154	168400
594	5161	168346
595	5169	168299
596	5177	168265
597	5183	168165
598	5190	168125
599	5198	168099
600	5206	168040
601	5212	167968
602	5218	167875
603	5229	167925
604	5237	167903
605	5243	167800
606	5248	167688
607	5258	167707
608	5267	167719
609	5275	167696
610	5283	167653
611	5291	167627
612	5297	167551
613	5305	167497
614	5311	167427
615	5320	167411
616	5329	167421
617	5337	167400
618	5346	167387
619	5352	167303
620	5357	167191
621	5363	167087
622	5369	166992
623	5376	166941
624	5385	166940
625	5392	166890
626	5401	166891
627	5410	166883
628	5419	166887
629	5425	166813
630	5433	166785
631	5442	166781
632	5451	166786
633	5458	166723
634	5466	166699
635	5473	166655
636	5484	166701
637	5492	166689
638	5502	166711
639	5511	166723
640	5518	166676
641	5526	166652
642	5533	166568
643	5539	166508
644	5548	166499
645	5555	166442
646	5563	166421
647	5573	166442
648	5580	166397
649	5587	166330
650	5595	166310
651	5604	166300
652	5611	166245
653	5620	166260
654	5629	166275
655	5639	166290
656	5648	166293
657	5656	166283
658	5663	166229
659	5672	166232
660	5680	166189
661	5690	166223
662	5698	166206
663	5708	166227
664	5717	166224
665	5725	166209
666	5734	166205
667	5742	166185
668	5746	166048
669	5755	166036
670	5762	165985
671	5771	166003
672	5779	165986
673	5788	165967
674	5795	165919
675	5803	165901
676	5812	165895
677	5819	165840
678	5826	165793
679	5834	165763
680	5841	165722
681	5849	165702
682	5856	165638
683	5864	165617
684	5873	165609
685	5882	165623
686	5892	165639
687	5900	165614
688	5908	165596
689	5917	165598
690	5924	165544
691	5931	165487
692	5937	165426
693	5947	165439
694	5954	165388
695	5961	165336
696	5969	165331
697	5977	165284
698	5984	165232
699	5991	165192
700	6000	165187
701	6008	165183
702	6017	165187
703	6026	165190
704	6033	165142
705	6043	165156
706	6051	165132
707	6059	165125
708	6066	165068
709	6076	165100
710	6084	165072
711	6092	165039
712	6101	165049
713	6108	164999
714	6117	164991
715	6127	165024
716	6136	165036
717	6145	165041
718	6155	165061
719	6163	165037
720	6171	165029
721	6180	165022
722	6188	164996
723	6198	165027
724	6207	165033
725	6214	164995
726	6222	164968
727	6229	164914
728	6238	164917
729	6246	164898
730	6253	164829
731	6260	164803
732	6267	164735
733	6274	164703
734	6281	164638
735	6288	164583
736	6294	164528
737	6302	164499
738	6308	164435
739	6314	164355
740	6323	164358
741	6330	164308
742	6338	164268
743	6343	164181
744	6350	164125
745	6358	164107
746	6366	164094
747	6376	164122
748	6383	164064
749	6390	164024
750	6399	164036
751	6409	164046
752	6417	164032
753	6424	163989
754	6433	163978
755	6440	163936
756	6447	163889
757	6455	163880
758	6464	163870
759	6473	163869
760	6480	163847
761	6490	163862
762	6497	163813
763	6503	163749
764	6512	163757
765	6521	163755
766	6531	163782
767	6540	163792
768	6547	163741
769	6557	163766
770	6566	163767
771	6572	163709
772	6583	163757
773	6591	163740
774	6599	163704
775	6606	163656
776	6614	163646
777	6622	163610
778	6628	163558
779	6635	163508
780	6643	163476
781	6651	163464
782	6661	163479
783	6669	163482
784	6677	163448
785	6685	163435
786	6694	163422
787	6701	163398
788	6710	163379
789	6718	163367
790	6727	163364
791	6734	163339
792	6743	163339
793	6751	163304
794	6758	163276
795	6764	163199
796	6772	163181
797	6779	163144
798	6790	163187
799	6798	163172
800	6807	163168
801	6814	163115
802	6821	163089
803	6831	163096
804	6840	163112
805	6847	163075
806	6858	163109
807	6867	163122
808	6875	163107
809	6884	163094
810	6894	163141
811	6902	163121
812	6910	163080
813	6917	163039
814	6924	163008
815	6933	162995
816	6941	162973
817	6951	163002
818	6958	162973
819	6968	163004
820	6978	163014
821	6986	163007
822	6995	162996
823	7001	162945
824	7010	162936
825	7016	162876
826	7024	162855
827	7033	162863
828	7042	162863
829	7050	162839
830	7060	162866
831	7070	162887
832	7077	162852
833	7085	162839
834	7095	162858
835	7105	162882
836	7114	162876
837	7122	162861
838	7130	162844
839	7138	162823
840	7146	162800
841	7154	162778
842	7165	162825
843	7175	162848
844	7183	162847
845	7191	162825
846	7200	162819
847	7207	162788
848	7215	162768
849	7223	162734
850	7229	162686
851	7239	162698
852	7246	162662
853	7256	162686
854	7264	162672
855	7272	162648
856	7282	162670
857	7291	162673
858	7300	162671
859	7308	162660
860	7316	162644
861	7324	162618
862	7331	162584
863	7340	162568
864	7347	162538
865	7356	162540
866	7363	162493
867	7371	162488
868	7379	162450
869	7387	162436
870	7393	162371
871	7399	162318
872	7408	162310
873	7416	162302
874	7425	162292
875	7433	162273
876	7441	162270
877	7448	162215
878	7457	162213
879	7464	162181
880	7473	162183
881	7482	162190
882	7490	162173
883	7500	162189
884	7508	162185
885	7515	162139
886	7524	162130
887	7534	162152
888	7543	162160
889	7552	162162
890	7559	162121
891	7566	162079
892	7574	162061
893	7584	162088
894	7594	162110
895	7603	162109
896	7609	162062
897	7617	162031
898	7626	162030
899	7632	161986
900	7640	161970
901	7647	161926
902	7655	161896
903	7663	161885
904	7671	161865
905	7677	161813
906	7687	161826
907	7694	161796
908	7701	161748
909	7710	161751
910	7717	161717
911	7725	161686
912	7731	161643
913	7739	161616
914	7746	161584
915	7754	161560
916	7762	161546
917	7771	161540
918	7779	161520
919	7787	161512
920	7795	161493
921	7803	161462
922	7810	161428
923	7819	161427
924	7826	161395
925	7834	161375
926	7841	161330
927	7848	161301
928	7855	161259
929	7863	161251
930	7869	161191
931	7877	161165
932	7885	161140
933	7892	161109
934	7899	161073
935	7906	161026
936	7912	160982
937	7918	160927
938	7926	160892
939	7933	160854
940	7941	160843
941	7950	160841
942	7957	160811
943	7964	160769
944	7970	160727
945	7978	160696
946	7985	160658
947	7994	160656
948	8002	160645
949	8010	160639
950	8019	160635
951	8027	160619
952	8035	160591
953	8041	160543
954	8048	160515
955	8057	160516
956	8065	160496
957	8073	160471
958	8079	160412
959	8085	160356
960	8093	160336
961	8098	160273
962	8108	160282
963	8113	160216
964	8118	160147
965	8126	160116
966	8136	160139
967	8144	160139
968	8151	160086
969	8159	160083
970	8166	160036
971	8174	160019
972	8181	159986
973	8190	159999
974	8200	160009
975	8209	160017
976	8215	159961
977	8221	159913
978	8230	159904
979	8237	159875
980	8245	159850
981	8252	159826
982	8260	159801
983	8268	159782
984	8275	159755
985	8282	159712
986	8288	159669
987	8294	159605
988	8301	159570
989	8308	159543
990	8315	159509
991	8321	159457
992	8329	159431
993	8338	159431
994	8346	159424
995	8357	159462
996	8365	159447
997	8371	159399
998	8381	159409
999	8392	159448
1000	8401	159461
1001	8408	159417
1002	8415	159393
1003	8425	159419
1004	8434	159413
1005	8443	159423
1006	8449	159371
1007	8460	159399
1008	8469	159403
1009	8477	159394
1010	8487	159415
1011	8497	159429
1012	8507	159457
1013	8514	159432
1014	8523	159422
1015	8531	159419
1016	8542	159447
1017	8551	159451
1018	8560	159450
1019	8568	159439
1020	8575	159398
1021	8583	159389
1022	8590	159358
1023	8598	159335
1024	8605	159303
1025	8612	159266
1026	8620	159248
1027	8628	159249
1028	8636	159221
1029	8645	159229
1030	8655	159252
1031	8666	159284
1032	8673	159258
1033	8682	159257
1034	8690	159248
1035	8699	159239
1036	8709	159263
1037	8717	159248
1038	8724	159208
1039	8734	159227
1040	8745	159267
1041	8753	159250
1042	8759	159212
1043	8766	159180
1044	8776	159199
1045	8784	159186
1046	8791	159140
1047	8800	159140
1048	8806	159091
1049	8814	159084
1050	8821	159054
1051	8830	159041
1052	8837	159012
1053	8844	158991
1054	8852	158972
1055	8860	158949
1056	8868	158928
1057	8875	158897
1058	8883	158882
1059	8893	158905
1060	8901	158885
1061	8909	158876
1062	8916	158836
1063	8923	158807
1064	8930	158782
1065	8939	158783
1066	8947	158766
1067	8955	158743
1068	8963	158734
1069	8970	158699
1070	8978	158693
1071	8988	158700
1072	8994	158659
1073	9003	158654
1074	9011	158638
1075	9018	158618
1076	9027	158613
1077	9033	158570
1078	9042	158560
1079	9049	158529
1080	9058	158529
1081	9066	158525
1082	9074	158498
1083	9081	158467
1084	9090	158477
1085	9099	158476
1086	9107	158457
1087	9116	158470
1088	9124	158451
1089	9134	158466
1090	9141	158446
1091	9149	158426
1092	9156	158390
1093	9164	158381
1094	9172	158361
1095	9180	158339
1096	9186	158303
1097	9193	158261
1098	9201	158253
1099	9209	158241
1100	9216	158210
1101	9224	158182
1102	9232	158173
1103	9240	158153
1104	9248	158147
1105	9256	158138
1106	9265	158129
1107	9272	158103
1108	9281	158101
1109	9287	158058
1110	9293	158004
1111	9299	157959
1112	9307	157950
1113	9315	157931
1114	9324	157939
1115	9331	157898
1116	9338	157870
1117	9346	157850
1118	9353	157817
1119	9361	157811
1120	9369	157786
1121	9375	157747
1122	9383	157731
1123	9390	157699
1124	9398	157686
1125	9407	157689
1126	9417	157700
1127	9426	157701
1128	9436	157721
1129	9444	157708
1130	9452	157701
1131	9461	157698
1132	9467	157661
1133	9476	157663
1134	9485	157651
1135	9492	157625
1136	9500	157607
1137	9508	157594
1138	9515	157567
1139	9523	157551
1140	9532	157555
1141	9540	157536
1142	9546	157494
1143	9551	157440
1144	9557	157383
1145	9564	157362
1146	9572	157341
1147	9579	157314
1148	9587	157297
1149	9596	157304
1150	9604	157286
1151	9611	157249
1152	9619	157239
1153	9628	157238
1154	9634	157197
1155	9640	157154
1156	9647	157126
1157	9655	157104
1158	9663	157088
1159	9669	157053
1160	9678	157051
1161	9686	157042
1162	9696	157059
1163	9704	157036
1164	9713	157035
1165	9720	157019
1166	9728	156992
1167	9735	156974
1168	9741	156922
1169	9749	156905
1170	9758	156917
1171	9766	156902
1172	9773	156867
1173	9781	156849
1174	9789	156844
1175	9796	156816
1176	9807	156844
1177	9814	156823
1178	9822	156800
1179	9830	156783
1180	9839	156784
1181	9847	156779
1182	9857	156800
1183	9865	156776
1184	9873	156775
1185	9882	156768
1186	9890	156758
1187	9898	156738
1188	9907	156750
1189	9914	156722
1190	9921	156683
1191	9927	156648
1192	9934	156611
1193	9942	156602
1194	9951	156599
1195	9960	156597
1196	9970	156613
1197	9977	156587
1198	9985	156571
1199	9992	156553
1200	10001	156548
1201	10010	156551
1202	10018	156541
1203	10026	156519
1204	10032	156481
1205	10038	156437
1206	10045	156409
1207	10052	156373
1208	10060	156361
1209	10069	156371
1210	10076	156341
1211	10082	156302
1212	10089	156272
1213	10095	156223
1214	10104	156228
1215	10113	156230
1216	10122	156221
1217	10129	156198
1218	10137	156183
1219	10146	156197
1220	10155	156199
1221	10165	156205
1222	10175	156226
1223	10185	156242
1224	10195	156265
1225	10203	156249
1226	10209	156210
1227	10220	156229
1228	10229	156232
1229	10239	156256
1230	10248	156260
1231	10254	156220
1232	10260	156167
1233	10266	156128
1234	10274	156111
1235	10280	156075
1236	10288	156060
1237	10298	156077
1238	10307	156077
1239	10316	156085
1240	10325	156085
1241	10335	156098
1242	10341	156056
1243	10347	156015
1244	10357	156023
1245	10365	156017
1246	10373	156006
1247	10380	155979
1248	10387	155943
1249	10397	155962
1250	10405	155946
1251	10412	155922
1252	10420	155913
1253	10428	155900
1254	10436	155880
1255	10443	155851
1256	10452	155849
1257	10462	155866
1258	10468	155836
1259	10476	155812
1260	10482	155776
1261	10490	155762
1262	10499	155756
1263	10505	155726
1264	10515	155733
1265	10523	155726
1266	10530	155698
1267	10536	155660
1268	10544	155644
1269	10553	155636
1270	10561	155627
1271	10567	155588
1272	10575	155575
1273	10582	155550
1274	10589	155518
1275	10598	155516
1276	10605	155497
1277	10613	155489
1278	10622	155490
1279	10631	155485
1280	10638	155457
1281	10645	155426
1282	10651	155390
1283	10659	155369
1284	10667	155363
1285	10675	155354
1286	10684	155350
1287	10691	155320
1288	10698	155300
1289	10709	155322
1290	10718	155332
1291	10726	155313
1292	10734	155301
1293	10742	155293
1294	10749	155271
1295	10758	155273
1296	10767	155266
1297	10775	155251
1298	10782	155229
1299	10790	155217
1300	10800	155228
1301	10808	155217
1302	10816	155203
1303	10822	155165
1304	10831	155162
1305	10837	155121
1306	10844	155101
1307	10851	155078
1308	10859	155063
1309	10867	155050
1310	10874	155021
1311	10881	154992
1312	10890	154991
1313	10897	154968
1314	10904	154946
1315	10912	154935
1316	10920	154922
1317	10929	154920
1318	10938	154921
1319	10946	154908
1320	10952	154871
1321	10961	154873
1322	10972	154897
1323	10979	154867
1324	10987	154854
1325	10993	154817
1326	11000	154799
1327	11007	154774
1328	11014	154748
1329	11023	154742
1330	11032	154750
1331	11041	154751
1332	11050	154745
1333	11058	154734
1334	11064	154695
1335	11070	154654
1336	11079	154658
1337	11085	154612
1338	11092	154592
1339	11100	154582
1340	11106	154545
1341	11115	154536
1342	11122	154520
1343	11131	154518
1344	11138	154493
1345	11147	154494
1346	11155	154479
1347	11163	154462
1348	11171	154455
1349	11180	154452
1350	11187	154426
1351	11195	154424
1352	11203	154406
1353	11211	154390
1354	11221	154402
1355	11227	154375
1356	11234	154339
1357	11241	154318
1358	11250	154321
1359	11258	154314
1360	11268	154317
1361	11274	154289
1362	11281	154252
1363	11290	154257
1364	11300	154273
1365	11307	154252
1366	11314	154227
1367	11323	154220
1368	11331	154216
1369	11340	154220
1370	11348	154207
1371	11357	154200
1372	11365	154186
1373	11372	154167
1374	11381	154169
1375	11388	154142
1376	11396	154134
1377	11405	154135
