선수명,ID,팀명,평균자책점,경기,승리,패배,세이브,홀드,승률,이닝,피안타,홈런,볼넷,사구,삼진,실점,자책점,이닝당_출루허용률,완투,완봉,퀄리티스타트,블론세이브,타자수,투구수,피안타율,2루타,3루타,희생번트,희생플라이,고의4구,폭투,보크,선발,선발승,구원승,종료,세이브기회,터프세이브,병살타,땅볼,뜬공,땅볼/뜬공,인플레이타구타율,투구수/경기,투구수/이닝,9이닝당 삼진,9이닝당 볼넷,삼진/볼넷,피출루율,피장타율,피OPS
임규빈,65398,키움,0.00,1,0,0,0,0,-,1,1,0,0,0,2,0,0,1.00,0,0,0,0,4,13,0.250,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00,0.500,13.0,13.0,18.00,0.00,-,0.250,0.500,0.750
양현,61268,키움,1.99,29,1,0,0,1,1.000,40 2/3,31,1,11,1,25,10,9,1.03,0,0,0,0,159,544,0.214,5,1,1,1,0,0,0,3,0,1,9,3,0,3,58,32,1.81,0.250,18.8,13.4,5.53,2.43,2.27,0.272,0.283,0.555
오주원,74359,키움,2.32,57,3,3,18,3,0.500,54 1/3,54,1,7,3,41,17,14,1.12,0,0,0,2,223,797,0.261,7,0,3,3,0,1,0,0,0,3,34,25,0,3,50,65,0.77,0.315,14.0,14.7,6.79,1.16,5.86,0.291,0.309,0.600
김성민,67828,키움,2.56,50,2,0,0,5,1.000,56 1/3,53,0,11,2,38,17,16,1.14,0,0,0,0,230,821,0.245,13,1,1,0,0,4,0,0,0,2,16,4,0,5,53,72,0.74,0.298,16.4,14.6,6.07,1.76,3.45,0.288,0.315,0.603
조상우,63342,키움,2.66,48,2,4,20,8,0.333,47 1/3,45,3,8,2,46,15,14,1.12,0,0,0,2,192,710,0.253,3,0,2,2,0,1,0,0,0,2,28,27,4,4,37,52,0.71,0.321,14.8,15.0,8.75,1.52,5.75,0.289,0.320,0.609
윤영삼,61456,키움,2.87,54,3,3,1,3,0.500,62 2/3,60,5,14,1,56,23,20,1.18,0,0,0,1,254,970,0.258,12,2,3,3,1,3,0,0,0,3,14,10,0,4,45,75,0.60,0.314,18.0,15.5,8.04,2.01,4.00,0.299,0.391,0.690
브리검,67313,키움,2.96,28,13,5,0,0,0.722,158 1/3,148,5,46,12,130,62,52,1.23,0,0,15,0,669,2521,0.245,32,2,4,4,0,7,1,28,13,0,0,0,0,12,182,147,1.24,0.303,90.0,15.9,7.39,2.61,2.83,0.310,0.330,0.640
이영준,64051,키움,2.97,29,1,1,0,1,0.500,33 1/3,39,0,5,0,19,11,11,1.32,0,0,0,1,136,505,0.298,7,2,0,0,0,0,0,0,0,1,9,4,0,4,38,35,1.09,0.348,17.4,15.2,5.13,1.35,3.80,0.324,0.382,0.706
김상수,76430,키움,3.02,67,3,5,0,40,0.375,56 2/3,50,3,28,2,60,19,19,1.38,0,0,0,1,238,1010,0.240,6,0,0,0,1,0,0,0,0,3,1,40,0,8,46,52,0.88,0.324,15.1,17.8,9.53,4.45,2.14,0.336,0.313,0.649
요키시,69343,키움,3.13,30,13,9,0,0,0.591,181 1/3,166,9,39,11,141,72,63,1.13,1,1,19,0,746,2762,0.241,33,5,4,3,0,6,0,30,13,0,1,0,0,15,245,140,1.75,0.290,92.1,15.2,7.00,1.94,3.62,0.291,0.343,0.634
최원태,65320,키움,3.38,27,11,5,0,0,0.688,157 1/3,165,5,36,5,105,68,59,1.28,0,0,18,0,666,2447,0.268,28,2,5,4,0,5,0,27,11,0,0,0,0,16,193,157,1.23,0.314,90.6,15.6,6.01,2.06,2.92,0.312,0.344,0.656
한현희,62363,키움,3.41,61,7,5,0,24,0.583,58,50,1,20,7,49,26,22,1.21,0,0,0,3,251,895,0.240,10,1,11,5,1,2,1,0,0,7,6,22,0,3,54,60,0.90,0.301,14.7,15.4,7.60,3.10,2.45,0.321,0.313,0.634
신재영,62937,키움,3.68,12,1,0,0,0,1.000,29 1/3,34,1,9,4,21,14,12,1.47,0,0,0,0,132,510,0.291,14,2,1,1,0,1,0,6,1,0,3,0,0,3,31,32,0.97,0.344,42.5,17.4,6.44,2.76,2.33,0.359,0.470,0.829
김선기,66018,키움,4.18,7,3,1,0,0,0.750,28,27,2,9,4,17,13,13,1.29,0,0,2,0,122,452,0.252,5,0,0,2,0,2,0,6,3,0,1,0,0,2,30,35,0.86,0.278,64.6,16.1,5.46,2.89,1.89,0.328,0.355,0.683
이승호,67603,키움,4.48,23,8,5,0,0,0.615,122 2/3,134,10,51,1,82,70,61,1.51,1,1,14,0,533,1979,0.284,27,3,3,6,0,5,3,23,8,0,1,0,0,10,134,128,1.05,0.321,86.0,16.1,6.02,3.74,1.61,0.351,0.417,0.768
