ID,선수명,데뷔년도,팀명,연도,타율,경기,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,희생번트,희생플라이,볼넷,고의사구,사구,삼진,병살타,장타율,출루율,OPS,멀티히트,득점권타율,대타타율,장타,땅볼,뜬공,결승타,투구수/타석,순수장타율,추정득점,GPA,경기(주루),도루시도(주루),도루허용(주루),도루실패(주루),도루성공률(주루),주루사(주루),견제사(주루),포지션(수비),경기(수비),선발경기(수비),수비이닝(수비),실책(수비),견제사(수비),자살(수비),보살(수비),병살(수비),포일(수비),도루허용(수비),도루실패(수비),수비율(수비),도루저지율(수비),WAR,FA여부,뉴스개수(연도별정규화),뉴스개수(누적정규화),수상횟수,누적타석,포지션 엔트로피,출생연도,출생월,출생일,나이,연봉,1차FA여부,2차FA여부,3차FA여부
74148,이시찬,2004,LG,2011,0.105,33,23,19,6,2,0,1,0,4,2,1,1,2,0,0,4,0,0.211,0.182,0.393,0,0.167,0.0,1,7,7,0,4.26,0.105,0.8,0.135,33,7,4,3,57.1,0,0,2루수,15,4,54.66666666666666,1,0,29,16,5,0,0,0,0.9857012195121952,0.0,-0.212,0.0,0.0,0.0,0,81,0.7292739418449411,1985,2,25,27,3267.5200694293776,0.0,0.0,0.0
74148,이시찬,2004,한화,2012,0.195,60,47,41,16,8,1,0,0,9,4,2,1,3,0,0,8,1,0.22,0.244,0.464,1,0.176,0.0,1,15,11,0,3.51,0.024,3.3,0.165,60,11,9,2,81.8,0,0,2루수,43,6,112.33333333333331,2,0,54,21,9,0,0,0,0.970373887240356,0.0,-0.034,0.0,0.0,0.0,0,128,1.3686078508781674,1985,2,25,28,3870.675587467362,0.0,0.0,0.0
74148,이시찬,2004,한화,2013,0.2,97,181,165,20,33,4,0,1,40,13,5,0,9,1,2,29,7,0.242,0.25,0.492,5,0.244,0.25,5,58,45,0,3.48,0.042,9.4,0.173,97,19,16,3,84.2,0,0,2루수,98,33,412.0,9,0,88,111,23,0,0,0,0.9597766990291262,0.0,-0.443,0.0,0.0,0.0,0,309,1.4202041595550965,1985,2,25,29,4565.107051501541,0.0,0.0,0.0
74148,이시찬,2004,한화,2014,0.286,45,119,105,14,30,4,0,0,34,9,3,1,10,0,0,19,3,0.324,0.345,0.669,9,0.242,0.0,4,37,20,0,3.85,0.038,12.2,0.236,45,5,4,1,80.0,1,0,유격수,55,22,241.3333333333333,6,0,30,56,6,0,0,0,0.940696132596685,0.0,-0.105,0.0,0.0,0.0,0,428,1.2099580065680229,1985,2,25,30,5376.42,0.0,0.0,0.0
63913,최재원,2013,NC,2013,0.133,52,56,45,4,6,2,0,0,8,3,1,0,10,0,0,18,1,0.178,0.291,0.469,2,0.143,0.125,2,15,6,0,4.32,0.044,2.9,0.175,52,3,2,1,66.7,0,0,1루수,28,7,96.0,0,0,66,6,3,0,0,0,1.0,0.0,-0.288,0.0,0.0121250798,0.0121250798,0,56,1.13999856670386,1990,7,30,24,2654.132006686942,0.0,0.0,0.0
63913,최재원,2013,NC,2014,0.0,2,2,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0.0,0.5,0.5,0,0.0,0.0,0,0,0,0,5.0,0.0,0.2,0.225,2,0,0,0,0.0,0,0,2루수,1,0,1.0,1,0,0,0,0,0,0,0,0.0,0.0,-0.06,0.0,0.0185703383,0.0306954181,0,58,0.0,1990,7,30,25,2846.34,0.0,0.0,0.0
63913,최재원,2013,NC,2015,0.247,114,102,85,31,21,8,0,2,35,13,1,0,10,0,6,29,1,0.412,0.366,0.778,2,0.259,0.333,10,20,15,0,4.23,0.165,14.2,0.268,114,19,14,5,73.7,1,1,중견수,76,12,215.00000000000003,0,0,58,14,6,0,0,0,1.0,0.0,0.759,0.0,0.0303638645,0.0610592826,0,160,1.2930768847333582,1990,7,30,26,5220.362483906111,0.0,0.0,0.0
63913,최재원,2013,삼성,2016,0.333,28,105,81,20,27,3,0,4,42,16,2,2,17,0,3,17,2,0.519,0.456,0.975,6,0.391,0.333,7,26,13,2,4.06,0.185,20.0,0.335,28,4,3,1,75.0,1,0,3루수,29,24,195.3333333333333,1,0,48,32,6,0,0,0,0.9917030716723548,0.0,1.231,0.0,0.0626134301,0.123672713,0,265,1.5828245824130536,1990,7,30,27,6657.242786359661,0.0,0.0,0.0
72108,김우석,2002,LG,2002,0.2,43,31,30,5,6,0,1,0,8,3,0,0,0,0,1,11,2,0.267,0.226,0.493,0,0.25,0.0,1,10,3,0,3.84,0.067,0.6,0.168,43,1,0,1,0.0,0,0,유격수,34,3,92.66666666666669,1,0,15,40,6,0,0,0,0.982589928057554,0.0,-0.167,0.0,0.0,0.0,0,31,0.6890641560608949,1975,9,2,28,3862.324445349074,0.0,0.0,0.0
72108,김우석,2002,LG,2003,0.0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0,0.0,0.0,0,1,0,0,5.0,0.0,-0.5,0.0,4,0,0,0,0.0,0,0,유격수,4,0,6.0,0,0,0,2,0,0,0,0,0.6666666666666666,0.0,-0.024,0.0,0.0,0.0,0,32,0.9182958340544896,1975,9,2,29,3728.455220654695,0.0,0.0,0.0
