선수명,ID,팀명,경기,도루시도,도루허용,도루실패,도루성공률,주루사,견제사
심우준,64006,KT,144,46,35,11,76.1,3,1
박해민,62415,삼성,132,46,34,12,73.9,5,3
김혜성,67304,키움,142,33,25,8,75.8,3,2
서건창,78168,키움,135,34,24,10,70.6,9,1
김하성,64300,키움,138,25,23,2,92.0,6,0
알테어,50923,NC,136,25,22,3,88.0,4,2
배정대,64166,KT,144,35,22,13,62.9,4,2
김지찬,50458,삼성,135,25,21,4,84.0,1,2
오지환,79109,LG,141,28,20,8,71.4,9,1
구자욱,62404,삼성,118,24,19,5,79.2,4,2
최지훈,50854,SK,127,24,18,6,75.0,3,3
이용규,74163,한화,120,25,17,8,68.0,5,1
정수빈,79231,두산,141,21,15,6,71.4,6,0
오태곤,60558,SK,94,21,15,6,71.4,1,2
박찬호,64646,KIA,141,23,15,8,65.2,3,0
마차도,50506,롯데,144,16,15,1,93.8,7,0
허경민,79240,두산,117,20,14,6,70.0,4,1
최원준,66606,KIA,123,17,14,3,82.4,5,2
안치홍,79608,롯데,124,17,14,3,82.4,4,0
이유찬,67207,두산,101,17,13,4,76.5,2,0
박민우,62907,NC,126,19,13,6,68.4,5,1
이정후,67341,키움,140,14,12,2,85.7,3,1
김성욱,62934,NC,104,17,12,5,70.6,2,0
이명기,76849,NC,136,19,12,7,63.2,5,1
조용호,64868,KT,132,15,12,3,80.0,4,1
홍창기,66108,LG,135,16,11,5,68.8,4,1
황재균,76313,KT,134,17,11,6,64.7,3,1
노수광,63704,한화,100,18,11,7,61.1,4,0
정훈,60523,롯데,111,12,11,1,91.7,2,0
오재원,77248,두산,85,15,10,5,66.7,3,1
김상수,79402,삼성,120,13,10,3,76.9,4,0
김동한,61204,롯데,82,14,10,4,71.4,3,0
김재유,65506,롯데,68,12,10,2,83.3,1,1
민병헌,76249,롯데,109,16,10,6,62.5,2,0
박정음,62353,키움,86,10,9,1,90.0,0,1
강진성,62925,NC,121,10,9,1,90.0,3,1
정진호,61208,한화,113,16,9,7,56.3,2,0
박건우,79215,두산,129,10,8,2,80.0,4,1
최정,75847,SK,133,11,8,3,72.7,6,2
신민재,65207,LG,68,10,8,2,80.0,1,0
이천웅,61186,LG,89,13,8,5,61.5,7,0
정주현,79150,LG,134,15,8,7,53.3,7,1
김민혁,64004,KT,108,12,8,4,66.7,2,0
전병우,65586,키움,119,7,7,0,100,3,0
김강민,71837,SK,122,12,7,5,58.3,2,1
김창평,69825,SK,35,7,7,0,100,1,1
정진기,61869,SK,50,8,7,1,87.5,1,1
김용의,78217,LG,101,10,7,3,70.0,1,0
정근우,75808,LG,72,9,7,2,77.8,2,0
강백호,68050,KT,129,9,7,2,77.8,10,0
김태진,64984,KIA,82,11,7,4,63.6,3,0
김헌곤,61404,삼성,97,12,7,5,58.3,2,0
김재호,74206,두산,120,8,6,2,75.0,6,0
김재환,78224,두산,140,6,6,0,100,2,0
이상호,60566,NC,82,10,6,4,60.0,0,1
살라디노,50468,삼성,44,7,6,1,85.7,2,1
이학주,69453,삼성,64,8,6,2,75.0,2,1
박세혁,62244,두산,124,8,5,3,62.5,6,0
박준태,64657,키움,128,6,5,1,83.3,4,3
손호영,50150,LG,23,5,5,0,100,1,0
양의지,76232,NC,130,7,5,2,71.4,4,0
박승욱,62802,KT,97,6,5,1,83.3,2,1
박찬도,62409,삼성,51,6,5,1,83.3,3,0
호잉,68730,한화,34,8,5,3,62.5,2,0
손아섭,77532,롯데,141,5,5,0,100,4,0
전준우,78513,롯데,143,10,5,5,50.0,5,0
로맥,67872,SK,139,6,4,2,66.7,5,0
이재율,66968,NC,25,5,4,1,80.0,0,0
최정원,69992,NC,49,4,4,0,100,1,1
송민섭,64012,KT,114,7,4,3,57.1,2,0
김동엽,66838,삼성,115,8,4,4,50.0,0,2
박승규,69418,삼성,91,9,4,5,44.4,1,0
하주석,62700,한화,72,5,4,1,80.0,3,0
조수행,66209,두산,44,5,3,2,60.0,0,0
임병욱,64346,키움,12,3,3,0,100,0,0
채현우,69804,SK,16,3,3,0,100,0,0
권희동,63963,NC,123,3,3,0,100,0,0
김찬형,66917,NC,56,4,3,1,75.0,2,0
나성범,62947,NC,130,4,3,1,75.0,2,0
김호령,65653,KIA,89,6,3,3,50.0,1,0
박계범,64468,삼성,80,5,3,2,60.0,2,0
이성규,66409,삼성,98,4,3,1,75.0,3,0
안권수,50202,두산,68,3,2,1,66.7,4,0
오재일,75334,두산,127,3,2,1,66.7,7,0
최주환,76267,두산,140,4,2,2,50.0,5,0
러셀,50350,키움,65,2,2,0,100,3,1
한동민,62895,SK,62,2,2,0,100,2,0
김민성,77564,LG,87,3,2,1,66.7,2,0
라모스,50165,LG,117,2,2,0,100,4,0
박용택,72133,LG,97,2,2,0,100,1,0
김규성,66614,KIA,103,3,2,1,66.7,3,2
황윤호,62908,KIA,25,2,2,0,100,0,0
김호재,64407,삼성,65,2,2,0,100,2,0
이성곤,64266,삼성,62,2,2,0,100,2,1
최영진,61197,삼성,58,5,2,3,40.0,0,0
팔카,50469,삼성,51,2,2,0,100,2,0
반즈,50730,한화,74,3,2,1,66.7,0,0
장진혁,66706,한화,19,3,2,1,66.7,1,1
강로한,65515,롯데,16,3,2,1,66.7,0,1
김준태,62558,롯데,128,4,2,2,50.0,8,1
오윤석,64504,롯데,63,3,2,1,66.7,0,0
국해성,79290,두산,46,2,1,1,50.0,0,0
권민석,68204,두산,55,1,1,0,100,0,0
김규민,62356,키움,54,1,1,0,100,1,0
김웅빈,65898,키움,73,1,1,0,100,1,1
이지영,79456,키움,101,2,1,1,50.0,2,0
고종욱,61353,SK,92,4,1,3,25.0,2,1
김경호,64260,SK,56,5,1,4,20.0,0,0
김민준,63339,SK,12,2,1,1,50.0,0,1
김성현,76802,SK,133,2,1,1,50.0,6,1
박성한,67893,SK,41,2,1,1,50.0,0,1
유서준,64890,SK,28,2,1,1,50.0,0,0
이현석,65869,SK,58,1,1,0,100,0,1
최준우,68868,SK,66,2,1,1,50.0,2,0
최항,62884,SK,47,1,1,0,100,1,0
유강남,61102,LG,137,2,1,1,50.0,3,0
이형종,78135,LG,81,1,1,0,100,4,0
한석현,64101,LG,9,1,1,0,100,0,0
박준영,66928,NC,32,1,1,0,100,0,0
이원재,62025,NC,73,1,1,0,100,2,0
지석훈,73306,NC,87,1,1,0,100,1,0
천성호,50054,KT,66,2,1,1,50.0,1,0
김선빈,78603,KIA,85,2,1,1,50.0,3,0
김영환,63448,KIA,14,2,1,1,50.0,0,0
류지혁,62234,KIA,25,2,1,1,50.0,0,0
이우성,63260,KIA,48,1,1,0,100,0,0
이진영,66657,KIA,32,1,1,0,100,0,0
최정민,62893,KIA,24,1,1,0,100,1,1
강한울,64610,삼성,34,1,1,0,100,0,0
김성표,63435,삼성,15,1,1,0,100,0,0
강경학,61700,한화,94,3,1,2,33.3,3,1
이성열,73136,한화,79,2,1,1,50.0,2,0
정은원,68743,한화,79,2,1,1,50.0,5,0
김민수,67504,롯데,3,1,1,0,100,0,0
신본기,62556,롯데,81,1,1,0,100,0,0
신용수,69508,롯데,5,2,1,1,50.0,0,0
이대호,71564,롯데,144,1,1,0,100,7,0
권휘,50203,두산,1,0,0,0,-,0,0
김강률,77263,두산,2,0,0,0,-,0,0
김민규,68200,두산,3,0,0,0,-,0,0
김인태,63257,두산,77,0,0,0,-,0,0
박지훈,50204,두산,10,0,0,0,-,0,0
백동훈,63559,두산,27,0,0,0,-,0,0
서예일,66203,두산,40,0,0,0,-,0,0
신성현,64086,두산,9,0,0,0,-,0,0
양찬열,50293,두산,17,0,0,0,-,0,0
오명진,50208,두산,5,0,0,0,-,0,0
윤명준,62242,두산,1,0,0,0,-,0,0
이승민,68211,두산,3,0,0,0,-,0,0
이영하,66291,두산,1,0,0,0,-,0,0
이형범,62951,두산,1,0,0,0,-,0,0
장승현,63202,두산,23,0,0,0,-,0,0
정상호,71842,두산,42,0,0,0,-,0,1
조제영,50296,두산,1,0,0,0,-,0,0
최용제,64213,두산,28,0,0,0,-,0,0
페르난데스,69209,두산,144,1,0,1,0.0,9,0
함덕주,63248,두산,2,0,0,0,-,0,0
홍건희,61643,두산,1,0,0,0,-,0,0
김동혁,50360,키움,1,0,0,0,-,0,0
김병휘,50304,키움,1,0,0,0,-,0,0
김상수,76430,키움,1,0,0,0,-,0,0
김성민,67828,키움,3,0,0,0,-,0,0
김수환,68346,키움,9,0,0,0,-,1,0
김은성,65304,키움,16,0,0,0,-,0,0
김재웅,67391,키움,2,0,0,0,-,0,0
김재현,62332,키움,4,0,0,0,-,0,0
김주형,69306,키움,39,1,0,1,0.0,0,0
모터,50300,키움,10,0,0,0,-,0,0
문찬종,50365,키움,5,0,0,0,-,0,0
박동원,79365,키움,112,0,0,0,-,0,0
박병호,75125,키움,93,0,0,0,-,1,1
박주홍,50357,키움,13,1,0,1,0.0,1,0
변상권,68305,키움,35,0,0,0,-,0,0
송우현,65362,키움,14,0,0,0,-,0,0
신재영,62937,키움,1,0,0,0,-,0,0
안우진,68341,키움,1,0,0,0,-,0,0
양기현,67365,키움,1,0,0,0,-,0,0
양현,61268,키움,1,0,0,0,-,0,0
윤정현,69399,키움,2,0,0,0,-,0,0
이택근,73342,키움,20,0,0,0,-,0,0
임규빈,65398,키움,2,0,0,0,-,0,0
임지열,64340,키움,1,0,0,0,-,0,0
조상우,63342,키움,6,0,0,0,-,0,0
조성운,63348,키움,4,0,0,0,-,0,0
조영건,69360,키움,3,0,0,0,-,0,0
주효상,66354,키움,63,0,0,0,-,0,0
허정협,65399,키움,111,0,0,0,-,2,0
김성민,50848,SK,9,0,0,0,-,0,0
김재현,76869,SK,8,0,0,0,-,0,1
김정빈,63894,SK,4,0,0,0,-,0,0
김주온,65411,SK,2,0,0,0,-,0,0
김주한,66859,SK,1,0,0,0,-,0,0
김태훈,79847,SK,2,0,0,0,-,0,0
남태혁,66052,SK,35,0,0,0,-,0,0
류효승,50868,SK,8,0,0,0,-,0,0
박민호,64893,SK,4,0,0,0,-,0,0
박종훈,60841,SK,1,0,0,0,-,0,0
서동민,64896,SK,3,0,0,0,-,0,0
서진용,61895,SK,6,0,0,0,-,0,0
신재웅,75138,SK,1,0,0,0,-,0,0
오원석,50859,SK,2,0,0,0,-,0,0
오준혁,61743,SK,70,3,0,3,0.0,4,0
윤석민,74215,SK,34,0,0,0,-,1,0
이거연,50819,SK,8,0,0,0,-,0,0
이재원,76812,SK,80,0,0,0,-,1,0
이흥련,63440,SK,49,0,0,0,-,0,0
정영일,62056,SK,1,0,0,0,-,0,0
정의윤,75151,SK,76,1,0,1,0.0,2,0
정현,63450,SK,89,2,0,2,0.0,0,0
