ID,선수명,팀명,연도,포지션 엔트로피
70117,최경환,KIA,2008,0.3123753408181891
70121,경헌호,LG,2008,0.0
70122,최승환,두산,2008,0.0
70142,김광수,LG,2008,0.0
70224,강봉규,삼성,2008,0.6877695785043221
70240,정원석,두산,2008,0.6339839699034925
70312,오윤,우리,2008,0.0
70323,신철인,우리,2008,0.0
70329,마일영,우리,2008,0.0
70349,박준수,우리,2008,0.0
70356,이동학,우리,2008,0.0
70364,전근표,우리,2008,0.21497820032771042
70408,박정환,SK,2008,0.898816907761663
70410,김주찬,롯데,2008,0.9213796449361408
70425,배영수,삼성,2008,0.0
70434,이용훈,롯데,2008,0.0
70553,박기혁,롯데,2008,0.0
70612,김상훈,KIA,2008,0.0
70615,강영식,롯데,2008,0.0
70646,김상현,LG,2008,0.24552881765102857
70756,이범호,한화,2008,0.0
70820,이승호,SK,2008,0.0
70833,채종범,KIA,2008,0.15851134691246432
71184,이성우,KIA,2008,0.0
71207,김원섭,KIA,2008,0.0
71255,김상현,두산,2008,0.0
71260,이재우,두산,2008,0.0
71347,장기영,우리,2008,0.0
71432,박한이,삼성,2008,0.0
71433,이정호,우리,2008,0.0
71440,김덕윤,두산,2008,0.0
71504,신명철,삼성,2008,0.0
71552,최준석,두산,2008,0.0
71562,박종윤,롯데,2008,0.0
71564,이대호,롯데,2008,0.7445307861089288
71565,이승화,롯데,2008,0.0
71610,김경언,KIA,2008,0.7871265862012691
71641,이윤학,두산,2008,0.0
71649,레스,두산,2008,0.0
71708,김백만,한화,2008,0.0
71752,김태균,한화,2008,0.0
71801,정대현,SK,2008,0.0
71806,김동건,SK,2008,1.1066488759200444
71815,박남섭,롯데,2008,1.0511647103854862
71835,조중근,우리,2008,0.0
71837,김강민,SK,2008,0.0
71842,정상호,SK,2008,0.04938424432441281
71845,채병용,SK,2008,0.0
71848,조동화,SK,2008,0.0
71857,박재상,SK,2008,0.028611752774164105
72108,김우석,삼성,2008,0.512709142030877
72131,김용우,LG,2008,0.0
72133,박용택,LG,2008,0.0
72139,추승우,한화,2008,0.1546466478938212
72161,안치용,LG,2008,0.0
72169,오태근,LG,2008,0.0
72214,고영민,두산,2008,0.0
72216,이재영,LG,2008,0.0
72220,유재웅,두산,2008,0.0
72253,이경환,두산,2008,0.0
72303,김민우,우리,2008,1.0820934391005457
72312,강귀태,우리,2008,0.0
72313,조재호,우리,2008,0.0
72321,배힘찬,우리,2008,0.0
72325,강병식,우리,2008,0.889130386238506
72427,현재윤,삼성,2008,0.0
72443,최형우,삼성,2008,0.02491855184260985
72447,권혁,삼성,2008,0.0
72454,권오원,삼성,2008,0.0
72456,손주인,삼성,2008,1.3127443531093745
72463,안지만,삼성,2008,0.0
72466,조동찬,삼성,2008,1.3972789078805627
72523,고효준,SK,2008,0.0
72606,이현곤,KIA,2008,0.522932201447283
72643,문수호,KIA,2008,0.0
72742,채상병,두산,2008,0.0
72749,마정길,한화,2008,0.0
72822,서성종,LG,2008,0.0
72850,김재구,SK,2008,0.0
72860,이대수,두산,2008,0.0
72862,윤길현,SK,2008,0.0
73113,박경수,LG,2008,0.941515970867697
73117,우규민,LG,2008,0.0
73136,이성열,두산,2008,0.0
73153,이대형,LG,2008,0.0
73166,정재복,LG,2008,0.0
73209,나주환,SK,2008,0.0
73211,노경은,두산,2008,0.0
73228,전병두,SK,2008,0.0
73232,정종수,우리,2008,0.0
73241,정재훈,두산,2008,0.0
73306,지석훈,우리,2008,1.14968388801495
73324,브룸바,우리,2008,0.6500224216483541
73339,이종욱,두산,2008,0.0
73342,이택근,우리,2008,0.06345811641554695
73343,노환수,우리,2008,0.0
73363,권도영,우리,2008,1.0687474309095646
73419,김문수,삼성,2008,0.0
73513,정보명,롯데,2008,0.0
73521,김휘곤,롯데,2008,0.0
73563,이인구,롯데,2008,0.0
73602,차일목,KIA,2008,0.0
73606,서동욱,LG,2008,1.792481250360578
73629,고우석,KIA,2008,0.0
73632,임준혁,KIA,2008,0.0
73703,한상훈,한화,2008,0.7958312711210641
73720,문용민,한화,2008,
73738,안영명,한화,2008,0.0
73750,윤규진,한화,2008,0.0
73801,송은범,SK,2008,0.0
73825,이영욱,SK,2008,0.0
73827,김형철,KIA,2008,1.2795965971427896
73830,조진호,삼성,2008,0.0
74139,장진용,LG,2008,0.0
74158,김태완,LG,2008,0.046192440129626075
74160,송현우,LG,2008,0.0
74163,이용규,KIA,2008,0.0
74167,심수창,LG,2008,0.0
74206,김재호,두산,2008,0.6189274967436876
74304,최현종,우리,2008,0.0
74358,조평호,우리,2008,0.884963636383153
74454,윤성환,삼성,2008,0.0
74465,박석민,삼성,2008,0.6946951907654869
74513,장원준,롯데,2008,0.0
74540,강민호,롯데,2008,0.0
74543,최대성,롯데,2008,0.0
74556,허준혁,롯데,2008,0.0
74564,서정호,롯데,2008,0.0
74605,김주형,KIA,2008,1.6126310310287628
74620,이동현,KIA,2008,0.0
74630,박정태,KIA,2008,0.0
74650,이영수,KIA,2008,0.5822463050121238
74726,조영민,SK,2008,0.0
74729,최진행,한화,2008,0.0
74745,고동진,한화,2008,0.0
74761,윤경영,한화,2008,0.0
74846,박정권,SK,2008,0.2610687276122445
74857,정우람,SK,2008,0.0
75151,정의윤,LG,2008,0.0
75230,랜들,두산,2008,0.0
75255,김명제,두산,2008,0.0
75258,금민철,두산,2008,0.0
75261,서동환,두산,2008,0.0
75268,조현근,삼성,2008,0.0
75307,차화준,우리,2008,0.0
75340,전승윤,우리,2008,0.0
75342,이보근,우리,2008,0.0
75344,허준,우리,2008,0.0
75404,유용목,KIA,2008,0.863120568566631
75421,오승환,삼성,2008,0.0
75424,곽동훈,삼성,2008,0.0
75427,백준영,삼성,2008,0.0
75442,손승현,삼성,2008,0.0
75464,박성훈,삼성,2008,0.0
75537,조정훈,롯데,2008,0.0
75554,이동훈,롯데,2008,0.0
75566,이원석,롯데,2008,1.2162981574637433
75612,송산,KIA,2008,0.0
75620,윤석민,KIA,2008,0.0
75635,이범석,KIA,2008,0.0
75668,곽정철,KIA,2008,0.0
75705,백승룡,한화,2008,0.9182958340544896
75736,오승택,한화,2008,0.0
75739,김동영,한화,2008,0.0
75750,양훈,한화,2008,0.0
75808,정근우,SK,2008,0.8413046729680361
75847,최정,SK,2008,0.0
76100,이병규,LG,2008,0.8421694580969981
76169,김회권,LG,2008,0.0
76249,민병헌,두산,2008,0.0
76262,원용묵,두산,2008,0.0
76267,최주환,두산,2008,0.0
76290,김현수,두산,2008,0.0
76313,황재균,우리,2008,1.2867829381447955
76322,유선정,우리,2008,0.0
76325,강정호,우리,2008,1.396094411814816
76329,이현승,우리,2008,0.0
76338,장태종,우리,2008,0.0
76350,김영민,우리,2008,0.0
76355,장원삼,우리,2008,0.0
76357,조용훈,우리,2008,0.0
76360,조순권,우리,2008,0.0
76368,유재신,우리,2008,0.9005622386001738
76418,정홍준,삼성,2008,0.0
76429,브라운,LG,2008,0.0
76430,김상수,삼성,2008,0.0
76435,이여상,한화,2008,0.37824164440536223
76455,차우찬,삼성,2008,0.0
76461,김기태,삼성,2008,0.0
76469,모상기,삼성,2008,0.0
76509,김문호,롯데,2008,0.0
76529,나승현,롯데,2008,0.0
76540,배장호,롯데,2008,0.0
76550,김유신,롯데,2008,
76610,한기주,KIA,2008,0.0
76638,박정규,KIA,2008,0.0
76639,손영민,KIA,2008,0.0
76650,진민호,KIA,2008,0.0
76653,박경태,KIA,2008,0.0
76656,유재원,KIA,2008,0.0
76715,류현진,한화,2008,0.0
76720,정범모,한화,2008,0.0
76729,김경선,한화,2008,0.0
76743,연경흠,한화,2008,0.0
76746,김태완,한화,2008,0.6205487676379563
76753,송광민,한화,2008,1.3608019261719448
76757,유원상,한화,2008,0.0
76759,양승진,한화,2008,
76802,김성현,SK,2008,0.6998428398862386
76812,이재원,SK,2008,1.2959688384230932
76822,이한진,SK,2008,0.0
76849,이명기,SK,2008,0.0
76869,김재현,SK,2008,0.0
77104,박용근,LG,2008,1.3744717220117726
77126,최종인,LG,2008,0.0
77147,봉중근,LG,2008,0.0
77156,김준호,LG,2008,0.0
77199,옥스프링,LG,2008,0.0
77211,이용찬,두산,2008,0.0
77229,이원재,두산,2008,0.0
77248,오재원,두산,2008,1.2504565278415416
77251,임태훈,두산,2008,0.0
77257,이승학,두산,2008,0.0
77263,김강률,두산,2008,0.0
77314,김남형,우리,2008,0.7642045065086203
77318,장효훈,우리,2008,0.0
77446,백정현,삼성,2008,0.0
77452,이동걸,삼성,2008,0.0
77463,채태인,삼성,2008,0.0
77466,최원제,삼성,2008,0.0
77517,김이슬,롯데,2008,0.0
77532,손광민,롯데,2008,0.0
77564,김민성,롯데,2008,1.2280251232330124
77591,송승준,롯데,2008,0.0
77609,김연훈,SK,2008,1.3685646579774495
77623,최희섭,KIA,2008,0.0
77637,양현종,KIA,2008,0.0
77641,오준형,KIA,2008,0.0
77648,이호신,KIA,2008,0.0
77658,스코비,우리,2008,0.0
77669,김주현,KIA,2008,0.8812908992306927
77725,크루즈,삼성,2008,0.38721081507700916
77748,김혁민,한화,2008,0.0
77829,김광현,SK,2008,0.0
77860,레이번,SK,2008,0.0
78119,이범준,LG,2008,0.0
78122,김태군,LG,2008,0.0
78128,임도현,LG,2008,0.0
78129,페타지니,LG,2008,0.0
78148,정찬헌,LG,2008,0.0
78164,김수형,LG,2008,0.0
78168,서건창,LG,2008,0.0
78217,김용의,LG,2008,0.1936428046838986
78224,김재환,두산,2008,0.0
78232,김선우,두산,2008,0.0
78243,박민석,두산,2008,0.0
78248,고창성,두산,2008,0.0
78256,레이어,두산,2008,0.0
78257,진야곱,두산,2008,0.0
78288,최재훈,두산,2008,0.0
78333,다카쓰,우리,2008,0.0
78353,김성현,우리,2008,0.0
78361,전동수,우리,2008,0.0
78363,이성재,우리,2008,0.0
78366,민성기,우리,2008,0.0
78409,김경모,삼성,2008,0.0
78413,김동현,삼성,2008,0.39124356362925566
78430,션,삼성,2008,0.0
78431,에니스,삼성,2008,0.0
78435,오버뮬러,삼성,2008,0.0
78454,우동균,삼성,2008,0.0
78458,허승민,삼성,2008,0.0
78467,이영욱,삼성,2008,0.0
78513,전준우,롯데,2008,0.0
78543,김일엽,롯데,2008,0.0
78551,코르테스,롯데,2008,0.0
78574,매클레리,롯데,2008,0.0
78595,가르시아,롯데,2008,0.0
78603,김선빈,KIA,2008,0.8909908791509316
78606,박진영,KIA,2008,0.8171387756817723
78627,리마,KIA,2008,0.0
78629,나지완,KIA,2008,0.0
78640,서재응,KIA,2008,0.0
78648,데이비스,KIA,2008,0.0
78649,발데스,KIA,2008,0.0
78650,전태현,KIA,2008,
78665,디아즈,KIA,2008,0.0
78666,최용규,KIA,2008,1.1897676596443827
78725,클락,한화,2008,0.0
78726,토마스,한화,2008,0.0
78730,윤기호,한화,2008,0.0
78739,이희근,한화,2008,0.0
78745,정현석,한화,2008,0.0
78756,오선진,한화,2008,1.433780283579579
78760,정대훈,한화,2008,0.0
78813,모창민,SK,2008,1.2304815255776709
78823,김준,SK,2008,0.0
78843,임성헌,SK,2008,
78850,오현근,SK,2008,0.0
78853,얀,SK,2008,0.0
