선수명,ID,팀명,타율,경기,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,희생번트,희생플라이,볼넷,고의사구,사구,삼진,병살타,장타율,출루율,OPS,멀티히트,득점권타율,대타타율,장타,땅볼,뜬공,땅볼/뜬공,결승타,볼넷/삼진,투구수/타석,순수장타율,추정득점,GPA
김태균,71752,한화,0.340,94,407,356,51,121,22,0,17,194,76,0,4,43,7,4,56,13,0.545,0.413,0.958,37,0.398,0.000,39,89,94,0.95,4,0.77,3.97,0.205,71.7,0.322
로사리오,66740,한화,0.339,119,510,445,100,151,30,1,37,294,111,0,5,50,4,10,61,12,0.661,0.414,1.075,44,0.373,0.500,68,122,116,1.05,7,0.82,3.54,0.321,108.1,0.352
정근우,75808,한화,0.330,105,442,391,73,129,22,0,11,184,46,5,3,32,3,10,48,12,0.471,0.392,0.863,41,0.341,0.000,33,118,99,1.19,6,0.67,3.58,0.141,65.8,0.294
송광민,76753,한화,0.327,117,473,437,71,143,26,0,13,208,75,4,8,21,1,3,88,11,0.476,0.356,0.832,45,0.291,0.250,39,117,97,1.21,6,0.24,3.60,0.149,68.8,0.279
오선진,78756,한화,0.310,65,209,184,23,57,11,0,2,74,21,4,2,15,0,4,22,5,0.402,0.371,0.773,19,0.400,0.000,13,63,44,1.43,4,0.68,3.96,0.092,25.6,0.267
이성열,73136,한화,0.307,81,318,280,41,86,16,1,21,167,65,4,5,19,0,9,80,0,0.596,0.364,0.960,27,0.259,0.500,38,58,61,0.95,1,0.24,3.77,0.289,60.8,0.313
최진행,74729,한화,0.306,89,289,258,29,79,21,0,13,139,50,1,1,19,0,10,77,3,0.539,0.375,0.914,21,0.351,0.500,34,47,56,0.84,5,0.25,3.88,0.233,48.1,0.304
하주석,62700,한화,0.285,111,470,432,69,123,18,8,11,190,52,9,1,23,0,5,83,6,0.440,0.328,0.768,34,0.313,0.333,37,145,82,1.77,6,0.28,3.49,0.155,59.0,0.258
장민석,71347,한화,0.278,88,327,299,38,83,9,0,1,95,21,12,1,15,0,0,58,4,0.318,0.311,0.629,23,0.289,0.333,10,108,51,2.12,1,0.26,3.76,0.040,29.1,0.219
김원석,62768,한화,0.277,78,212,195,29,54,12,2,7,91,26,2,0,10,0,5,59,3,0.467,0.329,0.796,14,0.326,0.455,21,46,36,1.28,2,0.17,3.83,0.190,28.2,0.265
