선수명,ID,팀명,타율,경기,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,희생번트,희생플라이,볼넷,고의사구,사구,삼진,병살타,장타율,출루율,OPS,멀티히트,득점권타율,대타타율,장타,땅볼,뜬공,땅볼/뜬공,결승타,볼넷/삼진,투구수/타석,순수장타율,추정득점,GPA
권영근,74704,한화,0.500,7,2,2,3,1,0,0,0,1,0,0,0,0,0,0,1,0,0.500,0.500,1.000,0,1.000,0.000,0,0,0,-,0,0.00,3.50,0.000,0.4,0.350
이양기,73725,한화,0.455,10,12,11,5,5,0,0,1,8,1,0,0,1,0,0,1,1,0.727,0.500,1.227,0,0.000,0.000,1,3,2,1.50,0,1.00,4.25,0.273,2.9,0.407
데이비스,99725,한화,0.323,118,507,431,90,139,24,0,24,235,86,0,6,65,7,5,76,8,0.545,0.412,0.957,43,0.287,0.000,48,124,98,1.27,0,0.86,4.11,0.223,93.2,0.322
김태균,71752,한화,0.317,124,529,461,73,146,33,2,23,252,100,0,2,60,5,6,73,20,0.547,0.401,0.948,39,0.333,0.000,58,127,117,1.09,0,0.82,3.99,0.230,89.6,0.317
조원우,94836,한화,0.302,95,392,351,43,106,17,1,6,143,42,3,3,31,0,4,50,5,0.407,0.362,0.769,30,0.310,0.250,24,110,88,1.25,0,0.62,3.89,0.105,52.1,0.265
브리또,70834,한화,0.286,78,308,287,34,82,14,0,17,147,43,0,2,11,0,8,45,11,0.512,0.328,0.840,20,0.278,0.000,31,67,95,0.71,0,0.24,3.44,0.226,44.1,0.276
신경현,98742,한화,0.277,110,358,321,38,89,15,1,4,118,23,3,3,29,0,2,47,8,0.368,0.338,0.706,23,0.203,1.000,20,95,93,1.02,0,0.62,3.76,0.090,39.1,0.244
백재호,97709,한화,0.277,85,260,235,29,65,8,0,4,85,20,5,1,15,0,4,48,11,0.362,0.329,0.691,21,0.362,1.000,12,64,59,1.08,0,0.31,3.84,0.085,26.2,0.239
김인철,90811,한화,0.275,103,288,262,46,72,16,0,10,118,39,3,1,20,0,2,59,9,0.450,0.330,0.780,14,0.250,0.143,26,84,48,1.75,0,0.34,3.70,0.176,36.5,0.261
이범호,70756,한화,0.273,126,513,444,69,121,27,1,26,228,68,1,6,53,0,9,94,8,0.514,0.357,0.871,34,0.248,0.000,54,103,132,0.78,0,0.56,4.07,0.241,82.4,0.289
심광호,96722,한화,0.265,63,108,102,15,27,3,0,7,51,22,1,1,1,0,3,27,2,0.500,0.290,0.790,6,0.333,0.750,10,29,20,1.45,0,0.04,3.11,0.235,15.0,0.256
이도형,93225,한화,0.258,113,431,391,43,101,18,1,22,187,72,0,1,30,0,9,75,15,0.478,0.325,0.803,25,0.237,0.273,41,106,110,0.96,0,0.40,3.73,0.220,57.1,0.266
