선수명,ID,팀명,평균자책점,경기,승리,패배,세이브,홀드,승률,이닝,피안타,홈런,볼넷,사구,삼진,실점,자책점,이닝당_출루허용률,완투,완봉,퀄리티스타트,블론세이브,타자수,투구수,피안타율,2루타,3루타,희생번트,희생플라이,고의4구,폭투,보크,선발,선발승,구원승,종료,세이브기회,터프세이브,병살타,땅볼,뜬공,땅볼/뜬공,인플레이타구타율,투구수/경기,투구수/이닝,9이닝당 삼진,9이닝당 볼넷,삼진/볼넷,피출루율,피장타율,피OPS
장기영,71347,현대,0.00,1,0,0,0,0,-,2/3,0,0,0,0,0,0,0,0.00,0,0,0,0,1,7,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,-,0.000,7.0,10.5,0.00,0.00,-,0.000,0.000,0.000
이대환,72333,현대,2.66,13,1,0,0,0,1.000,20 1/3,20,2,7,4,8,11,6,1.33,0,0,0,0,91,322,0.256,4,1,1,1,0,1,0,0,0,1,10,0,0,3,24,27,0.89,0.261,24.8,15.8,3.54,3.10,1.14,0.344,0.410,0.754
이상열,96720,현대,2.91,72,2,1,2,16,0.667,58 2/3,55,4,19,2,48,20,19,1.26,0,0,0,0,249,948,0.249,16,1,5,2,0,3,0,0,0,2,8,25,0,3,58,62,0.94,0.298,13.2,16.2,7.36,2.91,2.53,0.311,0.385,0.696
황두성,97423,현대,3.00,1,0,0,0,0,-,3,3,0,3,0,3,1,1,2.00,0,0,0,0,15,63,0.250,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,4,0.50,0.333,63.0,21.0,9.00,9.00,1.00,0.400,0.250,0.650
바워스,73322,현대,3.01,24,13,4,1,1,0.765,143 2/3,145,12,46,9,85,58,48,1.33,0,0,16,0,601,2353,0.273,20,1,11,3,0,5,0,22,13,0,1,1,0,14,147,158,0.93,0.304,98.0,16.4,5.32,2.88,1.85,0.339,0.382,0.721
신철인,70323,현대,3.07,52,3,2,1,10,0.600,76 1/3,59,10,40,4,88,28,26,1.30,0,0,0,0,327,1432,0.213,11,1,4,2,0,2,0,0,0,3,11,11,1,6,52,80,0.65,0.271,27.5,18.8,10.38,4.72,2.20,0.319,0.368,0.687
권준헌,90315,현대,3.19,66,8,4,9,10,0.667,93,85,9,23,4,67,37,33,1.16,0,0,0,0,378,1446,0.251,18,0,12,1,2,5,0,0,0,8,27,23,1,4,86,101,0.85,0.289,21.9,15.5,6.48,2.23,2.91,0.306,0.385,0.691
정민태,92301,현대,3.31,29,17,2,0,0,0.895,177,179,17,42,5,122,76,65,1.25,1,0,16,0,741,2769,0.263,29,1,10,4,1,3,0,29,17,0,1,0,0,13,216,167,1.29,0.297,95.5,15.6,6.20,2.14,2.90,0.309,0.384,0.693
조용준,72351,현대,3.52,47,2,7,26,1,0.222,53 2/3,52,4,18,1,39,26,21,1.30,0,0,0,0,230,813,0.249,7,0,1,1,2,1,0,0,0,2,39,33,2,3,59,60,0.98,0.287,17.3,15.1,6.54,3.02,2.17,0.310,0.340,0.650
전준호,94364,현대,3.93,19,4,2,0,0,0.667,68 2/3,66,7,25,4,51,31,30,1.33,0,0,5,0,294,1113,0.252,14,3,2,1,0,2,0,11,3,1,5,0,0,7,82,64,1.28,0.288,58.6,16.2,6.68,3.28,2.04,0.325,0.408,0.733
송신영,99314,현대,4.63,25,5,4,0,0,0.556,68,76,8,26,4,39,37,35,1.50,0,0,2,0,301,1160,0.284,13,1,2,1,0,2,0,9,4,1,4,1,0,6,82,72,1.14,0.306,46.4,17.1,5.16,3.44,1.50,0.355,0.429,0.784
김수경,98330,현대,4.63,29,10,9,0,0,0.526,167,184,14,70,4,121,96,86,1.52,1,1,13,0,738,2991,0.286,34,2,14,6,0,12,0,29,10,0,1,0,0,13,154,191,0.81,0.330,103.1,17.9,6.52,3.77,1.73,0.356,0.410,0.766
이동학,70356,현대,5.35,27,8,3,0,0,0.727,77 1/3,91,8,33,4,41,55,46,1.60,0,0,3,0,346,1313,0.308,12,4,8,6,0,5,0,11,4,4,9,0,0,10,101,68,1.49,0.329,48.6,17.0,4.77,3.84,1.24,0.379,0.458,0.837
조규제,91818,현대,5.63,36,0,3,0,4,0.000,40,39,6,32,4,41,26,25,1.78,0,0,0,0,190,777,0.265,13,0,7,0,1,3,2,2,0,0,4,2,0,5,23,44,0.52,0.330,21.6,19.4,9.23,7.20,1.28,0.410,0.476,0.886
마일영,70329,현대,5.97,20,3,6,0,0,0.333,69 1/3,81,4,41,7,32,50,46,1.76,0,0,3,0,333,1270,0.296,19,0,8,3,0,5,0,14,3,0,2,0,0,6,103,61,1.69,0.320,63.5,18.3,4.15,5.32,0.78,0.397,0.409,0.806
김성태,70345,현대,6.10,25,2,0,0,1,1.000,41 1/3,54,7,19,3,38,37,28,1.77,0,0,0,0,199,764,0.316,8,2,4,2,0,5,0,0,0,2,5,1,0,3,35,46,0.76,0.367,30.6,18.5,8.27,4.14,2.00,0.390,0.509,0.899
위재영,95318,현대,6.23,4,0,1,0,0,0.000,4 1/3,9,0,5,0,1,4,3,3.23,0,0,0,0,27,105,0.409,2,0,0,0,0,0,0,2,0,0,1,0,0,0,6,6,1.00,0.429,26.3,24.2,2.08,10.38,0.20,0.519,0.500,1.019
신동민,73317,현대,7.30,9,2,1,0,0,0.667,12 1/3,16,4,4,2,10,12,10,1.62,0,0,0,0,57,223,0.320,2,0,1,0,0,0,0,0,0,2,3,0,0,3,10,14,0.71,0.333,24.8,18.1,7.30,2.92,2.50,0.393,0.600,0.993
임선동,97133,현대,9.45,4,0,2,0,0,0.000,13 1/3,23,2,3,1,4,14,14,1.95,0,0,0,0,64,252,0.397,5,0,2,0,0,0,0,4,0,0,0,0,0,0,16,15,1.07,0.404,63.0,18.9,2.70,2.03,1.33,0.435,0.586,1.021
배힘찬,72321,현대,36.00,1,0,0,0,0,-,2,8,2,1,0,2,8,8,4.50,0,0,0,0,15,60,0.571,2,0,0,0,0,1,0,0,0,0,1,0,0,0,4,0,-,0.600,60.0,30.0,9.00,4.50,2.00,0.600,1.143,1.743
