선수명,ID,팀명,포지션,경기,선발경기,수비이닝,실책,견제사,자살,보살,병살,수비율,포일,도루허용,도루실패,도루저지율
박재상,71857,SK,좌익수,133,131,1161 2/3,6,0,197,8,1,0.972,0,0,0,-
강정호,76325,히어로즈,유격수,133,132,1147 2/3,15,0,196,439,99,0.977,0,0,0,-
황재균,76313,히어로즈,3루수,133,133,1157 2/3,12,0,100,274,27,0.969,0,0,0,-
이대형,73153,LG,중견수,131,129,1111,4,0,323,10,0,0.988,0,0,0,-
가르시아,78595,롯데,우익수,129,129,1101,6,0,220,16,3,0.975,0,0,0,-
정근우,75808,SK,2루수,125,121,1025 1/3,16,0,261,338,93,0.974,0,0,0,-
권용관,95158,LG,유격수,124,120,1014,12,0,176,382,99,0.979,0,0,0,-
손시헌,73213,두산,유격수,121,118,988 2/3,10,0,183,378,100,0.982,0,0,0,-
김현수,76290,두산,좌익수,120,119,978 2/3,2,0,177,10,1,0.989,0,0,0,-
김상훈,70612,KIA,포수,120,112,957 1/3,5,0,765,53,8,0.994,3,112,33,22.8
이범호,70756,한화,3루수,119,119,968 2/3,14,0,66,232,23,0.955,0,0,0,-
이택근,73342,히어로즈,중견수,119,116,949,4,0,190,4,0,0.980,0,0,0,-
나주환,73209,SK,유격수,118,109,989 1/3,15,0,153,327,78,0.970,0,0,0,-
정성훈,99606,LG,3루수,118,112,950 2/3,7,0,76,210,24,0.976,0,0,0,-
임재철,99507,두산,우익수,115,103,849 2/3,4,0,213,7,4,0.982,0,0,0,-
송광민,76753,한화,유격수,115,110,935 2/3,14,0,176,336,76,0.973,0,0,0,-
김상현,70646,KIA,3루수,115,115,888 1/3,20,0,89,216,19,0.938,0,0,0,-
채태인,77463,삼성,1루수,114,99,863 1/3,3,0,840,55,94,0.997,0,0,0,-
이현곤,72606,KIA,유격수,114,106,911 2/3,11,0,132,344,64,0.977,0,0,0,-
최희섭,77623,KIA,1루수,114,113,986 2/3,5,0,1136,54,93,0.996,0,0,0,-
박기혁,70553,롯데,유격수,109,94,816 2/3,16,0,166,298,66,0.967,0,0,0,-
신명철,71504,삼성,2루수,107,89,755,3,0,170,225,64,0.992,0,0,0,-
연경흠,76743,한화,좌익수,107,82,749,2,0,164,1,0,0.988,0,0,0,-
박용택,72133,LG,좌익수,107,103,861,3,0,163,7,0,0.983,0,0,0,-
이숭용,94310,히어로즈,1루수,106,103,825,3,0,867,45,85,0.997,0,0,0,-
박정권,74846,SK,1루수,104,56,604 1/3,6,0,576,44,78,0.990,0,0,0,-
이대호,71564,롯데,3루수,104,100,799,14,0,78,203,24,0.953,0,0,0,-
안치홍,79608,KIA,2루수,103,90,766,9,0,167,244,56,0.979,0,0,0,-
이종범,93607,KIA,우익수,103,69,702,2,0,149,0,0,0.987,0,0,0,-
강귀태,72312,히어로즈,포수,102,82,679 2/3,5,0,518,32,1,0.991,8,80,18,18.4
김일경,97300,히어로즈,2루수,102,87,730,5,0,163,247,59,0.988,0,0,0,-
김강민,71837,SK,중견수,101,89,823 2/3,5,0,194,8,3,0.976,0,0,0,-
현재윤,72427,삼성,포수,98,73,646 1/3,10,1,557,74,11,0.984,3,70,36,34.0
최정,75847,SK,3루수,97,95,842,9,0,67,196,26,0.967,0,0,0,-
이승화,71565,롯데,중견수,93,39,455 1/3,0,0,136,4,1,1.000,0,0,0,-
조인성,98144,LG,포수,93,80,676 1/3,7,1,452,40,6,0.986,9,70,20,22.2
이진영,99810,LG,우익수,92,82,703 2/3,2,0,154,6,2,0.988,0,0,0,-
강동우,98420,한화,중견수,91,88,700 2/3,2,0,160,4,1,0.988,0,0,0,-
송지만,96761,히어로즈,우익수,89,86,727 2/3,2,0,169,3,2,0.989,0,0,0,-
정상호,71842,SK,포수,88,67,614,7,2,568,32,8,0.988,8,38,18,32.1
박경수,73113,LG,2루수,88,75,645 2/3,6,0,187,244,71,0.986,0,0,0,-
박재홍,96362,SK,우익수,86,61,443 1/3,2,0,92,1,1,0.979,0,0,0,-
최형우,72443,삼성,좌익수,86,84,658,3,0,124,4,1,0.977,0,0,0,-
클락,78725,히어로즈,좌익수,85,82,675 1/3,2,0,142,4,1,0.986,0,0,0,-
고영민,72214,두산,2루수,84,78,638 2/3,6,0,163,217,66,0.984,0,0,0,-
김동주,98218,두산,3루수,84,82,628 2/3,8,0,52,142,10,0.960,0,0,0,-
오재원,77248,두산,1루수,84,36,431 1/3,2,0,409,28,37,0.995,0,0,0,-
최승환,70122,두산,포수,84,66,546 1/3,3,0,406,35,9,0.993,7,47,25,34.7
박정권,74846,SK,우익수,80,56,446 2/3,1,0,107,2,1,0.991,0,0,0,-
이원석,75566,두산,3루수,80,42,433 1/3,3,0,35,86,9,0.976,0,0,0,-
용덕한,74223,두산,포수,79,58,484 1/3,2,0,364,30,2,0.995,4,42,17,28.8
김태균,71752,한화,1루수,79,79,624 2/3,1,0,594,44,64,0.998,0,0,0,-
강민호,74540,롯데,포수,78,75,613 1/3,6,1,410,60,8,0.987,4,63,27,30.0
김주찬,70410,롯데,1루수,78,74,627,5,0,642,55,78,0.993,0,0,0,-
박석민,74465,삼성,3루수,78,68,543 1/3,6,0,26,122,16,0.961,0,0,0,-
신경현,98742,한화,포수,78,60,497,7,2,393,42,5,0.984,4,68,26,27.7
박기남,74103,KIA,3루수,78,4,177 2/3,2,0,12,47,4,0.967,0,0,0,-
이종욱,73339,두산,중견수,74,71,616 1/3,3,0,150,3,0,0.981,0,0,0,-
류택현,94228,LG,투수,73,0,49 2/3,0,0,1,13,0,1.000,0,0,0,-
나지완,78629,KIA,좌익수,72,52,450,1,0,88,6,2,0.989,0,0,0,-
조성환,99543,롯데,2루수,71,70,556 2/3,6,0,159,179,57,0.983,0,0,0,-
구대성,93715,한화,투수,71,0,55 2/3,0,1,2,9,0,1.000,0,0,0,-
최동수,94132,LG,1루수,71,58,527 2/3,1,0,566,34,72,0.998,0,0,0,-
조동화,71848,SK,우익수,70,16,286 1/3,1,0,52,3,2,0.982,0,0,0,-
박진만,96307,삼성,유격수,70,66,511 2/3,5,0,90,152,36,0.980,0,0,0,-
이승호,70820,SK,투수,68,1,106,0,0,0,13,1,1.000,0,0,0,-
박한이,71432,삼성,우익수,68,44,414,2,0,95,4,2,0.980,0,0,0,-
강봉규,70224,삼성,우익수,67,58,453 1/3,3,0,112,4,0,0.975,0,0,0,-
양훈,75750,한화,투수,67,0,91,0,0,7,14,1,1.000,0,0,0,-
박경완,92809,SK,포수,65,60,519 2/3,3,0,431,32,7,0.994,1,34,19,35.8
김원섭,71207,KIA,중견수,65,56,491,0,0,117,4,2,1.000,0,0,0,-
고창성,78248,두산,투수,64,0,74,1,0,5,13,0,0.947,0,0,0,-
김재호,74206,두산,2루수,64,37,402 2/3,1,0,97,139,29,0.996,0,0,0,-
권혁,72447,삼성,투수,63,0,80 2/3,0,0,5,10,0,1.000,0,0,0,-
손영민,76639,KIA,투수,63,0,94,1,0,5,18,0,0.958,0,0,0,-
오상민,97815,LG,투수,63,0,48,0,0,1,10,0,1.000,0,0,0,-
정우람,74857,SK,투수,62,0,56 1/3,1,0,1,10,1,0.917,0,0,0,-
정현욱,96462,삼성,투수,62,0,79,2,0,3,8,0,0.846,0,0,0,-
정수빈,79231,두산,중견수,59,37,382,0,0,106,2,0,1.000,0,0,0,-
이인구,73563,롯데,중견수,59,51,400,1,0,107,3,2,0.991,0,0,0,-
이영욱,78467,삼성,중견수,59,32,335,6,0,95,3,1,0.942,0,0,0,-
오선진,78756,한화,2루수,59,41,382,8,0,110,116,36,0.966,0,0,0,-
추승우,72139,한화,중견수,59,32,331 1/3,1,0,89,2,1,0.989,0,0,0,-
임태훈,77251,두산,투수,58,0,88 1/3,2,2,5,18,0,0.920,0,0,0,-
송신영,99314,히어로즈,투수,58,0,75 2/3,1,0,1,4,1,0.833,0,0,0,-
민병헌,76249,두산,우익수,57,22,259 2/3,0,0,51,5,0,1.000,0,0,0,-
이정훈,97541,롯데,투수,57,0,74 1/3,1,0,2,10,0,0.923,0,0,0,-
유동훈,99639,KIA,투수,57,0,67 1/3,3,1,3,22,2,0.893,0,0,0,-
김민우,72303,히어로즈,2루수,57,31,304 2/3,4,0,77,111,27,0.979,0,0,0,-
정대현,71801,SK,투수,56,0,52 2/3,0,0,1,5,0,1.000,0,0,0,-
김상수,79402,삼성,유격수,56,29,303,6,0,51,111,21,0.964,0,0,0,-
이여상,76435,한화,2루수,55,48,403 1/3,6,0,119,151,42,0.978,0,0,0,-
장성호,96610,KIA,좌익수,55,49,368 1/3,1,0,62,4,0,0.985,0,0,0,-
박종호,92906,LG,2루수,55,41,371 1/3,6,0,98,122,32,0.973,0,0,0,-
정찬헌,78148,LG,투수,55,0,76 1/3,1,0,3,13,0,0.941,0,0,0,-
이재우,71260,두산,투수,54,7,97 1/3,1,0,7,6,0,0.929,0,0,0,-
최준석,71552,두산,1루수,54,49,362 1/3,5,0,362,27,37,0.987,0,0,0,-
강영식,70615,롯데,투수,54,1,48 1/3,0,0,4,8,1,1.000,0,0,0,-
마정길,72749,한화,투수,54,0,52 1/3,0,2,0,7,0,1.000,0,0,0,-
이도형,93225,한화,포수,54,49,356 2/3,5,0,294,26,5,0.985,1,58,14,19.4
나지완,78629,KIA,우익수,54,44,359 1/3,0,0,63,2,0,1.000,0,0,0,-
이원석,75566,두산,1루수,53,41,308 1/3,3,0,320,30,39,0.992,0,0,0,-
김태군,78122,LG,포수,53,32,294 1/3,3,0,216,15,2,0.987,1,42,9,17.6
김민성,77564,롯데,2루수,52,35,323 1/3,2,0,86,131,27,0.991,0,0,0,-
오재영,74359,히어로즈,투수,52,0,39 2/3,1,0,4,6,2,0.909,0,0,0,-
이보근,75342,히어로즈,투수,52,1,88 2/3,1,1,5,14,0,0.950,0,0,0,-
윤길현,72862,SK,투수,51,0,47,1,0,2,7,2,0.900,0,0,0,-
이용찬,77211,두산,투수,51,0,40 2/3,0,0,1,5,0,1.000,0,0,0,-
김민성,77564,롯데,유격수,51,39,336 2/3,5,0,46,116,29,0.970,0,0,0,-
애킨스,79596,롯데,투수,50,0,49 1/3,0,0,8,8,0,1.000,0,0,0,-
강봉규,70224,삼성,좌익수,50,32,292 1/3,1,0,54,3,0,0.983,0,0,0,-
강동우,98420,한화,우익수,50,33,305,0,0,58,2,0,1.000,0,0,0,-
이용규,74163,KIA,중견수,50,40,361 2/3,0,0,69,1,0,1.000,0,0,0,-
전병두,73228,SK,투수,49,11,133 1/3,0,0,9,14,0,1.000,0,0,0,-
박정준,73543,롯데,좌익수,49,43,350 2/3,1,0,71,3,0,0.987,0,0,0,-
우동균,78454,삼성,중견수,49,32,292,1,0,65,0,0,0.985,0,0,0,-
조동찬,72466,삼성,3루수,49,39,341,6,0,27,79,15,0.946,0,0,0,-
김태완,76746,한화,우익수,49,49,357 2/3,0,0,80,2,1,1.000,0,0,0,-
황재규,79758,한화,투수,49,2,72,0,1,3,5,0,1.000,0,0,0,-
이호준,94629,SK,1루수,48,46,287,2,0,273,11,30,0.993,0,0,0,-
박한이,71432,삼성,중견수,48,39,314,1,0,70,3,0,0.986,0,0,0,-
채상병,72742,삼성,포수,48,28,255 1/3,2,0,228,15,3,0.992,2,43,4,8.5
최기문,96224,롯데,포수,47,33,293 1/3,1,2,183,10,1,0.995,1,27,3,10.0
이재영,72216,LG,투수,47,0,56 2/3,0,0,4,6,1,1.000,0,0,0,-
김원섭,71207,KIA,좌익수,46,17,209 1/3,0,0,36,1,1,1.000,0,0,0,-
김종국,96616,KIA,2루수,46,24,266 2/3,3,0,54,110,22,0.982,0,0,0,-
신철인,70323,히어로즈,투수,46,0,47 2/3,1,0,0,6,0,0.857,0,0,0,-
클락,78725,히어로즈,우익수,46,35,322 2/3,1,0,81,6,3,0.989,0,0,0,-
김민재,91523,한화,2루수,45,42,348 2/3,4,0,90,117,29,0.981,0,0,0,-
토마스,78726,한화,투수,45,0,50,1,0,3,4,0,0.875,0,0,0,-
김선빈,78603,KIA,유격수,45,24,250 2/3,10,0,36,104,18,0.933,0,0,0,-
강윤구,79358,히어로즈,투수,45,13,80,1,0,0,9,1,0.900,0,0,0,-
박종윤,71562,롯데,1루수,44,34,312 1/3,3,0,326,30,32,0.992,0,0,0,-
차일목,73602,KIA,포수,44,19,207 1/3,2,0,157,8,3,0.988,0,16,6,27.3
페타지니,78129,LG,1루수,44,43,364,3,0,361,38,34,0.993,0,0,0,-
지승민,71715,두산,투수,43,0,34 1/3,0,0,1,5,1,1.000,0,0,0,-
이인구,73563,롯데,좌익수,43,16,185,0,0,40,2,0,1.000,0,0,0,-
임경완,98521,롯데,투수,43,0,62 1/3,0,0,5,9,2,1.000,0,0,0,-
김상수,76430,삼성,투수,43,0,60,0,0,1,8,0,1.000,0,0,0,-
차우찬,76455,삼성,투수,42,19,108 2/3,1,3,6,19,4,0.962,0,0,0,-
이희근,78739,한화,포수,42,6,127,4,0,117,6,1,0.969,3,17,2,10.5
김민성,77564,롯데,3루수,41,16,173,1,0,20,32,6,0.981,0,0,0,-
장성우,78548,롯데,포수,41,25,255 1/3,3,3,181,23,4,0.986,4,23,10,30.3
진갑용,97202,삼성,포수,41,36,263,2,1,190,20,2,0.991,1,27,12,30.8
곽정철,75668,KIA,투수,41,9,95 2/3,1,0,3,20,1,0.958,0,0,0,-
김상현,71255,두산,투수,40,14,110,0,3,4,14,2,1.000,0,0,0,-
최원제,77466,삼성,투수,40,0,38,0,0,0,1,0,1.000,0,0,0,-
허준,75344,히어로즈,포수,40,23,194 2/3,3,0,156,9,4,0.982,4,23,7,23.3
황두성,97423,히어로즈,투수,40,10,92 1/3,0,0,5,9,0,1.000,0,0,0,-
손인호,98538,LG,우익수,40,16,168,0,0,40,2,0,1.000,0,0,0,-
