선수명,ID,팀명,포지션,경기,선발경기,수비이닝,실책,견제사,자살,보살,병살,수비율,포일,도루허용,도루실패,도루저지율
박한이,71432,삼성,중견수,132,130,1149,4,0,317,8,1,0.988,0,0,0,-
박용택,72133,LG,좌익수,132,125,1102,2,0,256,16,1,0.993,0,0,0,-
조인성,98144,LG,포수,132,124,1030,8,9,753,96,12,0.991,6,39,46,54.1
장성호,96610,KIA,1루수,130,126,1107,4,0,1190,72,105,0.997,0,0,0,-
이영우,96734,한화,좌익수,130,127,1095 2/3,2,0,248,1,0,0.992,0,0,0,-
김한수,94450,삼성,3루수,129,127,1117,5,0,137,245,26,0.987,0,0,0,-
양준혁,93410,삼성,좌익수,129,128,1007,6,0,173,13,3,0.969,0,0,0,-
박종호,92906,현대,2루수,129,129,1095,13,0,297,298,72,0.979,0,0,0,-
박진만,96307,현대,유격수,129,125,1088 1/3,19,0,205,393,75,0.969,0,0,0,-
김민재,91523,SK,유격수,129,118,1024 1/3,12,0,199,423,67,0.981,0,0,0,-
홍세완,70626,KIA,유격수,128,127,1080 2/3,13,0,187,365,68,0.977,0,0,0,-
안경현,92207,두산,2루수,128,127,1017 2/3,5,0,292,310,89,0.992,0,0,0,-
이현곤,72606,KIA,3루수,127,113,967 2/3,4,0,87,229,21,0.988,0,0,0,-
심정수,94204,현대,우익수,126,126,1116 2/3,5,0,228,5,2,0.979,0,0,0,-
김상훈,70612,KIA,포수,125,121,1021,7,0,733,74,5,0.991,7,37,46,55.4
강동우,98420,삼성,우익수,123,114,977 1/3,4,0,241,6,2,0.984,0,0,0,-
이승엽,95436,삼성,1루수,123,122,1076,5,0,1094,56,89,0.996,0,0,0,-
진갑용,97202,삼성,포수,123,120,1046 2/3,13,1,779,71,15,0.985,8,62,42,40.4
김종국,96616,KIA,2루수,123,120,1038,7,0,312,408,88,0.990,0,0,0,-
박경완,92809,SK,포수,120,106,924 1/3,9,1,637,71,10,0.987,11,74,45,37.8
이숭용,94310,현대,중견수,119,116,983 1/3,2,0,211,4,1,0.991,0,0,0,-
김수연,96777,한화,중견수,119,84,767,3,0,224,5,1,0.987,0,0,0,-
정경배,96441,SK,2루수,118,114,878,11,0,228,261,58,0.978,0,0,0,-
김태균,71752,한화,1루수,118,117,1019 2/3,6,0,1012,55,80,0.994,0,0,0,-
최기문,96224,롯데,포수,117,109,855 1/3,5,2,526,62,12,0.992,12,58,42,42.0
조성환,99543,롯데,3루수,111,105,900,16,0,84,246,29,0.954,0,0,0,-
이도형,93225,한화,포수,107,93,756 1/3,2,0,502,36,1,0.996,2,63,19,23.2
조경환,98533,SK,좌익수,106,102,876 2/3,3,0,171,2,0,0.983,0,0,0,-
유지현,94106,LG,2루수,103,96,783 1/3,8,0,198,223,48,0.981,0,0,0,-
김동수,90419,현대,포수,103,98,828,9,0,619,76,12,0.987,8,84,51,37.8
브리또,70834,삼성,유격수,101,101,862 1/3,10,0,145,259,52,0.976,0,0,0,-
김경언,71610,KIA,좌익수,99,75,630 1/3,3,0,122,5,1,0.977,0,0,0,-
최경환,70117,두산,좌익수,99,79,685,2,0,150,5,2,0.987,0,0,0,-
홍원기,96723,두산,3루수,99,89,794 1/3,11,0,77,187,19,0.960,0,0,0,-
임수민,96766,한화,2루수,97,71,635 1/3,5,0,166,179,45,0.986,0,0,0,-
이범호,70756,한화,3루수,95,90,756 1/3,6,0,72,183,18,0.977,0,0,0,-
강혁,99210,SK,1루수,93,41,463,5,0,497,51,40,0.991,0,0,0,-
조원우,94836,SK,중견수,93,84,687 1/3,0,0,172,8,2,1.000,0,0,0,-
신명철,71504,롯데,2루수,93,72,629,10,0,184,219,61,0.976,0,0,0,-
마르티네스,71419,LG,우익수,92,60,548 1/3,2,0,165,2,0,0.988,0,0,0,-
이종열,91015,LG,3루수,92,75,643,8,0,66,122,9,0.959,0,0,0,-
박기혁,70553,롯데,유격수,92,79,701,16,0,119,252,54,0.959,0,0,0,-
박현승,95518,롯데,1루수,92,69,645 1/3,5,0,689,47,64,0.993,0,0,0,-
정성훈,99606,현대,3루수,91,89,766 1/3,15,0,69,164,20,0.940,0,0,0,-
디아즈,73848,SK,3루수,87,85,684 1/3,8,0,62,179,13,0.968,0,0,0,-
이진영,99810,SK,우익수,85,76,619 1/3,4,0,146,9,1,0.975,0,0,0,-
이혜천,98259,두산,투수,83,0,55,0,0,6,13,1,1.000,0,0,0,-
가득염,92501,롯데,투수,81,0,35 2/3,0,0,3,9,0,1.000,0,0,0,-
