선수명,ID,팀명,포지션,경기,선발경기,수비이닝,실책,견제사,자살,보살,병살,수비율,포일,도루허용,도루실패,도루저지율
구자욱,62404,삼성,우익수,144,144,1242 1/3,5,0,278,13,4,0.983,0,0,0,-
손아섭,77532,롯데,우익수,139,139,1210 1/3,2,0,250,11,2,0.992,0,0,0,-
박해민,62415,삼성,중견수,139,130,1151 2/3,1,0,323,7,2,0.997,0,0,0,-
김하성,64300,넥센,유격수,138,133,1163,18,0,207,422,71,0.972,0,0,0,-
김민식,62864,KIA,포수,136,112,931 1/3,8,2,739,72,11,0.990,12,46,28,37.8
권희동,63963,NC,좌익수,134,131,1036 1/3,2,0,220,6,1,0.991,0,0,0,-
김선빈,78603,KIA,유격수,134,122,1056,14,0,169,346,80,0.974,0,0,0,-
김재환,78224,두산,좌익수,132,131,1093,8,0,232,5,0,0.967,0,0,0,-
김태군,78122,NC,포수,132,122,957 1/3,9,3,860,62,11,0.990,1,50,29,36.7
안치홍,79608,KIA,2루수,131,126,1082 1/3,13,0,291,359,98,0.980,0,0,0,-
허경민,79240,두산,3루수,130,104,952 1/3,5,0,100,202,18,0.984,0,0,0,-
강민호,74540,롯데,포수,129,120,1032 2/3,11,4,904,77,15,0.989,9,71,31,30.4
김성현,76802,SK,2루수,128,106,959 1/3,6,0,229,340,77,0.990,0,0,0,-
김민성,77564,넥센,3루수,125,119,1028,6,0,110,242,32,0.983,0,0,0,-
버나디나,67650,KIA,중견수,124,119,927 1/3,0,0,238,9,0,1.000,0,0,0,-
나성범,62947,NC,우익수,123,123,1051 2/3,8,0,242,9,2,0.969,0,0,0,-
손시헌,73213,NC,유격수,123,107,849 2/3,10,0,154,301,62,0.978,0,0,0,-
서건창,78168,넥센,2루수,122,120,1008 2/3,12,0,254,329,73,0.980,0,0,0,-
박경수,73113,KT,2루수,122,119,950,6,0,243,312,78,0.989,0,0,0,-
박건우,79215,두산,중견수,120,116,988 1/3,4,0,227,4,1,0.983,0,0,0,-
김문호,76509,롯데,좌익수,120,93,883 1/3,3,0,179,2,0,0.984,0,0,0,-
