선수명,ID,팀명,포지션,경기,선발경기,수비이닝,실책,견제사,자살,보살,병살,수비율,포일,도루허용,도루실패,도루저지율
김성현,76802,SK,유격수,144,132,1143 2/3,26,0,179,358,83,0.954,0,0,0,-
정은원,68743,한화,2루수,142,137,1192 2/3,13,0,299,421,115,0.982,0,0,0,-
박해민,62415,삼성,중견수,140,129,1147,2,0,385,7,3,0.995,0,0,0,-
이재원,76812,SK,포수,136,121,1041,6,0,889,58,4,0.994,3,84,19,18.4
박세혁,62244,두산,포수,135,128,1071 2/3,8,0,786,55,5,0.991,4,85,23,21.3
최정,75847,SK,3루수,134,133,1153,14,0,93,211,21,0.956,0,0,0,-
전준우,78513,롯데,좌익수,134,133,1148,4,0,233,7,2,0.984,0,0,0,-
오지환,79109,LG,유격수,134,131,1101,12,0,214,402,100,0.981,0,0,0,-
허경민,79240,두산,3루수,132,124,1080,8,0,86,193,18,0.972,0,0,0,-
최재훈,78288,한화,포수,132,126,1022 2/3,6,3,788,76,17,0.993,8,84,31,27.0
로맥,67872,SK,1루수,130,127,1113 1/3,3,0,1022,49,103,0.997,0,0,0,-
김재호,74206,두산,유격수,130,116,993 1/3,10,0,158,339,67,0.980,0,0,0,-
손아섭,77532,롯데,우익수,129,125,1066 2/3,4,0,251,6,2,0.985,0,0,0,-
유강남,61102,LG,포수,128,115,968 1/3,7,0,757,61,9,0.992,5,84,25,22.9
정주현,79150,LG,2루수,128,124,972,13,0,209,307,77,0.975,0,0,0,-
오재일,75334,두산,1루수,126,119,1044,4,0,1031,76,100,0.996,0,0,0,-
이창진,64560,KIA,중견수,126,110,963 1/3,4,0,278,6,1,0.986,0,0,0,-
박경수,73113,KT,2루수,126,121,983 2/3,9,0,222,349,81,0.984,0,0,0,-
장성우,78548,KT,포수,125,107,911 2/3,5,0,626,54,4,0.993,10,60,24,28.6
김재환,78224,두산,좌익수,124,124,1010,0,0,228,5,1,1.000,0,0,0,-
이천웅,61186,LG,중견수,124,121,1039 2/3,1,0,264,6,3,0.996,0,0,0,-
심우준,64006,KT,유격수,124,113,976 1/3,9,0,213,290,77,0.982,0,0,0,-
김강민,71837,SK,중견수,123,100,947 1/3,3,0,264,9,2,0.989,0,0,0,-
박건우,79215,두산,우익수,122,113,947 1/3,3,0,233,2,1,0.987,0,0,0,-
정수빈,79231,두산,중견수,121,114,1012 2/3,3,0,302,4,1,0.990,0,0,0,-
김상수,79402,삼성,2루수,121,117,993,10,0,235,328,75,0.983,0,0,0,-
송광민,76753,한화,3루수,120,115,974,16,0,79,218,33,0.949,0,0,0,-
오선진,78756,한화,유격수,120,113,954 2/3,12,0,160,303,69,0.975,0,0,0,-
신본기,62556,롯데,유격수,118,108,906 2/3,15,0,161,272,56,0.967,0,0,0,-
임병욱,64346,키움,중견수,117,101,904 2/3,4,0,248,9,2,0.985,0,0,0,-
황재균,76313,KT,3루수,117,112,964,10,0,103,215,22,0.970,0,0,0,-
이학주,69453,삼성,유격수,116,110,935 1/3,19,0,155,281,67,0.958,0,0,0,-
박민우,62907,NC,2루수,116,111,928 1/3,9,0,232,301,63,0.983,0,0,0,-
샌즈,68345,키움,우익수,114,110,933,4,0,204,3,1,0.981,0,0,0,-
오태곤,60558,KT,1루수,113,85,726 1/3,8,0,694,71,65,0.990,0,0,0,-
김선빈,78603,KIA,유격수,110,100,835 2/3,9,0,143,266,63,0.978,0,0,0,-
김현수,76290,LG,좌익수,110,94,832,0,0,184,4,1,1.000,0,0,0,-
강민호,74540,삼성,포수,109,104,842,8,1,660,48,7,0.989,3,63,23,26.7
김헌곤,61404,삼성,좌익수,109,104,909,0,0,213,8,2,1.000,0,0,0,-
채은성,79192,LG,우익수,109,105,886 1/3,2,0,187,5,2,0.990,0,0,0,-
박병호,75125,키움,1루수,108,108,906 2/3,6,0,923,79,88,0.994,0,0,0,-
김하성,64300,키움,유격수,105,100,846,15,0,150,284,62,0.967,0,0,0,-
김민성,77564,LG,3루수,105,104,841 2/3,6,0,61,177,12,0.975,0,0,0,-
구자욱,62404,삼성,우익수,104,103,870 1/3,2,0,218,8,1,0.991,0,0,0,-
한승택,63722,KIA,포수,103,83,702,5,0,553,43,4,0.992,3,61,18,22.8
나종덕,67539,롯데,포수,103,66,556 2/3,5,1,474,42,7,0.990,1,40,24,37.5
김성욱,62934,NC,중견수,101,80,728 2/3,2,0,180,3,1,0.989,0,0,0,-
민병헌,76249,롯데,중견수,97,90,775,2,0,194,5,1,0.990,0,0,0,-
김용의,78217,LG,1루수,96,40,481,5,0,452,41,37,0.990,0,0,0,-
김민혁,64004,KT,좌익수,96,85,710 2/3,4,0,160,1,1,0.976,0,0,0,-
안치홍,79608,KIA,2루수,94,89,729 1/3,11,0,158,229,56,0.972,0,0,0,-
한동민,62895,SK,우익수,93,89,772 2/3,4,0,166,11,2,0.978,0,0,0,-
박찬호,64646,KIA,3루수,92,82,692,10,0,76,137,9,0.955,0,0,0,-
러프,67450,삼성,1루수,91,91,780 1/3,5,0,669,60,67,0.993,0,0,0,-
양의지,76232,NC,포수,91,87,723 1/3,2,1,590,45,10,0.997,2,37,15,28.8
로하스,67025,KT,중견수,90,88,746 2/3,6,0,200,4,1,0.971,0,0,0,-
박동원,79365,키움,포수,89,64,608,1,2,487,40,4,0.998,3,47,18,27.7
오재원,77248,두산,2루수,88,44,480 2/3,7,0,122,160,45,0.976,0,0,0,-
호잉,68730,한화,우익수,88,65,606 2/3,2,0,141,7,4,0.987,0,0,0,-
이원석,75566,삼성,3루수,88,87,722,13,0,45,126,11,0.929,0,0,0,-
이지영,79456,키움,포수,83,74,605,3,2,468,39,8,0.994,3,40,12,23.1
김규민,62356,키움,좌익수,82,52,509,1,0,116,5,1,0.992,0,0,0,-
이정후,67341,키움,좌익수,76,64,537 2/3,1,0,124,2,2,0.992,0,0,0,-
