선수명,ID,팀명,포지션,경기,선발경기,수비이닝,실책,견제사,자살,보살,병살,수비율,포일,도루허용,도루실패,도루저지율
신명철,71504,삼성,2루수,126,113,1003,12,0,296,337,73,0.981,0,0,0,-
이범호,70756,한화,3루수,126,123,1071,13,0,84,306,29,0.968,0,0,0,-
고영민,72214,두산,2루수,126,125,1095 1/3,9,0,267,360,82,0.986,0,0,0,-
강민호,74540,롯데,포수,125,123,1010,11,8,687,67,11,0.986,10,73,32,30.5
조인성,98144,LG,포수,124,123,1051 1/3,7,1,608,71,12,0.990,8,49,28,36.4
이대형,73153,LG,중견수,123,113,994 2/3,4,0,295,3,1,0.987,0,0,0,-
정성훈,99606,현대,3루수,122,121,1025 1/3,17,0,89,247,27,0.952,0,0,0,-
최정,75847,SK,3루수,122,120,1057 1/3,12,0,99,248,25,0.967,0,0,0,-
권용관,95158,LG,유격수,121,115,1000 2/3,24,0,177,379,84,0.959,0,0,0,-
최동수,94132,LG,1루수,121,119,992,9,0,1042,58,121,0.992,0,0,0,-
진갑용,97202,삼성,포수,120,120,923 2/3,4,0,599,61,11,0.994,8,61,35,36.5
박경완,92809,SK,포수,119,108,927 1/3,4,0,558,62,8,0.994,1,58,35,37.6
김상현,70646,LG,3루수,119,107,957,19,0,83,213,30,0.940,0,0,0,-
박용택,72133,LG,좌익수,118,118,1022 2/3,3,0,226,5,0,0.987,0,0,0,-
김민재,91523,한화,유격수,116,110,945 2/3,19,0,161,333,63,0.963,0,0,0,-
김강민,71837,SK,중견수,116,79,772 1/3,1,0,206,8,0,0.995,0,0,0,-
박재상,71857,SK,좌익수,116,82,771,1,0,148,5,0,0.994,0,0,0,-
김일경,97300,현대,2루수,115,108,889 1/3,12,0,226,285,59,0.977,0,0,0,-
이현곤,72606,KIA,3루수,115,112,954,16,0,79,225,21,0.950,0,0,0,-
김태균,71752,한화,1루수,114,113,964 1/3,4,0,1001,76,91,0.996,0,0,0,-
정경배,96441,SK,2루수,113,93,827 1/3,11,0,255,286,75,0.980,0,0,0,-
김동주,98218,두산,3루수,112,112,932 1/3,9,0,70,205,18,0.968,0,0,0,-
나주환,73209,SK,유격수,111,82,789 2/3,14,0,147,293,67,0.969,0,0,0,-
이대수,72860,두산,유격수,109,96,827 1/3,13,0,141,288,61,0.971,0,0,0,-
김상훈,70612,KIA,포수,108,105,820 1/3,4,1,527,34,11,0.993,7,88,21,19.3
이용규,74163,KIA,중견수,108,100,880 2/3,1,0,225,0,0,0.996,0,0,0,-
신경현,98742,한화,포수,107,80,695,2,4,488,70,6,0.996,0,72,43,37.4
김동수,90419,현대,포수,107,100,802 1/3,7,1,602,39,4,0.989,5,84,25,22.9
한상훈,73703,한화,2루수,106,71,704,6,0,223,251,55,0.988,0,0,0,-
안경현,92207,두산,1루수,103,98,793 1/3,2,0,802,61,71,0.998,0,0,0,-
심정수,94204,삼성,좌익수,101,101,763,0,0,125,11,0,1.000,0,0,0,-
이종열,91015,LG,2루수,100,95,721 2/3,3,0,206,231,69,0.993,0,0,0,-
정수근,95208,롯데,좌익수,99,91,737,3,0,120,3,0,0.976,0,0,0,-
박진만,96307,삼성,유격수,98,97,798,12,0,131,298,55,0.973,0,0,0,-
이대호,71564,롯데,1루수,98,98,816 1/3,4,0,846,63,78,0.996,0,0,0,-
고동진,74745,한화,우익수,97,61,609,0,0,151,4,0,1.000,0,0,0,-
민병헌,76249,두산,우익수,96,67,629,0,0,166,6,1,1.000,0,0,0,-
이원석,75566,롯데,유격수,96,74,649 2/3,13,0,110,222,47,0.962,0,0,0,-
박한이,71432,삼성,중견수,92,83,718 1/3,6,0,189,6,2,0.970,0,0,0,-
