선수명,ID,팀명,포지션,경기,선발경기,수비이닝,실책,견제사,자살,보살,병살,수비율,포일,도루허용,도루실패,도루저지율
김하성,64300,넥센,유격수,143,141,1203,21,0,162,407,78,0.964,0,0,0,-
손아섭,77532,롯데,우익수,143,142,1189,3,0,247,6,1,0.988,0,0,0,-
허경민,79240,두산,3루수,142,140,1206 1/3,7,0,101,220,27,0.979,0,0,0,-
나성범,62947,NC,우익수,142,139,1206 1/3,8,0,243,4,1,0.969,0,0,0,-
최정,75847,SK,3루수,140,136,1181 1/3,14,0,89,291,32,0.964,0,0,0,-
정근우,75808,한화,2루수,138,137,1170 2/3,16,0,337,406,105,0.979,0,0,0,-
김재호,74206,두산,유격수,137,129,1065,10,0,209,407,90,0.984,0,0,0,-
최형우,72443,삼성,좌익수,134,134,1094,3,0,221,4,1,0.987,0,0,0,-
김태군,78122,NC,포수,134,121,935 2/3,0,2,859,76,8,1.000,3,57,31,35.2
서건창,78168,넥센,2루수,133,133,1125 1/3,15,0,328,349,82,0.978,0,0,0,-
히메네스,65103,LG,3루수,133,129,1123 1/3,17,0,109,262,28,0.956,0,0,0,-
백상원,60456,삼성,2루수,130,129,1060 2/3,8,0,236,298,81,0.985,0,0,0,-
이범호,70756,KIA,3루수,130,128,1038 2/3,11,0,70,215,30,0.963,0,0,0,-
김민성,77564,넥센,3루수,128,123,1060,7,0,130,229,19,0.981,0,0,0,-
박동원,79365,넥센,포수,126,122,991 1/3,7,1,743,89,8,0.992,8,60,41,40.6
김문호,76509,롯데,좌익수,125,117,1005,5,0,201,2,0,0.976,0,0,0,-
이지영,79456,삼성,포수,124,101,867,10,1,682,65,13,0.987,5,77,35,31.3
황재균,76313,롯데,3루수,124,122,1055 2/3,15,0,85,271,33,0.960,0,0,0,-
필,64699,KIA,1루수,123,121,997 2/3,13,0,918,69,94,0.987,0,0,0,-
김호령,65653,KIA,중견수,122,112,1009 2/3,3,0,310,10,5,0.991,0,0,0,-
오재원,77248,두산,2루수,120,111,941 2/3,16,0,211,313,76,0.970,0,0,0,-
박해민,62415,삼성,중견수,119,107,942,2,0,316,6,1,0.994,0,0,0,-
오지환,79109,LG,유격수,119,112,990,17,0,181,365,74,0.970,0,0,0,-
박정권,74846,SK,1루수,118,107,918,6,0,947,91,91,0.994,0,0,0,-
이대형,73153,KT,중견수,117,107,896,1,0,212,7,1,0.995,0,0,0,-
박민우,62907,NC,2루수,116,113,897 1/3,14,0,224,278,65,0.973,0,0,0,-
이재원,76812,SK,포수,116,111,896 1/3,8,2,689,69,6,0.990,2,78,41,34.5
차일목,73602,한화,포수,116,90,708 1/3,6,2,582,57,6,0.991,6,76,31,29.0
박석민,74465,NC,3루수,114,111,891,15,0,54,153,11,0.932,0,0,0,-
