선수명,ID,팀명,포지션,경기,선발경기,수비이닝,실책,견제사,자살,보살,병살,수비율,포일,도루허용,도루실패,도루저지율
김태군,78122,NC,포수,144,139,1086 2/3,3,1,922,59,6,0.997,4,74,31,29.5
나성범,62947,NC,우익수,142,141,1192 1/3,6,0,268,11,4,0.979,0,0,0,-
박민우,62907,NC,2루수,141,133,1127 2/3,11,0,266,376,88,0.983,0,0,0,-
김하성,64300,넥센,유격수,140,139,1209 1/3,21,0,212,408,87,0.967,0,0,0,-
손시헌,73213,NC,유격수,140,137,1102,13,0,187,347,75,0.976,0,0,0,-
박해민,62415,삼성,중견수,138,129,1104 2/3,3,0,309,5,1,0.991,0,0,0,-
오지환,79109,LG,유격수,137,132,1155 2/3,15,0,223,449,96,0.978,0,0,0,-
필,64699,KIA,1루수,137,133,1091 2/3,8,0,1043,90,117,0.993,0,0,0,-
황재균,76313,롯데,3루수,135,128,1118 1/3,16,0,62,253,25,0.952,0,0,0,-
최형우,72443,삼성,좌익수,134,134,1060 2/3,2,0,214,6,0,0.991,0,0,0,-
박경수,73113,KT,2루수,134,131,1076,6,0,311,347,101,0.991,0,0,0,-
김재호,74206,두산,유격수,133,128,1112 2/3,16,0,187,352,73,0.971,0,0,0,-
박병호,75125,넥센,1루수,131,131,1124 1/3,12,0,1113,93,103,0.990,0,0,0,-
이범호,70756,KIA,3루수,131,127,986 2/3,9,0,77,198,28,0.968,0,0,0,-
이대형,73153,KT,중견수,131,126,981 2/3,2,0,213,3,1,0.991,0,0,0,-
박석민,74465,삼성,3루수,129,129,1066 2/3,14,0,63,206,16,0.951,0,0,0,-
양의지,76232,두산,포수,129,123,1003 2/3,6,3,860,76,8,0.994,4,93,33,26.2
정훈,60523,롯데,2루수,129,127,1060 1/3,17,0,258,332,83,0.972,0,0,0,-
김상수,79402,삼성,유격수,128,128,1092,18,0,175,323,62,0.965,0,0,0,-
김성현,76802,SK,유격수,128,116,991 2/3,22,0,164,320,74,0.957,0,0,0,-
정수빈,79231,두산,중견수,128,122,1090 2/3,2,0,255,4,2,0.992,0,0,0,-
나바로,64440,삼성,2루수,126,124,1058 1/3,12,0,268,293,74,0.979,0,0,0,-
박동원,79365,넥센,포수,126,122,1012,10,6,858,96,10,0.990,9,75,32,29.9
테임즈,64914,NC,1루수,125,125,1010,4,0,934,70,88,0.996,0,0,0,-
이종욱,73339,NC,중견수,124,120,1006,1,0,227,6,1,0.996,0,0,0,-
지석훈,73306,NC,3루수,124,106,835,12,0,72,165,18,0.952,0,0,0,-
유강남,61102,LG,포수,124,85,704 2/3,3,0,617,45,8,0.995,2,87,21,19.4
정근우,75808,한화,2루수,124,120,1015 1/3,10,0,267,367,85,0.984,0,0,0,-
김종호,77454,NC,좌익수,122,114,861,2,0,186,5,2,0.990,0,0,0,-
김현수,76290,두산,좌익수,120,118,962 2/3,1,0,205,3,0,0.995,0,0,0,-
이명기,76849,SK,좌익수,119,114,929 2/3,2,0,182,1,1,0.989,0,0,0,-
박기혁,70553,KT,유격수,119,95,767 1/3,8,0,134,279,62,0.981,0,0,0,-
이지영,79456,삼성,포수,118,101,844 2/3,7,0,803,58,8,0.992,4,44,29,39.7
박정권,74846,SK,1루수,117,112,973 2/3,8,0,897,78,83,0.992,0,0,0,-
민병헌,76249,두산,우익수,114,109,926,3,0,203,2,1,0.986,0,0,0,-
오재원,77248,두산,2루수,114,110,937 2/3,8,0,238,278,73,0.985,0,0,0,-
이용규,74163,한화,중견수,114,111,963 2/3,3,0,256,5,1,0.989,0,0,0,-
손아섭,77532,롯데,우익수,113,109,956 1/3,8,0,196,6,3,0.962,0,0,0,-
강민호,74540,롯데,포수,110,109,859 1/3,8,4,697,67,10,0.990,6,70,28,28.6
최경철,73824,LG,포수,109,58,545 1/3,5,0,442,33,1,0.990,6,38,17,30.9
장성우,78548,KT,포수,109,99,808 2/3,7,1,693,60,7,0.991,4,89,29,24.6
마르테,65005,KT,3루수,106,106,854 1/3,15,0,86,198,34,0.950,0,0,0,-
문규현,72546,롯데,유격수,105,86,739 2/3,11,0,124,276,49,0.973,0,0,0,-
조인성,98144,한화,포수,105,85,713 1/3,6,1,493,65,11,0.989,6,82,34,29.3
김호령,65653,KIA,중견수,103,76,691,2,0,216,7,2,0.991,0,0,0,-
강경학,61700,한화,유격수,97,72,639 2/3,12,0,129,212,48,0.966,0,0,0,-
허경민,79240,두산,3루수,95,79,711 1/3,9,0,61,176,18,0.963,0,0,0,-
김태균,71752,한화,1루수,95,94,760 1/3,9,0,755,59,74,0.989,0,0,0,-
주현상,65707,한화,3루수,94,65,559 2/3,7,0,46,140,14,0.964,0,0,0,-
박한이,71432,삼성,우익수,93,92,786 1/3,2,0,170,5,1,0.989,0,0,0,-
김성욱,62934,NC,좌익수,93,23,320 1/3,0,0,73,5,1,1.000,0,0,0,-
심우준,64006,KT,유격수,93,36,394,10,0,90,130,28,0.957,0,0,0,-
박지규,65136,LG,2루수,92,44,459,2,0,99,159,48,0.992,0,0,0,-
김강민,71837,SK,중견수,91,78,692,1,0,186,6,2,0.995,0,0,0,-
박종윤,71562,롯데,1루수,91,80,692 2/3,4,0,729,44,57,0.995,0,0,0,-
구자욱,62404,삼성,1루수,90,62,590 2/3,8,0,498,22,41,0.985,0,0,0,-
정상호,71842,SK,포수,90,74,631,7,2,580,46,4,0.989,1,64,29,31.2
아두치,65523,롯데,좌익수,89,56,559 1/3,1,0,120,7,0,0.992,0,0,0,-
이홍구,63634,KIA,포수,89,57,474,3,0,383,32,5,0.993,2,56,15,21.1
용덕한,74223,NC,포수,88,38,394 2/3,1,2,334,31,7,0.997,1,36,14,28.0
강한울,64610,KIA,유격수,88,77,665 1/3,12,0,118,238,60,0.967,0,0,0,-
신종길,72559,KIA,우익수,85,79,569,4,0,115,7,1,0.968,0,0,0,-
브라운,65823,SK,우익수,84,75,610 1/3,1,0,119,7,1,0.992,0,0,0,-
권용관,95158,한화,유격수,84,65,568,12,0,107,162,47,0.957,0,0,0,-
김민우,72303,KIA,2루수,83,69,554 2/3,2,0,143,208,49,0.994,0,0,0,-
나주환,73209,SK,2루수,82,58,526,3,0,126,153,37,0.989,0,0,0,-
유한준,74339,넥센,우익수,81,68,570 2/3,2,0,126,0,0,0.984,0,0,0,-
이택근,73342,넥센,중견수,81,72,621 2/3,0,0,128,3,0,1.000,0,0,0,-
이진영,99810,LG,우익수,81,71,591 1/3,1,0,111,2,1,0.991,0,0,0,-
아두치,65523,롯데,중견수,81,72,564 2/3,2,0,133,3,1,0.986,0,0,0,-
임정호,63959,NC,투수,80,0,48,0,1,0,7,0,1.000,0,0,0,-
손주인,72456,LG,2루수,80,69,526 2/3,7,0,134,193,46,0.979,0,0,0,-
안중열,64022,롯데,포수,79,30,358 2/3,5,0,290,35,5,0.985,7,36,14,28.0
채태인,77463,삼성,1루수,78,73,568,4,0,483,29,42,0.992,0,0,0,-
최금강,62966,NC,투수,78,0,89 2/3,3,0,8,12,1,0.870,0,0,0,-
윤지웅,61329,LG,투수,78,0,62,0,0,8,17,1,1.000,0,0,0,-
권혁,72447,한화,투수,78,0,112,1,1,2,18,1,0.952,0,0,0,-
박정진,99737,한화,투수,76,0,96,2,0,3,8,1,0.846,0,0,0,-
신명철,71504,KT,1루수,76,36,346 2/3,2,0,317,26,42,0.994,0,0,0,-
정성훈,99606,LG,1루수,74,66,544 2/3,2,0,571,27,66,0.997,0,0,0,-
