선수명,ID,팀명,포지션,경기,선발경기,수비이닝,실책,견제사,자살,보살,병살,수비율,포일,도루허용,도루실패,도루저지율
김상수,79402,삼성,유격수,126,121,1059 1/3,22,0,205,356,74,0.962,0,0,0,-
정성훈,99606,LG,3루수,125,123,1015 2/3,12,0,63,216,19,0.959,0,0,0,-
강정호,76325,넥센,유격수,123,122,1059 1/3,13,0,186,365,81,0.977,0,0,0,-
강민호,74540,롯데,포수,122,122,998 1/3,15,5,698,84,16,0.981,7,78,43,35.5
문규현,72546,롯데,유격수,122,104,892,16,0,184,354,89,0.971,0,0,0,-
전준우,78513,롯데,중견수,120,117,974,2,0,223,13,1,0.992,0,0,0,-
김민우,72303,넥센,3루수,120,109,963,13,0,77,192,23,0.954,0,0,0,-
박한이,71432,삼성,우익수,118,110,947,2,0,266,2,0,0.993,0,0,0,-
김현수,76290,두산,좌익수,118,116,969 1/3,5,0,231,10,3,0.980,0,0,0,-
양의지,76232,두산,포수,118,117,915 1/3,6,0,704,82,14,0.992,1,74,52,41.3
조성환,99543,롯데,2루수,117,114,967 1/3,9,0,244,342,100,0.985,0,0,0,-
조인성,98144,LG,포수,117,107,933,5,0,641,62,8,0.993,15,77,35,31.3
김민성,77564,넥센,2루수,117,96,835 2/3,8,0,245,295,72,0.985,0,0,0,-
이대수,72860,한화,유격수,117,108,909 1/3,10,0,151,295,51,0.978,0,0,0,-
이종욱,73339,두산,중견수,116,107,915 2/3,4,0,185,4,1,0.979,0,0,0,-
안치홍,79608,KIA,2루수,115,106,900,9,0,256,300,81,0.984,0,0,0,-
신명철,71504,삼성,2루수,114,99,840,7,0,214,224,57,0.984,0,0,0,-
알드리지,61332,넥센,좌익수,114,112,974 2/3,1,0,178,3,0,0.995,0,0,0,-
최정,75847,SK,3루수,113,112,996 1/3,5,0,63,213,22,0.982,0,0,0,-
정상호,71842,SK,포수,111,102,873 1/3,7,1,771,72,13,0.992,4,53,42,44.2
이대호,71564,롯데,1루수,111,110,891 2/3,4,0,923,83,104,0.996,0,0,0,-
손아섭,77532,롯데,우익수,109,109,930 1/3,7,0,206,17,5,0.970,0,0,0,-
황재균,76313,롯데,3루수,108,104,891 2/3,19,0,77,192,27,0.934,0,0,0,-
이여상,76435,한화,3루수,108,90,762,7,0,53,142,12,0.965,0,0,0,-
차일목,73602,KIA,포수,107,99,814 2/3,7,0,674,58,8,0.991,3,86,26,23.2
최준석,71552,두산,1루수,105,101,804,1,0,766,58,78,0.999,0,0,0,-
이영욱,78467,삼성,중견수,104,50,534 2/3,1,0,133,7,2,0.993,0,0,0,-
이원석,75566,두산,3루수,102,70,686 2/3,4,0,47,158,13,0.981,0,0,0,-
이용규,74163,KIA,중견수,101,101,852 2/3,1,0,190,5,0,0.995,0,0,0,-
진갑용,97202,삼성,포수,100,87,675,6,0,495,41,5,0.989,3,42,23,35.4
신경현,98742,한화,포수,100,79,636,3,1,544,38,3,0.995,2,69,18,20.7
박정권,74846,SK,1루수,99,75,715,4,0,680,55,65,0.995,0,0,0,-
김선빈,78603,KIA,유격수,98,96,778,9,0,104,260,62,0.976,0,0,0,-
박석민,74465,삼성,3루수,97,92,715,9,0,87,130,14,0.960,0,0,0,-
한상훈,73703,한화,2루수,97,87,686 2/3,4,0,167,226,44,0.990,0,0,0,-
이대형,73153,LG,중견수,95,88,768,0,0,205,3,1,1.000,0,0,0,-
손시헌,73213,두산,유격수,92,89,777 2/3,6,0,173,264,51,0.986,0,0,0,-
박재상,71857,SK,좌익수,91,78,703 1/3,2,0,125,2,0,0.984,0,0,0,-
오재원,77248,두산,2루수,90,83,658 1/3,9,0,188,217,62,0.978,0,0,0,-
강동우,98420,한화,중견수,90,69,607 1/3,0,0,142,2,1,1.000,0,0,0,-
최형우,72443,삼성,좌익수,89,89,696 2/3,1,0,136,9,0,0.993,0,0,0,-
정근우,75808,SK,2루수,87,83,738 2/3,4,0,196,255,62,0.991,0,0,0,-
이범호,70756,KIA,3루수,86,84,681,3,0,68,160,18,0.987,0,0,0,-
정수빈,79231,두산,우익수,85,74,644 2/3,5,0,173,9,4,0.973,0,0,0,-
이진영,99810,LG,우익수,85,73,646 1/3,1,0,166,3,0,0.994,0,0,0,-
최진행,74729,한화,좌익수,84,79,654 2/3,5,0,135,2,0,0.965,0,0,0,-
고영민,72214,두산,2루수,82,47,496,5,0,116,133,26,0.980,0,0,0,-
이종범,93607,KIA,우익수,80,51,474,0,0,107,1,0,1.000,0,0,0,-
