선수명,ID,팀명,포지션,경기,선발경기,수비이닝,실책,견제사,자살,보살,병살,수비율,포일,도루허용,도루실패,도루저지율
손시헌,73213,두산,유격수,126,125,1076 2/3,15,0,210,348,78,0.974,0,0,0,-
강민호,74540,롯데,포수,126,126,1040,12,3,634,75,16,0.983,13,61,37,37.8
박한이,71432,삼성,중견수,125,124,1072 1/3,5,0,266,11,2,0.982,0,0,0,-
이범호,70756,한화,3루수,125,123,1059,13,0,91,242,23,0.962,0,0,0,-
김태균,71752,한화,1루수,123,122,1056 1/3,3,0,1110,75,81,0.997,0,0,0,-
장성호,96610,KIA,1루수,123,122,1071 1/3,8,0,1098,72,113,0.993,0,0,0,-
이대수,72860,SK,유격수,122,115,1001 1/3,13,0,181,356,76,0.976,0,0,0,-
정성훈,99606,현대,3루수,122,122,1033 1/3,19,0,81,245,21,0.945,0,0,0,-
김민재,91523,한화,유격수,121,114,993,16,0,189,382,59,0.973,0,0,0,-
김상훈,70612,KIA,포수,120,115,969 1/3,5,4,690,64,11,0.993,4,60,30,33.3
박용택,72133,LG,좌익수,119,117,1007 2/3,2,0,216,7,1,0.991,0,0,0,-
이숭용,94310,현대,1루수,119,113,931 2/3,4,0,978,55,96,0.996,0,0,0,-
이대호,71564,롯데,1루수,118,118,972,7,0,1099,78,92,0.994,0,0,0,-
박진만,96307,삼성,유격수,115,115,940 2/3,8,0,155,293,53,0.982,0,0,0,-
데이비스,99725,한화,중견수,114,110,932 2/3,4,0,234,8,3,0.984,0,0,0,-
이병규,97109,LG,중견수,114,114,963 1/3,2,0,246,5,2,0.992,0,0,0,-
김동수,90419,현대,포수,113,108,889 1/3,4,1,686,41,7,0.995,2,70,17,19.5
김창희,97644,삼성,우익수,112,85,783 1/3,3,0,196,5,1,0.985,0,0,0,-
강동우,98420,두산,우익수,112,105,850,0,0,191,7,3,1.000,0,0,0,-
고동진,74745,한화,우익수,112,74,809 1/3,3,0,202,8,1,0.986,0,0,0,-
고영민,72214,두산,2루수,111,90,827 1/3,11,0,221,242,59,0.977,0,0,0,-
박경완,92809,SK,포수,111,94,804 1/3,5,2,568,47,7,0.992,4,91,29,24.2
이진영,99810,SK,우익수,111,107,931,2,0,216,9,3,0.991,0,0,0,-
조인성,98144,LG,포수,111,101,840 1/3,5,1,507,51,5,0.991,6,40,21,34.4
박기혁,70553,롯데,유격수,109,95,814 1/3,5,0,146,313,57,0.989,0,0,0,-
진갑용,97202,삼성,포수,108,107,863 1/3,4,0,664,55,8,0.994,4,55,37,40.2
