선수명,ID,팀명,포지션,경기,선발경기,수비이닝,실책,견제사,자살,보살,병살,수비율,포일,도루허용,도루실패,도루저지율
안치홍,79608,KIA,2루수,133,127,1119 1/3,9,0,290,403,82,0.987,0,0,0,-
조인성,98144,LG,포수,130,121,1014,3,2,705,74,16,0.996,7,105,50,32.3
강정호,76325,넥센,유격수,129,126,1091,23,0,196,379,95,0.962,0,0,0,-
박경완,92809,SK,포수,128,117,1004,6,1,934,75,10,0.994,6,81,44,35.2
손시헌,73213,두산,유격수,128,123,1058 2/3,14,0,202,368,72,0.976,0,0,0,-
이대형,73153,LG,중견수,128,121,1078 2/3,2,0,232,3,1,0.992,0,0,0,-
정근우,75808,SK,2루수,127,122,1068 1/3,13,0,275,367,90,0.980,0,0,0,-
양의지,76232,두산,포수,125,120,922,10,1,723,62,8,0.987,7,100,33,24.8
이대수,72860,한화,유격수,125,122,963,5,0,170,346,70,0.990,0,0,0,-
이용규,74163,KIA,중견수,123,114,1020 1/3,3,0,223,4,0,0.987,0,0,0,-
최정,75847,SK,3루수,123,113,1033,14,0,60,211,17,0.951,0,0,0,-
신명철,71504,삼성,2루수,122,112,935,13,0,214,243,53,0.972,0,0,0,-
최진행,74729,한화,좌익수,122,121,1046,4,0,206,2,1,0.981,0,0,0,-
오지환,79109,LG,유격수,121,109,944 2/3,27,0,156,340,81,0.948,0,0,0,-
이영욱,78467,삼성,중견수,119,99,939 2/3,1,0,231,4,1,0.996,0,0,0,-
최희섭,77623,KIA,1루수,118,117,1023,7,0,1080,68,93,0.994,0,0,0,-
김현수,76290,두산,좌익수,118,118,946,2,0,169,7,1,0.989,0,0,0,-
가르시아,78595,롯데,우익수,118,116,975 1/3,5,0,177,7,3,0.974,0,0,0,-
장기영,71347,넥센,중견수,118,114,992,7,0,222,7,1,0.970,0,0,0,-
강민호,74540,롯데,포수,116,116,950 2/3,11,3,652,67,10,0.985,3,107,36,25.2
신경현,98742,한화,포수,116,79,668 1/3,4,1,518,63,3,0.993,5,77,31,28.7
김강민,71837,SK,중견수,115,110,977 1/3,1,0,214,4,1,0.995,0,0,0,-
박한이,71432,삼성,우익수,114,98,867 1/3,1,0,201,11,2,0.995,0,0,0,-
정원석,70240,한화,2루수,113,100,806,15,0,239,269,67,0.971,0,0,0,-
이종욱,73339,두산,중견수,112,106,865 2/3,2,0,207,5,1,0.991,0,0,0,-
이숭용,94310,넥센,1루수,112,93,770,4,0,795,62,86,0.995,0,0,0,-
조성환,99543,롯데,2루수,109,109,875,3,0,218,360,65,0.995,0,0,0,-
정성훈,99606,LG,3루수,109,99,850 1/3,12,0,55,205,22,0.956,0,0,0,-
박정권,74846,SK,1루수,106,66,695 1/3,2,0,672,43,78,0.997,0,0,0,-
최준석,71552,두산,1루수,104,103,756 1/3,2,0,770,75,68,0.998,0,0,0,-
이대호,71564,롯데,3루수,102,96,796,11,0,76,172,20,0.958,0,0,0,-
박종윤,71562,롯데,1루수,101,71,705 2/3,3,0,775,80,71,0.997,0,0,0,-
김선빈,78603,KIA,유격수,100,95,812 2/3,14,0,123,309,54,0.969,0,0,0,-
손아섭,77532,롯데,좌익수,100,93,742 2/3,4,0,130,10,1,0.972,0,0,0,-
이성열,73136,두산,우익수,99,97,697 1/3,3,0,180,5,2,0.984,0,0,0,-
김상훈,70612,KIA,포수,97,86,730,11,3,600,35,9,0.983,2,102,22,17.7
