선수명,ID,팀명,포지션,경기,선발경기,수비이닝,실책,견제사,자살,보살,병살,수비율,포일,도루허용,도루실패,도루저지율
손시헌,73213,두산,유격수,126,125,1073,14,0,193,390,109,0.977,0,0,0,-
정경배,96441,SK,2루수,126,125,1037,9,0,283,312,66,0.985,0,0,0,-
정성훈,99606,현대,3루수,125,125,1065 2/3,18,0,83,233,12,0.946,0,0,0,-
김민재,91523,SK,유격수,125,123,1076,15,0,226,341,61,0.974,0,0,0,-
이범호,70756,한화,3루수,125,123,1080,15,0,83,283,25,0.961,0,0,0,-
김태균,71752,한화,1루수,123,123,1062,5,0,1150,91,110,0.996,0,0,0,-
박한이,71432,삼성,중견수,121,119,1064 1/3,4,0,237,11,1,0.984,0,0,0,-
강동우,98420,삼성,우익수,118,93,864 1/3,1,0,180,3,0,0.995,0,0,0,-
이진영,99810,SK,우익수,118,116,1020 1/3,3,0,215,8,2,0.987,0,0,0,-
박종호,92906,삼성,2루수,117,116,873,10,0,211,256,46,0.979,0,0,0,-
이종범,93607,KIA,중견수,114,108,899 1/3,4,0,195,7,1,0.981,0,0,0,-
데이비스,99725,한화,중견수,114,114,964 1/3,4,0,213,9,2,0.982,0,0,0,-
신명철,71504,롯데,2루수,114,92,831 2/3,5,0,232,291,70,0.991,0,0,0,-
박경완,92809,SK,포수,112,97,881 1/3,4,1,682,74,9,0.995,7,58,45,43.7
신경현,98742,한화,포수,110,97,810 2/3,5,1,525,61,7,0.992,3,100,36,26.5
박기혁,70553,롯데,유격수,109,104,873,19,0,152,314,55,0.961,0,0,0,-
정수근,95208,롯데,중견수,108,102,829 1/3,7,0,169,3,1,0.961,0,0,0,-
송지만,96761,현대,우익수,107,100,876 2/3,3,0,210,4,1,0.986,0,0,0,-
김태균,94415,SK,3루수,107,86,676,9,0,44,147,10,0.955,0,0,0,-
장원진,92211,두산,1루수,106,95,756,5,0,737,47,91,0.994,0,0,0,-
조동찬,72466,삼성,3루수,105,92,817 1/3,16,0,76,201,15,0.945,0,0,0,-
진갑용,97202,삼성,포수,105,101,805,6,0,639,47,9,0.991,2,52,23,30.7
정수성,97350,현대,중견수,104,97,845 2/3,4,0,213,4,1,0.982,0,0,0,-
김상훈,70612,KIA,포수,103,93,745 1/3,6,1,569,37,10,0.990,3,57,22,27.8
장성호,96610,KIA,1루수,103,100,881,4,0,875,63,85,0.996,0,0,0,-
박재홍,96362,SK,중견수,103,101,829,2,0,205,5,1,0.991,0,0,0,-
강민호,74540,롯데,포수,103,65,580 2/3,9,1,500,32,6,0.983,4,58,17,22.7
안경현,92207,두산,2루수,101,101,779,3,0,199,259,74,0.993,0,0,0,-
라이온,74534,롯데,1루수,99,87,750 1/3,4,0,796,61,70,0.995,0,0,0,-
김한수,94450,삼성,1루수,96,92,777 2/3,5,0,782,59,54,0.994,0,0,0,-
김동수,90419,현대,포수,95,92,764 2/3,8,0,558,48,7,0.987,3,61,25,29.1
홍성흔,99222,두산,포수,94,94,712,7,2,559,31,11,0.988,5,49,19,27.9
최기문,96224,롯데,포수,89,53,491,2,2,331,32,4,0.995,2,46,16,25.8
이숭용,94310,현대,1루수,88,74,630 1/3,6,0,654,38,58,0.991,0,0,0,-
이대호,71564,롯데,3루수,88,80,635 2/3,9,0,44,142,19,0.954,0,0,0,-
이호준,94629,SK,1루수,85,66,599 2/3,4,0,579,37,47,0.994,0,0,0,-
고동진,74745,한화,우익수,85,56,572 2/3,3,0,136,3,0,0.979,0,0,0,-
