선수명,ID,팀명,포지션,경기,선발경기,수비이닝,실책,견제사,자살,보살,병살,수비율,포일,도루허용,도루실패,도루저지율
오지환,79109,LG,유격수,143,142,1198 2/3,24,0,211,409,74,0.963,0,0,0,-
나성범,62947,NC,우익수,142,142,1220,3,0,288,9,2,0.990,0,0,0,-
하주석,62700,한화,유격수,141,132,1142 2/3,18,0,194,348,80,0.968,0,0,0,-
박해민,62415,삼성,중견수,141,134,1198 2/3,2,0,344,4,1,0.994,0,0,0,-
채은성,79192,LG,우익수,135,134,1147 2/3,3,0,264,8,1,0.989,0,0,0,-
이용규,74163,한화,중견수,133,128,1069 2/3,6,0,260,5,2,0.978,0,0,0,-
허경민,79240,두산,3루수,132,121,1046,7,0,87,226,29,0.978,0,0,0,-
번즈,67598,롯데,2루수,132,127,1073,22,0,260,360,81,0.966,0,0,0,-
로맥,67872,SK,1루수,132,124,1078 2/3,8,0,1026,68,90,0.993,0,0,0,-
로하스,67025,KT,중견수,132,130,1127 2/3,3,0,258,7,0,0.989,0,0,0,-
호잉,68730,한화,우익수,130,129,1098 2/3,3,0,240,9,1,0.988,0,0,0,-
김헌곤,61404,삼성,좌익수,130,115,1039 1/3,0,0,232,14,5,1.000,0,0,0,-
버나디나,67650,KIA,중견수,129,124,1026 2/3,3,0,250,5,1,0.988,0,0,0,-
김재호,74206,두산,유격수,129,114,939,12,0,154,285,66,0.973,0,0,0,-
손아섭,77532,롯데,우익수,127,125,1068 2/3,4,0,245,5,2,0.984,0,0,0,-
박경수,73113,KT,2루수,127,122,1016,14,0,283,381,111,0.979,0,0,0,-
김선빈,78603,KIA,유격수,126,115,962,12,0,163,293,62,0.974,0,0,0,-
유강남,61102,LG,포수,126,109,952,7,0,783,53,9,0.992,6,78,26,25.0
김하성,64300,넥센,유격수,126,124,1071 2/3,13,0,206,396,69,0.979,0,0,0,-
임병욱,64346,넥센,중견수,126,97,911 2/3,5,0,227,2,0,0.979,0,0,0,-
최재훈,78288,한화,포수,126,95,830 2/3,5,0,747,48,14,0.994,7,52,25,32.5
황재균,76313,KT,3루수,125,123,1040 1/3,17,0,68,221,32,0.944,0,0,0,-
오재원,77248,두산,2루수,122,116,966,16,0,236,305,81,0.971,0,0,0,-
장성우,78548,KT,포수,122,107,894 2/3,9,0,744,50,5,0.989,17,64,21,24.7
김민식,62864,KIA,포수,121,100,844,4,1,708,51,6,0.995,6,71,19,21.1
김상수,79402,삼성,유격수,120,120,989,16,0,164,288,68,0.966,0,0,0,-
윤석민,74215,KT,1루수,120,115,954 1/3,7,0,881,54,108,0.993,0,0,0,-
이재원,76812,SK,포수,119,109,846 2/3,11,2,774,48,6,0.987,5,72,18,20.0
이원석,75566,삼성,3루수,119,117,965 2/3,9,0,87,173,13,0.967,0,0,0,-
양의지,76232,두산,포수,118,108,861 2/3,3,0,703,52,8,0.996,5,46,28,37.8
전준우,78513,롯데,좌익수,117,109,929 2/3,3,0,174,3,0,0.983,0,0,0,-
김재환,78224,두산,좌익수,116,116,926 2/3,4,0,181,8,0,0.979,0,0,0,-
김재현,62332,넥센,포수,116,69,625,4,0,525,26,5,0.993,5,34,12,26.1
오재일,75334,두산,1루수,115,107,939 2/3,4,0,878,53,92,0.996,0,0,0,-
스크럭스,67935,NC,1루수,115,113,962 1/3,11,0,848,55,94,0.988,0,0,0,-
심우준,64006,KT,유격수,114,92,793,13,0,174,270,72,0.972,0,0,0,-
양석환,64153,LG,3루수,113,109,882,11,0,72,171,15,0.957,0,0,0,-
