선수명,ID,팀명,포지션,경기,선발경기,수비이닝,실책,견제사,자살,보살,병살,수비율,포일,도루허용,도루실패,도루저지율
황재균,76313,롯데,3루수,128,126,1112 2/3,18,0,92,232,27,0.947,0,0,0,-
전준우,78513,롯데,중견수,126,124,1106 1/3,6,0,276,7,1,0.979,0,0,0,-
손아섭,77532,롯데,우익수,124,124,1096 2/3,8,0,236,11,3,0.969,0,0,0,-
강정호,76325,넥센,유격수,124,122,1071 2/3,15,0,226,380,98,0.976,0,0,0,-
오지환,79109,LG,유격수,124,113,1007 2/3,20,0,204,408,105,0.968,0,0,0,-
김민성,77564,넥센,3루수,123,121,1043,13,0,83,229,24,0.960,0,0,0,-
손주인,72456,LG,2루수,121,109,920 2/3,8,0,220,327,101,0.986,0,0,0,-
최정,75847,SK,3루수,119,118,1020 2/3,19,0,80,222,21,0.941,0,0,0,-
박병호,75125,넥센,1루수,119,118,1011,5,0,982,80,110,0.995,0,0,0,-
안치홍,79608,KIA,2루수,116,113,986 1/3,8,0,234,344,67,0.986,0,0,0,-
노진혁,62931,NC,유격수,116,100,867 1/3,10,0,144,283,69,0.977,0,0,0,-
김상수,79402,삼성,유격수,115,114,974 1/3,16,0,165,297,54,0.967,0,0,0,-
허도환,77243,넥센,포수,115,101,822 2/3,8,3,639,78,12,0.989,6,97,36,27.1
정성훈,99606,LG,3루수,115,109,909 1/3,14,0,68,187,24,0.948,0,0,0,-
양의지,76232,두산,포수,114,96,815 2/3,4,1,645,57,7,0.994,7,87,38,30.4
김태군,78122,NC,포수,112,100,789,7,0,627,53,4,0.990,4,67,27,28.7
박한이,71432,삼성,우익수,111,108,920,1,0,224,5,3,0.996,0,0,0,-
김현수,76290,두산,좌익수,111,110,812,2,0,185,11,1,0.990,0,0,0,-
박종윤,71562,롯데,1루수,111,98,876 1/3,4,0,881,74,63,0.996,0,0,0,-
이지영,79456,삼성,포수,110,80,680,6,2,585,38,7,0.990,3,67,21,23.9
조영훈,75441,NC,1루수,110,101,865 1/3,5,0,865,70,90,0.995,0,0,0,-
이종욱,73339,두산,중견수,107,97,818 1/3,2,0,203,4,0,0.990,0,0,0,-
박석민,74465,삼성,3루수,106,102,869 1/3,10,0,59,180,24,0.960,0,0,0,-
정근우,75808,SK,2루수,106,105,878 2/3,6,0,253,284,81,0.989,0,0,0,-
민병헌,76249,두산,우익수,106,90,783,1,0,169,3,0,0.994,0,0,0,-
장기영,71347,넥센,좌익수,106,88,785,8,0,159,11,4,0.955,0,0,0,-
정훈,60523,롯데,2루수,104,91,816 1/3,9,0,202,265,57,0.981,0,0,0,-
이범호,70756,KIA,3루수,104,104,826,3,0,63,176,18,0.988,0,0,0,-
나성범,62947,NC,중견수,104,104,916 1/3,3,0,234,8,3,0.988,0,0,0,-
김강민,71837,SK,중견수,100,93,810,3,0,192,8,2,0.985,0,0,0,-
강민호,74540,롯데,포수,98,98,792 2/3,8,6,591,78,11,0.988,2,69,43,38.4
모창민,78813,NC,3루수,97,96,775 1/3,8,0,52,191,14,0.968,0,0,0,-
박정권,74846,SK,1루수,96,85,749,2,0,737,58,73,0.997,0,0,0,-
신본기,62556,롯데,유격수,95,75,653,10,0,126,216,34,0.972,0,0,0,-
한상훈,73703,한화,2루수,95,77,637,4,0,159,223,42,0.990,0,0,0,-
지석훈,73306,NC,2루수,95,82,695 1/3,6,0,157,228,57,0.985,0,0,0,-
정형식,79459,삼성,중견수,92,52,535 2/3,3,0,134,3,1,0.979,0,0,0,-
손시헌,73213,두산,유격수,92,63,586 2/3,4,0,109,219,50,0.988,0,0,0,-
박용택,72133,LG,중견수,90,85,662 1/3,0,0,146,1,0,1.000,0,0,0,-
이택근,73342,넥센,중견수,89,89,760 1/3,5,0,172,7,1,0.973,0,0,0,-
최형우,72443,삼성,좌익수,88,88,711,1,0,137,5,0,0.993,0,0,0,-
진갑용,97202,삼성,포수,87,43,418 2/3,4,1,363,22,1,0.990,5,58,13,18.3
박진만,96307,SK,유격수,87,78,585 1/3,8,0,95,213,52,0.975,0,0,0,-
김선빈,78603,KIA,유격수,87,86,714,9,0,115,213,45,0.973,0,0,0,-
서건창,78168,넥센,2루수,86,81,698,4,0,174,248,60,0.991,0,0,0,-
김용의,78217,LG,1루수,86,58,556,1,0,578,46,64,0.998,0,0,0,-
조인성,98144,SK,포수,85,64,537 1/3,2,0,437,40,4,0.996,5,43,19,30.6
박재상,71857,SK,좌익수,84,59,568 1/3,2,0,118,5,0,0.984,0,0,0,-
윤요섭,78892,LG,포수,84,67,540 1/3,1,1,426,38,9,0.998,4,57,18,24.0
차일목,73602,KIA,포수,83,55,473 2/3,2,2,390,31,2,0.995,2,76,17,18.3
정범모,76720,한화,포수,83,44,443,8,1,341,24,1,0.979,4,72,12,14.3
이원석,75566,두산,3루수,82,69,646,7,0,54,116,8,0.960,0,0,0,-
이대형,73153,LG,중견수,82,33,387,2,0,80,1,0,0.976,0,0,0,-
이진영,99810,LG,우익수,81,72,611,0,0,151,3,2,1.000,0,0,0,-
배영섭,79465,삼성,중견수,80,75,609,2,0,160,4,1,0.988,0,0,0,-
정의윤,75151,LG,좌익수,79,68,552,1,0,107,5,2,0.991,0,0,0,-
김종호,77454,NC,우익수,79,77,642,1,0,139,5,2,0.993,0,0,0,-
정상호,71842,SK,포수,77,56,518 2/3,5,1,413,36,9,0.989,4,29,15,34.1
나지완,78629,KIA,좌익수,76,75,591 1/3,3,0,101,4,1,0.972,0,0,0,-
이명우,72535,롯데,투수,74,0,55 2/3,0,1,3,20,2,1.000,0,0,0,-
고동진,74745,한화,중견수,74,71,597 2/3,2,0,159,4,1,0.988,0,0,0,-
김성현,76802,SK,유격수,72,27,345 1/3,2,0,55,102,16,0.987,0,0,0,-
조동화,71848,SK,우익수,72,53,472 2/3,0,0,115,1,0,1.000,0,0,0,-
진해수,76650,SK,투수,72,0,49,1,1,4,6,0,0.909,0,0,0,-
채태인,77463,삼성,1루수,71,62,551,6,0,528,33,42,0.989,0,0,0,-
김주형,74605,KIA,1루수,71,61,545,5,0,524,37,46,0.991,0,0,0,-
김태균,71752,한화,1루수,71,71,587 2/3,1,0,544,48,47,0.998,0,0,0,-
정현석,78745,한화,우익수,71,56,470 2/3,1,0,116,3,1,0.992,0,0,0,-
김재호,74206,두산,유격수,70,56,474 1/3,3,0,86,167,36,0.988,0,0,0,-
오선진,78756,한화,3루수,70,57,516,4,0,45,101,13,0.973,0,0,0,-
이태원,60102,NC,포수,70,25,278,1,0,194,13,3,0.995,3,13,8,38.1
박동원,79365,넥센,포수,69,26,287 2/3,6,2,222,36,2,0.977,3,34,19,35.8
한현희,62363,넥센,투수,69,0,67 1/3,1,1,5,16,2,0.955,0,0,0,-
문규현,72546,롯데,유격수,68,29,292 2/3,8,0,50,111,20,0.953,0,0,0,-
오현택,79293,두산,투수,67,0,73 1/3,1,0,3,8,0,0.917,0,0,0,-
송광민,76753,한화,유격수,67,66,554,6,0,88,176,32,0.978,0,0,0,-
오재원,77248,두산,2루수,66,49,420 2/3,2,0,106,129,32,0.992,0,0,0,-
정수빈,79231,두산,좌익수,66,12,220,1,0,50,2,0,0.981,0,0,0,-
최준석,71552,두산,1루수,66,57,406,1,0,389,31,45,0.998,0,0,0,-
배영섭,79465,삼성,좌익수,64,26,289,1,0,54,0,0,0.982,0,0,0,-
문선재,79113,LG,1루수,64,47,389,4,0,392,30,52,0.991,0,0,0,-
이동현,71118,LG,투수,64,0,72,2,2,4,16,1,0.909,0,0,0,-
이상열,96720,LG,투수,64,0,33,1,0,1,5,0,0.857,0,0,0,-
이대수,72860,한화,유격수,64,58,455 2/3,3,0,73,157,17,0.987,0,0,0,-
이현곤,72606,NC,3루수,63,23,276 2/3,3,0,24,50,3,0.961,0,0,0,-
이용규,74163,KIA,중견수,62,62,537 2/3,0,0,111,4,1,1.000,0,0,0,-
박기남,74103,KIA,3루수,61,16,220 1/3,3,0,22,24,1,0.939,0,0,0,-
송신영,99314,넥센,투수,61,0,61 2/3,0,0,2,11,1,1.000,0,0,0,-
오재원,77248,두산,1루수,60,34,349 2/3,5,0,349,27,42,0.987,0,0,0,-
최재훈,78288,두산,포수,59,26,276,2,0,218,19,2,0.992,1,19,12,38.7
김성배,73226,롯데,투수,58,0,59,0,0,3,6,0,1.000,0,0,0,-
정대현,71801,롯데,투수,58,0,51 1/3,1,1,0,13,1,0.929,0,0,0,-
류택현,94228,LG,투수,58,0,29 1/3,0,0,2,2,0,1.000,0,0,0,-
이승화,71565,롯데,좌익수,57,54,473,2,0,103,8,1,0.982,0,0,0,-
신종길,72559,KIA,우익수,57,40,376 1/3,0,0,81,3,0,1.000,0,0,0,-
