선수명,ID,팀명,포지션,경기,선발경기,수비이닝,실책,견제사,자살,보살,병살,수비율,포일,도루허용,도루실패,도루저지율
박한이,71432,삼성,중견수,133,132,1135 2/3,1,0,270,11,4,0.996,0,0,0,-
진갑용,97202,삼성,포수,131,130,1130 2/3,11,2,972,92,12,0.990,12,71,50,41.3
김종국,96616,KIA,2루수,131,129,1138 1/3,9,0,286,421,83,0.987,0,0,0,-
장성호,96610,KIA,1루수,131,131,1152 1/3,7,0,1186,80,101,0.995,0,0,0,-
김민재,91523,SK,유격수,129,127,1075,15,0,186,347,54,0.973,0,0,0,-
브리또,70834,삼성,유격수,128,127,1072 2/3,22,0,181,308,59,0.957,0,0,0,-
이승엽,95436,삼성,1루수,128,128,1145 2/3,4,0,1122,91,87,0.997,0,0,0,-
김한수,94450,삼성,3루수,127,126,1115 1/3,11,0,94,236,20,0.968,0,0,0,-
홍성흔,99222,두산,포수,125,125,1050,14,0,883,87,14,0.986,7,85,51,37.5
심정수,94204,현대,우익수,125,125,1113 1/3,1,0,282,13,2,0.997,0,0,0,-
임수민,96766,한화,2루수,125,109,931 2/3,6,0,178,311,47,0.988,0,0,0,-
페르난데스,72824,SK,3루수,125,124,1025 1/3,24,0,100,227,17,0.932,0,0,0,-
송지만,96761,한화,우익수,124,120,1031 1/3,6,0,237,9,4,0.976,0,0,0,-
안경현,92207,두산,2루수,123,110,967 1/3,3,0,236,324,92,0.995,0,0,0,-
박진만,96307,현대,유격수,123,120,1040 2/3,12,0,188,357,82,0.978,0,0,0,-
조인성,98144,LG,포수,121,105,880,9,3,711,63,17,0.989,8,37,37,50.0
최기문,96224,롯데,포수,121,112,889 2/3,11,0,603,45,5,0.983,8,83,23,21.7
권용관,95158,LG,유격수,120,102,853,17,0,154,273,61,0.962,0,0,0,-
박정환,70408,삼성,2루수,119,106,905 2/3,6,0,186,279,66,0.987,0,0,0,-
이종범,93607,KIA,우익수,119,115,949,4,0,217,9,2,0.983,0,0,0,-
이호준,94629,SK,1루수,119,115,982,10,0,997,79,70,0.991,0,0,0,-
최태원,93807,SK,2루수,118,104,732,5,0,123,228,38,0.986,0,0,0,-
장원진,92211,두산,1루수,117,92,859,4,0,912,41,82,0.996,0,0,0,-
정수근,95208,두산,중견수,117,105,947 2/3,4,0,220,1,0,0.982,0,0,0,-
양준혁,93410,삼성,우익수,116,114,778 1/3,3,0,140,7,3,0.980,0,0,0,-
박경완,92809,현대,포수,116,94,841 2/3,2,5,687,53,12,0.997,8,59,31,34.4
이숭용,94310,현대,1루수,115,107,905 1/3,5,0,894,72,85,0.995,0,0,0,-
최경환,70117,두산,좌익수,113,85,777,0,0,143,8,1,1.000,0,0,0,-
김상훈,70612,KIA,포수,113,109,910,6,1,664,54,8,0.992,8,48,44,47.8
김창희,97644,KIA,중견수,113,79,794 1/3,7,0,150,6,2,0.957,0,0,0,-
정성훈,99606,KIA,3루수,111,101,894 1/3,11,0,72,170,13,0.957,0,0,0,-
강동우,98420,삼성,좌익수,110,95,782 1/3,3,0,147,6,0,0.981,0,0,0,-
이영우,96734,한화,좌익수,110,103,858 1/3,1,0,186,2,1,0.995,0,0,0,-
홍세완,70626,KIA,유격수,110,110,934 2/3,16,0,208,296,69,0.969,0,0,0,-
데이비스,99725,한화,중견수,109,105,883 2/3,8,0,178,5,2,0.958,0,0,0,-
박종호,92906,현대,2루수,107,107,900 2/3,9,0,196,302,56,0.982,0,0,0,-
조경택,92204,한화,포수,106,39,460 1/3,2,3,417,33,6,0.996,4,38,19,33.3
이병규,97109,LG,중견수,106,103,889 1/3,3,0,208,2,2,0.986,0,0,0,-
조원우,94836,SK,중견수,103,72,686 2/3,0,0,143,1,0,1.000,0,0,0,-
전준호,91511,현대,좌익수,102,98,815,3,0,135,5,1,0.979,0,0,0,-
김동주,98218,두산,3루수,98,95,735 2/3,10,0,43,146,11,0.950,0,0,0,-
