선수명,ID,팀명,포지션,경기,선발경기,수비이닝,실책,견제사,자살,보살,병살,수비율,포일,도루허용,도루실패,도루저지율
김현수,76290,두산,좌익수,126,123,1090 2/3,1,0,256,6,2,0.996,0,0,0,-
이대형,73153,LG,중견수,126,126,1091 1/3,2,0,343,6,4,0.994,0,0,0,-
고영민,72214,두산,2루수,125,121,1011 2/3,9,0,211,334,71,0.984,0,0,0,-
이범호,70756,한화,3루수,125,123,1056 2/3,7,0,69,262,35,0.979,0,0,0,-
클락,78725,한화,중견수,124,122,1086 2/3,5,0,273,10,3,0.983,0,0,0,-
조성환,99543,롯데,2루수,123,123,1039,10,0,269,378,108,0.985,0,0,0,-
강민호,74540,롯데,포수,120,119,1012,6,1,646,74,8,0.992,6,103,46,30.9
나주환,73209,SK,유격수,118,104,951 2/3,17,0,171,342,74,0.968,0,0,0,-
이종욱,73339,두산,중견수,118,114,945 1/3,2,0,288,4,1,0.993,0,0,0,-
정근우,75808,SK,2루수,115,97,861 2/3,12,0,236,311,82,0.979,0,0,0,-
최정,75847,SK,3루수,114,111,997 1/3,14,0,70,220,13,0.954,0,0,0,-
김민재,91523,한화,유격수,114,106,902 1/3,13,0,152,324,74,0.973,0,0,0,-
박기혁,70553,롯데,유격수,113,109,925 1/3,18,0,171,383,70,0.969,0,0,0,-
최형우,72443,삼성,우익수,112,100,809,3,0,217,7,1,0.987,0,0,0,-
김종국,96616,KIA,2루수,112,92,816,2,0,192,324,67,0.996,0,0,0,-
김태균,71752,한화,1루수,111,110,930 1/3,3,0,927,74,100,0.997,0,0,0,-
박석민,74465,삼성,3루수,111,103,845,15,0,70,210,17,0.949,0,0,0,-
채상병,72742,두산,포수,110,104,818 2/3,3,0,608,38,5,0.995,8,76,22,22.4
가르시아,78595,롯데,우익수,110,109,938 2/3,4,0,214,17,7,0.983,0,0,0,-
김동주,98218,두산,3루수,108,107,852,10,0,60,163,16,0.957,0,0,0,-
송지만,96761,우리,우익수,108,105,879 2/3,3,0,239,4,3,0.988,0,0,0,-
신경현,98742,한화,포수,106,90,745 2/3,5,1,508,48,11,0.991,6,110,31,22.0
김강민,71837,SK,중견수,105,68,688,8,0,170,6,0,0.957,0,0,0,-
이용규,74163,KIA,중견수,105,100,897 2/3,2,0,219,10,5,0.991,0,0,0,-
차일목,73602,KIA,포수,105,93,748 2/3,5,1,495,54,6,0.991,3,89,33,27.0
박진만,96307,삼성,유격수,103,100,818,9,0,164,318,64,0.982,0,0,0,-
강귀태,72312,우리,포수,102,72,634 1/3,7,2,408,45,11,0.985,4,69,31,31.0
박재홍,96362,SK,우익수,101,87,731 2/3,2,0,161,8,2,0.988,0,0,0,-
이현곤,72606,KIA,3루수,101,95,809,5,0,45,182,11,0.978,0,0,0,-
정성훈,99606,우리,3루수,101,97,790 2/3,9,0,57,214,23,0.968,0,0,0,-
박경완,92809,SK,포수,100,85,773 2/3,2,1,547,63,13,0.997,4,53,41,43.6
이숭용,94310,우리,1루수,100,92,727 1/3,5,0,751,52,71,0.994,0,0,0,-
이택근,73342,우리,중견수,100,98,798 2/3,5,0,231,5,3,0.979,0,0,0,-
한상훈,73703,한화,2루수,98,70,638 2/3,5,0,175,227,71,0.988,0,0,0,-
진갑용,97202,삼성,포수,98,83,648,3,0,414,45,7,0.994,4,58,34,37.0
박한이,71432,삼성,중견수,97,94,787 2/3,2,0,211,3,0,0.991,0,0,0,-
김재호,74206,두산,유격수,95,71,601 1/3,12,0,106,194,34,0.962,0,0,0,-
신명철,71504,삼성,2루수,94,63,606 2/3,5,0,140,192,36,0.985,0,0,0,-
조인성,98144,LG,포수,92,80,704,4,2,429,48,8,0.992,5,46,23,33.3
이대호,71564,롯데,3루수,89,87,734,9,0,70,164,30,0.963,0,0,0,-
박경수,73113,LG,2루수,88,81,666 2/3,7,0,178,224,51,0.983,0,0,0,-
최동수,94132,LG,1루수,88,83,697 2/3,4,0,727,42,70,0.995,0,0,0,-
전준호,91511,우리,좌익수,87,77,584 1/3,4,0,130,6,1,0.971,0,0,0,-
김동수,90419,우리,포수,86,46,390,1,0,277,26,3,0.997,5,42,13,23.6
정우람,74857,SK,투수,85,0,77 2/3,0,0,2,16,0,1.000,0,0,0,-
