선수명,ID,팀명,평균자책점,경기,승리,패배,세이브,홀드,승률,이닝,피안타,홈런,볼넷,사구,삼진,실점,자책점,이닝당_출루허용률,완투,완봉,퀄리티스타트,블론세이브,타자수,투구수,피안타율,2루타,3루타,희생번트,희생플라이,고의4구,폭투,보크,선발,선발승,구원승,종료,세이브기회,터프세이브,병살타,땅볼,뜬공,땅볼/뜬공,인플레이타구타율,투구수/경기,투구수/이닝,9이닝당 삼진,9이닝당 볼넷,삼진/볼넷,피출루율,피장타율,피OPS
장진용,74139,LG,2.45,4,0,2,0,0,0.000,7 1/3,8,1,2,1,5,6,2,1.36,0,0,0,0,34,138,0.276,0,0,1,1,0,0,0,2,0,0,1,1,0,0,5,12,0.42,0.292,34.5,18.8,6.14,2.45,2.50,0.333,0.379,0.712
이동현,71118,LG,2.73,61,5,1,2,23,0.833,59 1/3,54,2,21,8,38,18,18,1.26,0,0,0,4,250,914,0.257,10,1,5,6,1,3,0,0,0,5,13,31,0,6,59,65,0.91,0.295,15.0,15.4,5.76,3.19,1.81,0.339,0.343,0.682
봉중근,77147,LG,2.90,50,2,4,30,0,0.333,49 2/3,51,2,17,4,45,16,16,1.37,0,0,0,6,216,880,0.264,7,0,2,0,2,6,0,0,0,2,39,36,3,5,48,49,0.98,0.336,17.6,17.7,8.15,3.08,2.65,0.336,0.332,0.668
신동훈,62160,LG,3.48,5,1,0,0,0,1.000,10 1/3,10,0,5,3,4,5,4,1.45,0,0,0,0,45,191,0.286,3,0,0,2,0,0,0,0,0,1,2,0,0,2,9,14,0.64,0.303,38.2,18.5,3.48,4.35,0.80,0.400,0.371,0.771
신재웅,75138,LG,3.80,57,8,3,0,8,0.727,64,62,7,26,2,46,29,27,1.38,0,0,0,5,271,1055,0.264,10,2,4,4,0,1,0,2,0,8,10,17,0,10,59,72,0.82,0.296,18.5,16.5,6.47,3.66,1.77,0.337,0.413,0.750
리오단,64157,LG,3.96,28,9,10,0,0,0.474,168,177,13,37,10,77,80,74,1.27,2,1,16,0,707,2691,0.274,32,5,9,5,1,8,0,28,9,0,2,0,0,19,191,206,0.93,0.292,96.1,16.0,4.13,1.98,2.08,0.321,0.399,0.720
우규민,73117,LG,4.04,29,11,5,0,0,0.688,153 2/3,170,11,34,12,103,78,69,1.33,0,0,13,0,653,2472,0.284,18,5,4,4,1,2,0,28,11,0,1,0,0,13,189,141,1.34,0.325,85.2,16.1,6.03,1.99,3.03,0.333,0.386,0.719
임정우,61891,LG,4.17,25,2,5,0,0,0.286,73 1/3,79,6,26,5,54,35,34,1.43,0,0,0,0,317,1210,0.288,14,1,6,6,2,5,1,10,1,1,4,1,0,6,71,76,0.93,0.332,48.4,16.5,6.63,3.19,2.08,0.354,0.412,0.766
윤지웅,61329,LG,4.25,53,1,2,0,6,0.333,36,40,4,16,3,34,20,17,1.56,0,0,0,0,166,619,0.280,3,0,4,0,1,1,0,0,0,1,6,5,0,2,43,26,1.65,0.343,11.7,17.2,8.50,4.00,2.13,0.364,0.385,0.749
유원상,76757,LG,4.37,66,4,5,0,16,0.444,68,67,6,23,2,49,35,33,1.32,0,0,0,5,289,1062,0.262,11,1,4,4,1,3,0,0,0,4,8,17,0,5,70,74,0.95,0.298,16.1,15.6,6.49,3.04,2.13,0.323,0.383,0.706
