선수명,ID,팀명,평균자책점,경기,승리,패배,세이브,홀드,승률,이닝,피안타,홈런,볼넷,사구,삼진,실점,자책점,이닝당_출루허용률,완투,완봉,퀄리티스타트,블론세이브,타자수,투구수,피안타율,2루타,3루타,희생번트,희생플라이,고의4구,폭투,보크,선발,선발승,구원승,종료,세이브기회,터프세이브,병살타,땅볼,뜬공,땅볼/뜬공,인플레이타구타율,투구수/경기,투구수/이닝,9이닝당 삼진,9이닝당 볼넷,삼진/볼넷,피출루율,피장타율,피OPS
박민석,78243,NC,1.66,21,0,0,1,3,-,21 2/3,10,2,11,6,27,4,4,0.97,0,0,0,0,90,349,0.141,2,0,1,1,0,2,0,0,0,0,9,6,0,1,22,13,1.69,0.186,16.6,16.1,11.22,4.57,2.45,0.303,0.254,0.557
최성영,66920,NC,1.93,7,0,0,0,0,-,4 2/3,8,0,2,0,4,1,1,2.14,0,0,0,0,21,85,0.421,1,0,0,0,0,0,1,0,0,0,6,1,0,0,4,3,1.33,0.533,12.1,18.2,7.71,3.86,2.00,0.476,0.474,0.950
임창민,78352,NC,2.57,65,1,3,26,6,0.250,70,61,5,30,5,91,22,20,1.30,0,0,0,3,302,1209,0.233,9,0,3,2,0,8,1,0,0,1,48,31,3,3,51,61,0.84,0.333,18.6,17.3,11.70,3.86,3.03,0.321,0.324,0.645
김선규,75852,NC,2.93,17,1,0,0,0,1.000,15 1/3,20,1,8,1,6,6,5,1.83,0,0,0,0,70,268,0.328,3,0,0,0,0,1,0,0,0,1,5,0,0,5,25,10,2.50,0.352,15.8,17.5,3.52,4.70,0.75,0.414,0.426,0.840
원종현,76118,NC,3.18,54,3,3,3,17,0.500,70 2/3,51,4,18,3,75,26,25,0.98,0,0,0,2,283,1059,0.197,8,0,1,2,0,4,0,0,0,3,8,20,0,5,80,55,1.45,0.258,19.6,15.0,9.55,2.29,4.17,0.255,0.274,0.529
해커,63938,NC,3.45,23,13,3,0,0,0.813,140 2/3,132,14,31,10,119,57,54,1.16,0,0,15,0,587,2146,0.246,18,1,9,1,0,5,0,23,13,0,0,0,0,12,172,114,1.51,0.292,93.3,15.3,7.61,1.98,3.84,0.299,0.362,0.661
배재환,64995,NC,4.09,11,1,1,0,0,0.500,22,17,1,9,0,15,11,10,1.18,0,0,0,0,90,363,0.215,4,0,0,2,0,2,0,1,0,1,4,0,0,2,21,28,0.75,0.246,33.0,16.5,6.14,3.68,1.67,0.289,0.304,0.593
구창모,65933,NC,4.19,39,4,1,0,1,0.800,68 2/3,61,9,37,2,67,32,32,1.43,0,0,1,0,296,1305,0.239,11,0,2,0,0,9,2,9,4,0,7,3,0,8,63,64,0.98,0.291,33.5,19.0,8.78,4.85,1.81,0.340,0.388,0.728
이태양,61323,NC,4.21,10,2,2,0,0,0.500,47,44,7,26,8,27,22,22,1.49,0,0,2,0,209,831,0.259,7,1,4,1,1,0,0,10,2,0,0,0,0,3,46,54,0.85,0.270,83.1,17.7,5.17,4.98,1.04,0.380,0.435,0.815
장현식,63950,NC,4.48,37,1,3,0,1,0.250,76 1/3,68,5,43,2,59,40,38,1.45,0,0,1,1,331,1317,0.240,13,2,1,2,0,13,0,5,0,1,6,3,0,3,75,83,0.90,0.285,35.6,17.3,6.96,5.07,1.37,0.342,0.353,0.695
