선수명,연도,소속팀명,연봉,WAR,상세url
이종범,2007,KIA,"50,000",-2.039,http://www.statiz.co.kr/player.php?name=이종범
장성호,2007,KIA,"45,000",2.944,http://www.statiz.co.kr/player.php?name=장성호
심재학,2007,KIA,"25,000",-0.002,http://www.statiz.co.kr/player.php?name=심재학
김종국,2007,KIA,"15,000",2.085,http://www.statiz.co.kr/player.php?name=김종국
장문석,2007,KIA,"14,000",,http://www.statiz.co.kr/player.php?name=장문석
김상훈,2007,KIA,"11,500",1.720,http://www.statiz.co.kr/player.php?name=김상훈
이용규,2007,KIA,"11,000",2.668,http://www.statiz.co.kr/player.php?name=이용규
이재주,2007,KIA,"10,000",0.510,http://www.statiz.co.kr/player.php?name=이재주
김진우,2007,KIA,"9,500",-0.341,http://www.statiz.co.kr/player.php?name=김진우
조경환,2007,KIA,"9,400",0.483,http://www.statiz.co.kr/player.php?name=조경환
윤석민,2007,KIA,"9,000",3.173,http://www.statiz.co.kr/player.php?name=윤석민
홍세완,2007,KIA,"8,800",1.391,http://www.statiz.co.kr/player.php?name=홍세완
손지환,2007,KIA,"8,500",0.277,http://www.statiz.co.kr/player.php?name=손지환
강철민,2007,KIA,"7,000",,http://www.statiz.co.kr/player.php?name=강철민
전병두,2007,KIA,"7,000",0.157,http://www.statiz.co.kr/player.php?name=전병두
신용운,2007,KIA,"7,000",0.848,http://www.statiz.co.kr/player.php?name=신용운
이대진,2007,KIA,"6,300",1.148,http://www.statiz.co.kr/player.php?name=이대진
이상화,2007,KIA,"6,000",-0.471,http://www.statiz.co.kr/player.php?name=이상화
이현곤,2007,KIA,"6,000",4.387,http://www.statiz.co.kr/player.php?name=이현곤
김원섭,2007,KIA,"5,300",0.651,http://www.statiz.co.kr/player.php?name=김원섭
김경언,2007,KIA,"5,000",,http://www.statiz.co.kr/player.php?name=김경언
한기주,2007,KIA,"5,000",2.856,http://www.statiz.co.kr/player.php?name=한기주
김희걸,2007,KIA,"4,800",,http://www.statiz.co.kr/player.php?name=김희걸
한규식,2007,KIA,"4,500",-0.066,http://www.statiz.co.kr/player.php?name=한규식
정원,2007,KIA,"4,200",-0.195,http://www.statiz.co.kr/player.php?name=정원
이동현,2007,KIA,"4,000",-0.112,http://www.statiz.co.kr/player.php?name=이동현
박정태,2007,KIA,"3,500",,http://www.statiz.co.kr/player.php?name=박정태
차정민,2007,KIA,"3,300",-0.063,http://www.statiz.co.kr/player.php?name=차정민
차일목,2007,KIA,"3,000",-0.095,http://www.statiz.co.kr/player.php?name=차일목
고우석,2007,KIA,"3,000",-0.044,http://www.statiz.co.kr/player.php?name=고우석
김경진,2007,KIA,"3,000",-0.304,http://www.statiz.co.kr/player.php?name=김경진
송산,2007,KIA,"2,700",-0.302,http://www.statiz.co.kr/player.php?name=송산
김주형,2007,KIA,"2,500",0.339,http://www.statiz.co.kr/player.php?name=김주형
손상정,2007,KIA,"2,400",,http://www.statiz.co.kr/player.php?name=손상정
김정수,2007,KIA,"2,400",0.037,http://www.statiz.co.kr/player.php?name=김정수
진민호,2007,KIA,"2,200",,http://www.statiz.co.kr/player.php?name=진민호
최훈락,2007,KIA,"2,200",-0.141,http://www.statiz.co.kr/player.php?name=최훈락
윤형진,2007,KIA,"2,200",0.068,http://www.statiz.co.kr/player.php?name=윤형진
문현정,2007,KIA,"2,000",,http://www.statiz.co.kr/player.php?name=문현정
임준혁,2007,KIA,"2,000",0.114,http://www.statiz.co.kr/player.php?name=임준혁
김성계,2007,KIA,"2,000",,http://www.statiz.co.kr/player.php?name=김성계
박정규,2007,KIA,"2,000",0.161,http://www.statiz.co.kr/player.php?name=박정규
이윤학,2007,KIA,"2,000",,http://www.statiz.co.kr/player.php?name=이윤학
황연선,2007,KIA,"2,000",,http://www.statiz.co.kr/player.php?name=황연선
김준무,2007,KIA,"2,000",,http://www.statiz.co.kr/player.php?name=김준무
곽정철,2007,KIA,"2,000",-0.039,http://www.statiz.co.kr/player.php?name=곽정철
김요한,2007,KIA,"2,000",,http://www.statiz.co.kr/player.php?name=김요한
변강득,2007,KIA,"2,000",,http://www.statiz.co.kr/player.php?name=변강득
손영민,2007,KIA,"2,000",1.127,http://www.statiz.co.kr/player.php?name=손영민
이범석,2007,KIA,"2,000",0.260,http://www.statiz.co.kr/player.php?name=이범석
권윤민,2007,KIA,"2,000",0.103,http://www.statiz.co.kr/player.php?name=권윤민
류재원,2007,KIA,"2,000",0.246,http://www.statiz.co.kr/player.php?name=류재원
