선수명,연도,소속팀명,연봉,WAR,상세url
이종범,2005,KIA,"43,000",4.787,http://www.statiz.co.kr/player.php?name=이종범
마해영,2005,KIA,"40,000",1.100,http://www.statiz.co.kr/player.php?name=마해영
장성호,2005,KIA,"35,000",3.374,http://www.statiz.co.kr/player.php?name=장성호
심재학,2005,KIA,"25,000",1.829,http://www.statiz.co.kr/player.php?name=심재학
이강철,2005,KIA,"20,000",0.436,http://www.statiz.co.kr/player.php?name=이강철
최상덕,2005,KIA,"14,000",0.317,http://www.statiz.co.kr/player.php?name=최상덕
김종국,2005,KIA,"11,000",0.812,http://www.statiz.co.kr/player.php?name=김종국
조규제,2005,KIA,"10,000",-0.240,http://www.statiz.co.kr/player.php?name=조규제
김상훈,2005,KIA,"9,800",0.981,http://www.statiz.co.kr/player.php?name=김상훈
홍세완,2005,KIA,"9,600",2.666,http://www.statiz.co.kr/player.php?name=홍세완
김진우,2005,KIA,"7,500",3.182,http://www.statiz.co.kr/player.php?name=김진우
이대진,2005,KIA,"7,000",,http://www.statiz.co.kr/player.php?name=이대진
홍현우,2005,KIA,"7,000",-0.049,http://www.statiz.co.kr/player.php?name=홍현우
손지환,2005,KIA,"7,000",2.126,http://www.statiz.co.kr/player.php?name=손지환
신용운,2005,KIA,"6,300",1.063,http://www.statiz.co.kr/player.php?name=신용운
강철민,2005,KIA,"6,000",0.692,http://www.statiz.co.kr/player.php?name=강철민
이재주,2005,KIA,"5,800",0.608,http://www.statiz.co.kr/player.php?name=이재주
김희걸,2005,KIA,"5,300",,http://www.statiz.co.kr/player.php?name=김희걸
김경언,2005,KIA,"5,000",0.544,http://www.statiz.co.kr/player.php?name=김경언
오철민,2005,KIA,"4,600",-0.081,http://www.statiz.co.kr/player.php?name=오철민
장일현,2005,KIA,"4,200",-0.147,http://www.statiz.co.kr/player.php?name=장일현
이현곤,2005,KIA,"4,000",,http://www.statiz.co.kr/player.php?name=이현곤
최용호,2005,KIA,"4,000",,http://www.statiz.co.kr/player.php?name=최용호
유동훈,2005,KIA,"3,500",,http://www.statiz.co.kr/player.php?name=유동훈
김경진,2005,KIA,"3,100",0.177,http://www.statiz.co.kr/player.php?name=김경진
김주호,2005,KIA,"2,800",,http://www.statiz.co.kr/player.php?name=김주호
서동욱,2005,KIA,"2,800",-0.098,http://www.statiz.co.kr/player.php?name=서동욱
김원섭,2005,KIA,"2,800",-0.445,http://www.statiz.co.kr/player.php?name=김원섭
이동현,2005,KIA,"2,500",-0.323,http://www.statiz.co.kr/player.php?name=이동현
윤형진,2005,KIA,"2,500",-0.243,http://www.statiz.co.kr/player.php?name=윤형진
조태수,2005,KIA,"2,300",-0.192,http://www.statiz.co.kr/player.php?name=조태수
김민철,2005,KIA,"2,300",0.029,http://www.statiz.co.kr/player.php?name=김민철
이정상,2005,KIA,"2,300",,http://www.statiz.co.kr/player.php?name=이정상
김주철,2005,KIA,"2,300",-0.219,http://www.statiz.co.kr/player.php?name=김주철
김주형,2005,KIA,"2,200",-0.451,http://www.statiz.co.kr/player.php?name=김주형
정원,2005,KIA,"2,100",0.017,http://www.statiz.co.kr/player.php?name=정원
이경원,2005,KIA,"2,100",-0.005,http://www.statiz.co.kr/player.php?name=이경원
차일목,2005,KIA,"2,000",0.010,http://www.statiz.co.kr/player.php?name=차일목
이용규,2005,KIA,"2,000",1.460,http://www.statiz.co.kr/player.php?name=이용규
박강우,2005,KIA,"2,000",,http://www.statiz.co.kr/player.php?name=박강우
임준혁,2005,KIA,"2,000",,http://www.statiz.co.kr/player.php?name=임준혁
방동민,2005,KIA,"2,000",-0.018,http://www.statiz.co.kr/player.php?name=방동민
이윤학,2005,KIA,"2,000",,http://www.statiz.co.kr/player.php?name=이윤학
김성호,2005,KIA,"2,000",0.014,http://www.statiz.co.kr/player.php?name=김성호
김성계,2005,KIA,"2,000",,http://www.statiz.co.kr/player.php?name=김성계
이상화,2005,KIA,"2,000",0.139,http://www.statiz.co.kr/player.php?name=이상화
박정태,2005,KIA,"2,000",,http://www.statiz.co.kr/player.php?name=박정태
이영수,2005,KIA,"2,000",-0.045,http://www.statiz.co.kr/player.php?name=이영수
권희석,2005,KIA,"2,000",,http://www.statiz.co.kr/player.php?name=권희석
주창훈,2005,KIA,"2,000",0.009,http://www.statiz.co.kr/player.php?name=주창훈
