ID,¼±¼ö¸í,µ¥ºß³âµµ,¿¬µµ,Æò±ÕÀÚÃ¥Á¡,°æ±â,½Â¸®,ÆÐ¹è,¼¼ÀÌºê,È¦µå,½Â·ü,ÀÌ´×,ÇÇ¾ÈÅ¸,È¨·±,º¼³Ý,»ç±¸,»ïÁø,½ÇÁ¡,ÀÚÃ¥Á¡,ÀÌ´×´ç_Ãâ·çÇã¿ë·ü,¿ÏÅõ,¿ÏºÀ,Ä÷¸®Æ¼½ºÅ¸Æ®,ºí·Ð¼¼ÀÌºê,Å¸ÀÚ¼ö,Åõ±¸¼ö,ÇÇ¾ÈÅ¸À²,2·çÅ¸,3·çÅ¸,Èñ»ý¹øÆ®,Èñ»ýÇÃ¶óÀÌ,°íÀÇ4±¸,ÆøÅõ,º¸Å©,¼±¹ß,¼±¹ß½Â,±¸¿ø½Â,Á¾·á,¼¼ÀÌºê±âÈ¸,ÅÍÇÁ¼¼ÀÌºê,º´»ìÅ¸,¶¥º¼,¶á°ø,ÀÎÇÃ·¹ÀÌÅ¸±¸Å¸À²,Åõ±¸¼ö/°æ±â,Åõ±¸¼ö/ÀÌ´×,9ÀÌ´×´ç »ïÁø,9ÀÌ´×´ç º¼³Ý,ÇÇÃâ·çÀ²,ÇÇÀåÅ¸À²,ÇÇOPS,°æ±â(¼öºñ),¼±¹ß°æ±â(¼öºñ),¼öºñÀÌ´×(¼öºñ),½ÇÃ¥(¼öºñ),°ßÁ¦»ç(¼öºñ),ÀÚ»ì(¼öºñ),º¸»ì(¼öºñ),º´»ì(¼öºñ),¼öºñÀ²(¼öºñ),WAR,FA¿©ºÎ,´º½º°³¼ö(¿¬µµº°Á¤±ÔÈ­),´º½º°³¼ö(´©ÀûÁ¤±ÔÈ­),¼ö»óÈ½¼ö,´©ÀûÀÌ´×,Æ÷Áö¼Ç ¿£Æ®·ÎÇÇ,Ãâ»ý¿¬µµ,Ãâ»ý¿ù,Ãâ»ýÀÏ,³ªÀÌ,ÆÀ¸í_KIA,ÆÀ¸í_KT,ÆÀ¸í_LG,ÆÀ¸í_NC,ÆÀ¸í_SK,ÆÀ¸í_µÎ»ê,ÆÀ¸í_·Ôµ¥,ÆÀ¸í_»ï¼º,ÆÀ¸í_¿ì¸®/È÷¾î·ÎÁî/³Ø¼¾/Å°¿ò,ÆÀ¸í_ÇÑÈ­,ÆÀ¸í_Çö´ë,¿¬ºÀ,1Â÷FA¿©ºÎ,2Â÷FA¿©ºÎ,5³âÆò±ÕÆò±ÕÀÚÃ¥Á¡,5³âÆò±Õ°æ±â,5³âÆò±Õ½Â¸®,5³âÆò±ÕÆÐ¹è,5³âÆò±Õ¼¼ÀÌºê,5³âÆò±ÕÈ¦µå,5³âÆò±Õ½Â·ü,5³âÆò±ÕÀÌ´×,5³âÆò±ÕÇÇ¾ÈÅ¸,5³âÆò±ÕÈ¨·±,5³âÆò±Õº¼³Ý,5³âÆò±Õ»ç±¸,5³âÆò±Õ»ïÁø,5³âÆò±Õ½ÇÁ¡,5³âÆò±ÕÀÚÃ¥Á¡,5³âÆò±ÕÀÌ´×´ç_Ãâ·çÇã¿ë·ü,5³âÆò±Õ¿ÏÅõ,5³âÆò±Õ¿ÏºÀ,5³âÆò±ÕÄ÷¸®Æ¼½ºÅ¸Æ®,5³âÆò±Õºí·Ð¼¼ÀÌºê,5³âÆò±ÕÅ¸ÀÚ¼ö,5³âÆò±ÕÅõ±¸¼ö,5³âÆò±ÕÇÇ¾ÈÅ¸À²,5³âÆò±Õ2·çÅ¸,5³âÆò±Õ3·çÅ¸,5³âÆò±ÕÈñ»ý¹øÆ®,5³âÆò±ÕÈñ»ýÇÃ¶óÀÌ,5³âÆò±Õ°íÀÇ4±¸,5³âÆò±ÕÆøÅõ,5³âÆò±Õº¸Å©,5³âÆò±Õ¼±¹ß,5³âÆò±Õ¼±¹ß½Â,5³âÆò±Õ±¸¿ø½Â,5³âÆò±ÕÁ¾·á,5³âÆò±Õ¼¼ÀÌºê±âÈ¸,5³âÆò±ÕÅÍÇÁ¼¼ÀÌºê,5³âÆò±Õº´»ìÅ¸,5³âÆò±Õ¶¥º¼,5³âÆò±Õ¶á°ø,5³âÆò±ÕÀÎÇÃ·¹ÀÌÅ¸±¸Å¸À²,5³âÆò±ÕÅõ±¸¼ö/°æ±â,5³âÆò±ÕÅõ±¸¼ö/ÀÌ´×,5³âÆò±Õ9ÀÌ´×´ç »ïÁø,5³âÆò±Õ9ÀÌ´×´ç º¼³Ý,5³âÆò±ÕÇÇÃâ·çÀ²,5³âÆò±ÕÇÇÀåÅ¸À²,5³âÆò±ÕÇÇOPS,5³âÆò±Õ°æ±â(¼öºñ),5³âÆò±Õ¼±¹ß°æ±â(¼öºñ),5³âÆò±Õ¼öºñÀÌ´×(¼öºñ),5³âÆò±Õ½ÇÃ¥(¼öºñ),5³âÆò±Õ°ßÁ¦»ç(¼öºñ),5³âÆò±ÕÀÚ»ì(¼öºñ),5³âÆò±Õº¸»ì(¼öºñ),5³âÆò±Õº´»ì(¼öºñ),5³âÆò±Õ¼öºñÀ²(¼öºñ),5³âÆò±ÕWAR,5³âÆò±Õ´º½º°³¼ö(¿¬µµº°Á¤±ÔÈ­),5³âÆò±Õ¼ö»óÈ½¼ö,5³âÆò±ÕÆ÷Áö¼Ç ¿£Æ®·ÎÇÇ,5³âÆò±Õ¿¬ºÀ
67603,ÀÌ½ÂÈ£,2017,2019,4.48,23,8,5,0,0,0.615,122.6666667,134,10,51,1,82,70,61,1.51,1,1,14,0,533,1979,0.284,27,3,3,6,0,5,3,23,8,0,1,0,0,10,134,128,0.321,86,16.1,6.02,3.74,0.351,0.417,0.768,23,23,122.6666667,3,3,4,16,0,0.87,0.774,0,0.318959617,0.475880416,0,167.6666667,0,1999,2,8,21,0,0,0,0,0,0,0,0,1,0,0,2700,0,0,5.04,27.5,4.5,4,0,2,0.4325,83.83333333,89,9,36.5,3,60,49,44.5,1.49,0.5,0.5,7,0,368,1402,0.2685,18,1.5,1.5,4,0.5,6.5,1.5,13.5,4,0.5,2.5,2.5,0,5.5,89,89,0.299,55.9,17.2,6.81,4.07,0.3505,0.43,0.7805,27.5,13.5,83.83333333,1.5,2,4,9.5,0,0.935,0.6605,0.237940208,0,0,2714.678112
75799,Á¶¼º¹Î,1996,2005,6.52,16,2,2,0,4,0.5,19.33333333,30,1,9,6,8,15,14,2.02,0,0,0,0,101,387,0.37,3,0,4,1,0,0,0,0,0,2,3,3,0,2,28,16,0.397,24.2,20,3.72,4.19,0.464,0.444,0.908,16,0,19.33333333,1,0,2,6,0,0.889,-0.017,0,0.411552347,0.411552347,0,19.33333333,0,1973,4,5,33,0,0,0,0,0,0,0,0,0,1,0,13288.89803,0,0,6.52,16,2,2,0,4,0.5,19.33333333,30,1,9,6,8,15,14,2.02,0,0,0,0,101,387,0.37,3,0,4,1,0,0,0,0,0,2,3,3,0,2,28,16,0.397,24.2,20,3.72,4.19,0.464,0.444,0.908,16,0,19.33333333,1,0,2,6,0,0.889,-0.017,0.411552347,0,0,2687.777268
75799,Á¶¼º¹Î,1996,2006,6.75,7,0,0,0,0,0,6.666666667,12,1,6,0,4,6,5,2.7,0,0,0,0,39,140,0.375,1,0,1,0,0,0,0,0,0,0,1,2,0,0,15,1,0.407,20,21,5.4,8.1,0.474,0.5,0.974,7,0,7.333333333,1,0,0,1,0,0.5,-0.088,0,0.0588235294,0.470375876,0,26,0,1973,4,5,34,0,0,0,0,0,0,0,0,0,1,0,9742.712957,0,0,6.635,11.5,1,1,0,2,0.25,13,21,1,7.5,3,6,10.5,9.5,2.36,0,0,0,0,70,263.5,0.3725,2,0,2.5,0.5,0,0,0,0,0,1,2,2.5,0,1,21.5,8.5,0.402,22.1,20.5,4.56,6.145,0.469,0.472,0.941,11.5,0,13.33333333,1,0,1,3.5,0,0.6945,-0.0525,0.235187938,0,0,13288.89803
63512,¹ÚÁøÇü,2013,2015,0,2,0,0,0,0,0,1.333333333,2,0,0,0,1,0,0,1.5,0,0,0,0,6,17,0.333,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,2,0.4,8.5,12.8,6.75,0,0.333,0.5,0.833,2,0,1.333333333,0,0,0,0,0,0,0.047,0,0.0027155465,0.0027155465,0,1.333333333,0,1994,6,10,22,0,0,0,0,0,0,1,0,0,0,0,2923.402991,0,0,0,2,0,0,0,0,0,1.333333333,2,0,0,0,1,0,0,1.5,0,0,0,0,6,17,0.333,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,2,0.4,8.5,12.8,6.75,0,0.333,0.5,0.833,2,0,1.333333333,0,0,0,0,0,0,0.047,0.0027155465,0,0,2846.34
63512,¹ÚÁøÇü,2013,2016,5.81,39,6,2,0,3,0.75,93,101,9,54,13,78,65,60,1.67,0,0,3,1,438,1829,0.278,28,2,5,3,0,6,1,14,5,1,4,2,0,7,94,93,0.33,46.9,19.7,7.55,5.23,0.388,0.441,0.829,39,14,92.66666667,1,0,2,18,0,0.952,0.744,0,0.121827411,0.124542958,0,94.33333333,0,1994,6,10,23,0,0,0,0,0,0,1,0,0,0,0,6145.147187,0,0,2.905,20.5,3,1,0,1.5,0.375,47.16666667,51.5,4.5,27,6.5,39.5,32.5,30,1.585,0,0,1.5,0.5,222,923,0.3055,14.5,1,2.5,1.5,0,3,0.5,7,2.5,0.5,3,1,0,3.5,47.5,47.5,0.365,27.7,16.25,7.15,2.615,0.3605,0.4705,0.831,20.5,7,47,0.5,0,1,9,0,0.476,0.3955,0.0622714787,0,0,2923.402991
63512,¹ÚÁøÇü,2013,2017,5.11,45,4,4,2,10,0.5,88,88,8,47,4,95,51,50,1.53,0,0,1,2,391,1575,0.267,19,0,8,2,2,6,2,9,1,3,6,13,0,4,74,75,0.349,35,17.9,9.72,4.81,0.363,0.397,0.76,45,9,88,0,0,8,15,0,1,1.388,0,0.207413249,0.331956207,0,182.3333333,0,1994,6,10,24,0,0,0,0,0,0,1,0,0,0,0,10597.51077,0,0,3.64,28.66666667,3.333333333,2,0.666666667,4.333333333,0.416666667,60.77777778,63.66666667,5.666666667,33.66666667,5.666666667,58,38.66666667,36.66666667,1.566666667,0,0,1.333333333,1,278.3333333,1140.333333,0.292666667,16,0.666666667,4.333333333,1.666666667,0.666666667,4,1,7.666666667,2,1.333333333,4,5,0,3.666666667,56.33333333,56.66666667,0.359666667,30.13333333,16.8,8.006666667,3.346666667,0.361333333,0.446,0.807333333,28.66666667,7.666666667,60.66666667,0.333333333,0,3.333333333,11,0,0.650666667,0.726333333,0.110652069,0,0,4534.275089
63512,¹ÚÁøÇü,2013,2018,6.23,13,3,2,0,1,0.6,13,23,1,8,1,11,12,9,2.38,0,0,0,4,69,259,0.404,3,3,3,0,0,0,0,0,0,3,1,4,0,1,8,15,0.489,19.9,19.9,7.62,5.54,0.485,0.614,1.099,13,0,13,0,0,0,3,0,1,-0.332,0,0.0895632865,0.421519493,0,195.3333333,0,1994,6,10,25,0,0,0,0,0,0,1,0,0,0,0,10557.08155,0,0,4.2875,24.75,3.25,2,0.5,3.5,0.4625,48.83333333,53.5,4.5,27.25,4.5,46.25,32,29.75,1.77,0,0,1,1.75,226,920,0.3205,12.75,1.25,4,1.25,0.5,3,0.75,5.75,1.5,1.75,3.25,4.75,0,3,44.25,46.25,0.392,27.575,17.575,7.91,3.895,0.39225,0.488,0.88025,24.75,5.75,48.75,0.25,0,2.5,9,0,0.738,0.46175,0.105379873,0,0,6555.35365
63512,¹ÚÁøÇü,2013,2019,4.02,41,2,1,5,5,0.667,40.33333333,40,6,11,0,40,19,18,1.26,0,0,0,4,169,638,0.263,3,0,3,3,3,5,0,0,0,2,19,13,2,2,36,39,0.312,15.6,15.8,8.93,2.45,0.307,0.401,0.708,41,0,40.33333333,1,0,1,4,0,0.833,0.762,0,0.0390143737,0.460533867,0,235.6666667,0,1994,6,10,26,0,0,0,0,0,0,1,0,0,0,0,9000,0,0,4.234,28,3,1.8,1.4,3.8,0.5034,47.13333333,50.8,4.8,24,3.6,45,29.4,27.4,1.668,0,0,0.8,2.2,214.6,863.6,0.309,10.8,1,3.8,1.6,1,3.4,0.6,4.6,1.2,1.8,6.4,6.4,0.4,2.8,42.6,44.8,0.376,25.18,17.22,8.114,3.606,0.3752,0.4706,0.8458,28,4.6,47.06666667,0.4,0,2.2,8,0,0.757,0.5218,0.0921067733,0,0,7555.785624
71708,±è¹é¸¸,2001,2002,4.55,17,1,1,0,1,0.5,31.66666667,30,6,7,0,31,16,16,1.17,0,0,0,0,131,504,0.25,7,0,2,2,0,0,1,1,0,1,6,1,0,2,28,33,0.282,29.6,15.9,8.81,1.99,0.287,0.458,0.745,17,1,32.33333333,0,0,0,2,0,1,0.489,0,0,0,0,31.66666667,0,1982,10,12,21,0,0,0,0,0,0,0,0,0,1,0,3004.030124,0,0,4.55,17,1,1,0,1,0.5,31.66666667,30,6,7,0,31,16,16,1.17,0,0,0,0,131,504,0.25,7,0,2,2,0,0,1,1,0,1,6,1,0,2,28,33,0.282,29.6,15.9,8.81,1.99,0.287,0.458,0.745,17,1,32.33333333,0,0,0,2,0,1,0.489,0,0,0,2517.298049
71708,±è¹é¸¸,2001,2008,5.54,6,0,0,0,0,0,13,19,3,4,0,4,8,8,1.77,0,0,0,0,59,202,0.345,3,1,0,0,0,0,0,2,0,0,3,0,0,3,12,20,0.333,33.7,15.5,2.77,2.77,0.39,0.6,0.99,6,2,13,0,0,1,0,0,1,-0.014,0,0.00536193029,0.0246951538,0,102.3333333,0,1982,10,12,27,0,0,0,0,0,0,0,0,0,1,0,3694.681861,0,0,5.045,11.5,0.5,0.5,0,0.5,0.25,22.33333333,24.5,4.5,5.5,0,17.5,12,12,1.47,0,0,0,0,95,353,0.2975,5,0.5,1,1,0,0,0.5,1.5,0,0.5,4.5,0.5,0,2.5,20,26.5,0.3075,31.65,15.7,5.79,2.38,0.3385,0.529,0.8675,11.5,1.5,22.66666667,0,0,0.5,1,0,1,0.2375,0.00268096514,0,0,3004.030124
