선수명,ID,팀명,평균자책점,경기,승리,패배,세이브,홀드,승률,이닝,피안타,홈런,볼넷,사구,삼진,실점,자책점,이닝당_출루허용률,완투,완봉,퀄리티스타트,블론세이브,타자수,투구수,피안타율,2루타,3루타,희생번트,희생플라이,고의4구,폭투,보크,선발,선발승,구원승,종료,세이브기회,터프세이브,병살타,땅볼,뜬공,땅볼/뜬공,인플레이타구타율,투구수/경기,투구수/이닝,9이닝당 삼진,9이닝당 볼넷,삼진/볼넷,피출루율,피장타율,피OPS
문성현,60336,넥센,0.00,1,0,0,0,0,-,1,1,0,1,0,1,0,0,2.00,0,0,0,0,5,19,0.250,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1.00,0.333,19.0,19.0,9.00,9.00,1.00,0.400,0.250,0.650
박정준,61396,넥센,0.00,2,0,0,0,0,-,2,0,0,1,2,2,1,0,0.50,0,0,0,0,10,48,0.000,0,0,0,0,0,0,1,0,0,0,2,0,0,0,3,2,1.50,0.000,24.0,24.0,9.00,4.50,2.00,0.300,0.000,0.300
이상민,63960,넥센,0.00,4,0,0,0,0,-,4 2/3,3,0,1,0,2,0,0,0.86,0,0,0,0,16,54,0.200,1,0,0,0,0,0,0,0,0,0,2,1,0,1,5,5,1.00,0.231,13.5,11.6,3.86,1.93,2.00,0.250,0.267,0.517
양현,61268,넥센,3.58,33,1,1,0,5,0.500,32 2/3,31,4,13,1,20,13,13,1.35,0,0,0,2,132,486,0.270,3,0,1,2,0,0,0,0,0,1,5,6,0,7,43,23,1.87,0.290,14.7,14.9,5.51,3.58,1.54,0.344,0.400,0.744
조상우,63342,넥센,3.79,18,1,2,9,0,0.333,19,16,1,6,2,23,11,8,1.16,0,0,0,5,78,322,0.232,4,1,1,0,0,0,0,0,0,1,14,14,1,1,12,18,0.67,0.333,17.9,16.9,10.89,2.84,3.83,0.312,0.362,0.674
로저스,65742,넥센,3.80,13,5,4,0,0,0.556,83,89,7,16,5,65,40,35,1.27,1,0,8,0,345,1285,0.278,7,4,2,2,0,8,0,13,5,0,1,0,0,8,99,69,1.43,0.328,98.8,15.5,7.05,1.73,4.06,0.321,0.391,0.712
브리검,67313,넥센,3.84,31,11,7,0,1,0.611,199,188,19,50,19,175,89,85,1.20,2,1,19,0,829,3089,0.249,28,3,5,1,0,4,0,30,11,0,2,0,0,25,247,145,1.70,0.301,99.6,15.5,7.91,2.26,3.50,0.312,0.370,0.682
최원태,65320,넥센,3.95,23,13,7,0,0,0.650,134 1/3,144,8,35,11,101,62,59,1.33,1,0,14,0,577,2135,0.275,28,0,4,4,0,3,0,23,13,0,1,0,0,16,166,116,1.43,0.325,92.8,15.9,6.77,2.34,2.89,0.332,0.375,0.707
이보근,75342,넥센,4.28,64,7,6,0,24,0.538,61,66,6,14,4,54,36,29,1.31,0,0,0,4,263,1128,0.269,10,2,0,0,1,2,0,0,0,7,9,30,0,4,53,72,0.74,0.324,17.6,18.5,7.97,2.07,3.86,0.319,0.400,0.719
한현희,62363,넥센,4.79,30,11,7,0,0,0.611,169,208,22,49,20,105,98,90,1.52,0,0,12,0,756,2790,0.307,42,3,5,5,0,6,0,28,10,1,0,0,0,24,207,162,1.28,0.335,93.0,16.5,5.59,2.61,2.14,0.369,0.476,0.845
윤영삼,61456,넥센,4.85,22,1,0,2,0,1.000,29 2/3,31,2,8,1,32,18,16,1.31,0,0,0,0,127,458,0.272,7,0,4,0,1,1,0,0,0,1,11,2,0,2,24,27,0.89,0.363,20.8,15.4,9.71,2.43,4.00,0.325,0.386,0.711
김상수,76430,넥센,5.17,58,2,3,18,14,0.400,55 2/3,53,9,23,1,68,32,32,1.37,0,0,0,7,239,987,0.250,10,0,1,2,2,6,0,0,0,2,29,38,0,2,38,55,0.69,0.321,17.0,17.7,10.99,3.72,2.96,0.324,0.425,0.749
해커,63938,넥센,5.20,14,5,3,0,0,0.625,79 2/3,86,16,30,5,56,49,46,1.46,0,0,4,0,349,1338,0.281,16,0,5,3,0,2,1,13,5,0,0,0,0,6,101,66,1.53,0.295,95.6,16.8,6.33,3.39,1.87,0.352,0.490,0.842
이승호,67603,넥센,5.60,32,1,3,0,4,0.250,45,44,8,22,5,38,28,28,1.47,0,0,0,0,203,825,0.253,9,0,0,2,1,8,0,4,0,1,4,5,0,1,44,50,0.88,0.277,25.8,18.3,7.60,4.40,1.73,0.350,0.443,0.793
김동준,62360,넥센,6.04,33,2,2,2,1,0.500,47 2/3,61,10,18,4,36,33,32,1.66,0,0,0,1,218,824,0.313,12,1,0,1,0,2,0,3,1,1,10,6,0,8,41,58,0.71,0.340,25.0,17.3,6.80,3.40,2.00,0.381,0.538,0.919
김성민,67828,넥센,6.19,46,2,1,0,5,0.667,48,61,6,21,3,45,38,33,1.71,0,0,0,0,226,850,0.310,11,1,2,3,2,4,0,1,0,2,8,4,0,3,51,43,1.19,0.369,18.5,17.7,8.44,3.94,2.14,0.379,0.467,0.846
오주원,74359,넥센,6.19,61,3,6,1,15,0.333,52 1/3,61,8,13,1,36,37,36,1.41,0,0,0,3,226,820,0.298,11,0,5,2,3,1,0,0,0,3,11,24,0,3,50,60,0.83,0.325,13.4,15.7,6.19,2.24,2.77,0.339,0.468,0.807
신재영,62937,넥센,6.75,26,8,9,0,1,0.471,101 1/3,133,31,23,8,53,80,76,1.54,0,0,6,0,452,1695,0.318,27,2,2,1,2,0,0,21,7,1,2,0,0,10,94,139,0.68,0.304,65.2,16.7,4.71,2.04,2.30,0.364,0.615,0.979
안우진,68341,넥센,7.19,20,2,4,0,1,0.333,41 1/3,46,6,28,3,46,35,33,1.79,0,0,0,0,198,770,0.282,5,0,2,2,0,5,2,5,1,1,8,2,0,3,33,40,0.83,0.354,38.5,18.6,10.02,6.10,1.64,0.393,0.423,0.816
조덕길,63348,넥센,7.43,25,0,0,0,0,-,26 2/3,35,6,13,0,25,24,22,1.80,0,0,0,1,128,495,0.304,6,1,0,0,0,3,0,0,0,0,12,1,0,2,19,36,0.53,0.345,19.8,18.6,8.44,4.39,1.92,0.375,0.530,0.905
하영민,64350,넥센,7.71,9,0,2,0,0,0.000,16 1/3,30,3,7,1,10,18,14,2.27,0,0,0,0,89,299,0.375,3,0,1,0,0,0,0,1,0,0,6,0,0,0,26,14,1.86,0.403,33.2,18.3,5.51,3.86,1.43,0.432,0.525,0.957
김선기,66018,넥센,7.94,21,0,1,0,1,0.000,22 2/3,34,5,16,0,21,22,20,2.21,0,0,0,0,120,450,0.340,7,0,1,3,1,3,0,0,0,0,6,0,0,0,21,27,0.78,0.377,21.4,19.9,8.34,6.35,1.31,0.420,0.560,0.980
김정인,65392,넥센,8.59,2,0,1,0,0,0.000,7 1/3,14,1,3,1,4,7,7,2.32,0,0,0,0,39,143,0.400,2,0,0,0,0,0,0,2,0,0,0,0,0,1,4,13,0.31,0.433,71.5,19.5,4.91,3.68,1.33,0.462,0.543,1.005
이영준,64051,넥센,22.50,2,0,0,0,0,-,2,6,0,3,0,2,5,5,4.50,0,0,0,0,15,44,0.500,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3.00,0.600,22.0,22.0,9.00,13.50,0.67,0.600,0.750,1.350
서의태,66068,넥센,54.00,1,0,0,0,0,-,2/3,1,0,2,1,1,4,4,4.50,0,0,0,0,6,27,0.333,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,-,0.500,27.0,40.5,13.50,27.00,0.50,0.667,0.333,1.000
