선수명,ID,팀명,평균자책점,경기,승리,패배,세이브,홀드,승률,이닝,피안타,홈런,볼넷,사구,삼진,실점,자책점,이닝당_출루허용률,완투,완봉,퀄리티스타트,블론세이브,타자수,투구수,피안타율,2루타,3루타,희생번트,희생플라이,고의4구,폭투,보크,선발,선발승,구원승,종료,세이브기회,터프세이브,병살타,땅볼,뜬공,땅볼/뜬공,인플레이타구타율,투구수/경기,투구수/이닝,9이닝당 삼진,9이닝당 볼넷,삼진/볼넷,피출루율,피장타율,피OPS
김윤환,64396,넥센,0.00,1,0,0,0,0,-,1,0,0,1,0,0,0,0,1.00,0,0,0,0,4,18,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0.50,0.000,18.0,18.0,0.00,9.00,0.00,0.250,0.000,0.250
김정인,65392,넥센,0.00,2,0,0,0,0,-,2,3,0,3,1,1,0,0,3.00,0,0,0,0,13,52,0.333,0,0,0,0,0,0,0,1,0,0,1,0,0,0,4,1,4.00,0.375,26.0,26.0,4.50,13.50,0.33,0.538,0.333,0.871
유재훈,66359,넥센,0.00,1,0,0,0,0,-,1/3,0,0,2,0,1,0,0,6.00,0,0,0,0,3,16,0.000,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,-,0.000,16.0,48.0,27.00,54.00,0.50,0.667,0.000,0.667
김세현,76350,넥센,2.60,62,2,0,36,0,1.000,62 1/3,66,2,7,0,50,19,18,1.17,0,0,0,8,254,894,0.274,7,2,3,3,0,4,0,0,0,2,53,44,6,5,67,61,1.10,0.333,14.4,14.3,7.22,1.01,7.14,0.291,0.344,0.635
하영민,64350,넥센,3.14,11,1,1,0,1,0.500,28 2/3,33,2,9,2,15,12,10,1.47,0,0,0,0,121,434,0.303,11,1,1,0,0,1,0,1,0,1,3,2,0,5,36,25,1.44,0.337,39.5,15.1,4.71,2.83,1.67,0.367,0.477,0.844
황덕균,72261,넥센,3.31,7,1,0,0,0,1.000,16 1/3,13,3,7,1,3,6,6,1.22,0,0,0,0,68,239,0.220,2,0,1,0,0,0,0,0,0,1,2,0,0,2,23,20,1.15,0.189,34.1,14.6,1.65,3.86,0.43,0.313,0.407,0.720
밴헤켄,62322,넥센,3.38,12,7,3,0,0,0.700,72,55,10,19,5,81,29,27,1.03,0,0,7,0,287,1183,0.216,14,0,3,5,0,1,0,12,7,0,0,0,0,5,56,68,0.82,0.266,98.6,16.4,10.13,2.38,4.26,0.278,0.388,0.666
코엘로,66323,넥센,3.77,12,6,5,0,0,0.545,62,50,6,42,2,46,29,26,1.48,0,0,3,0,271,1194,0.226,7,0,3,3,0,0,0,12,6,0,0,0,0,1,49,79,0.62,0.256,99.5,19.3,6.68,6.10,1.10,0.351,0.339,0.690
신재영,62937,넥센,3.90,30,15,7,0,0,0.682,168 2/3,192,19,21,11,99,76,73,1.26,0,0,11,0,718,2655,0.286,35,6,7,8,0,2,1,30,15,0,0,0,0,7,150,238,0.63,0.308,88.5,15.7,5.28,1.12,4.71,0.315,0.441,0.756
정용준,65368,넥센,4.00,5,0,0,0,0,-,9,8,1,5,0,3,5,4,1.44,0,0,0,0,40,138,0.229,1,1,0,0,0,1,0,0,0,0,3,0,0,0,8,16,0.50,0.226,27.6,15.3,3.00,5.00,0.60,0.325,0.400,0.725
마정길,72749,넥센,4.10,61,6,1,0,12,0.857,63 2/3,61,10,34,4,52,33,29,1.49,0,0,0,0,282,1114,0.260,16,2,2,7,0,1,0,0,0,6,11,10,0,4,37,92,0.40,0.283,18.3,17.5,7.35,4.81,1.53,0.354,0.472,0.826
오주원,74359,넥센,4.41,55,3,2,2,7,0.600,51,50,3,17,4,40,25,25,1.31,0,0,0,0,220,808,0.259,7,1,4,2,0,0,0,0,0,3,11,14,1,4,56,49,1.14,0.309,14.7,15.8,7.06,3.00,2.35,0.329,0.352,0.681
이보근,75342,넥센,4.45,67,5,7,0,25,0.417,64 2/3,69,3,27,6,56,36,32,1.48,0,0,0,2,290,1180,0.272,13,3,2,1,1,5,0,0,0,5,7,28,0,6,82,48,1.71,0.337,17.6,18.2,7.79,3.76,2.07,0.354,0.382,0.736
