데뷔년도,연도,타율,경기,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,희생번트,희생플라이,볼넷,고의사구,사구,삼진,병살타,장타율,출루율,OPS,멀티히트,득점권타율,대타타율,장타,땅볼,뜬공,결승타,투구수/타석,순수장타율,추정득점,GPA,경기(주루),도루시도(주루),도루허용(주루),도루실패(주루),도루성공률(주루),주루사(주루),견제사(주루),경기(수비),선발경기(수비),수비이닝(수비),실책(수비),견제사(수비),자살(수비),보살(수비),병살(수비),포일(수비),도루허용(수비),도루실패(수비),수비율(수비),도루저지율(수비),연봉,WAR,FA여부,뉴스개수(연도별정규화),뉴스개수(누적정규화),수상횟수,누적타석,포지션 엔트로피,출생연도,출생월,출생일,나이,팀명_KIA,팀명_KT,팀명_LG,팀명_NC,팀명_SK,팀명_두산,팀명_롯데,팀명_삼성,팀명_우리/히어로즈/넥센/키움,팀명_한화,팀명_현대,포지션(수비)_1루수,포지션(수비)_2루수,포지션(수비)_3루수,포지션(수비)_수비기록없음,포지션(수비)_우익수,포지션(수비)_유격수,포지션(수비)_좌익수,포지션(수비)_중견수,포지션(수비)_포수
1992,2006,0.259,124,529,452,61,117,22,1,18,195,73,2,6,63,4,6,87,13,0.431,0.353,0.784,30,0.287,0.0,41,117,137,0,4.13,0.173,71.9,0.267,124,30,22,8,73.3,0,0,137,123,1052.3333333333337,4,0,219,4,0,0,0,0,0.9817516629711752,0.0,75000,4.799,1,0.097733711,0.853691938,0,2192,0.0,1973,9,7,34,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1992,2010,0.22,82,219,191,22,42,7,0,8,73,27,3,1,23,0,1,34,6,0.382,0.306,0.688,8,0.239,0.286,15,57,59,0,3.93,0.162,22.3,0.233,82,3,1,2,33.3,0,0,49,38,271.3333333333333,1,0,51,4,2,0,0,0,0.9494275184275184,0.0,80000,0.127,1,0.0366614665,1.259741107,0,3658,0.0,1973,9,7,38,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1998,2010,0.252,98,363,309,45,78,8,1,4,100,22,6,3,43,0,1,33,10,0.324,0.343,0.667,19,0.2,0.25,13,116,85,0,3.85,0.071,37.2,0.235,98,20,14,6,70.0,0,0,119,85,705.3333333333334,1,0,153,1,0,0,0,0,0.9939130434782608,0.0,30000,0.514,1,0.0101404056,0.599722664,0,3471,0.0,1974,4,20,37,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1992,2008,0.276,87,314,261,37,72,15,0,12,123,58,0,5,45,2,3,49,8,0.471,0.382,0.853,13,0.29,0.222,27,68,77,0,3.84,0.195,48.2,0.29,87,3,2,1,66.7,0,0,2,2,14.0,0,0,13,2,2,0,0,0,1.0,0.0,8000,1.935,1,0.0348071496,0.156175349,0,1811,0.0,1973,12,25,36,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2001,2015,0.246,96,328,293,43,72,17,0,4,101,31,4,1,23,0,7,83,6,0.345,0.315,0.66,17,0.288,0.0,21,74,65,5,3.88,0.099,31.4,0.228,96,11,7,4,63.6,2,1,91,78,692.0,1,0,186,6,2,0,0,0,0.995,0.0,140000,1.99,1,0.0404015056,1.012080084,0,3740,0.0,1982,9,13,34,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2001,2020,0.253,122,327,289,39,73,11,1,12,122,45,5,2,27,2,4,62,10,0.422,0.323,0.745,18,0.25,0.136,24,73,83,2,3.69,0.17,38.1,0.251,122,12,7,5,58.3,2,1,110,69,658.3333333333334,2,0,207,8,4,0,0,0,0.991,0.0,50000,0.892,1,0.0735042735,1.384716158,0,5419,0.0,1982,9,13,39,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2001,2016,0.182,77,159,132,12,24,5,0,1,32,10,4,2,17,0,4,39,2,0.242,0.29,0.532,4,0.136,0.0,6,31,40,2,4.05,0.061,11.0,0.191,77,1,0,1,0.0,0,0,72,39,367.6666666666667,3,2,274,27,4,2,26,10,0.99,27.8,80000,-0.332,1,0.100725953,0.819024191,0,2341,0.0,1982,12,24,35,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2000,2015,0.261,119,304,245,38,64,6,1,2,78,15,22,2,30,0,5,50,2,0.318,0.351,0.669,12,0.185,0.304,9,78,55,1,4.13,0.057,34.1,0.237,119,21,18,3,85.7,1,1,110,65,594.6666666666666,1,0,115,6,2,0,0,0,0.9922135650224216,0.0,55000,0.327,1,0.0321204517,0.912460422,0,3335,0.0,1981,3,22,35,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2001,2016,0.298,94,288,255,37,76,14,1,6,110,35,4,2,27,0,0,37,9,0.431,0.363,0.794,21,0.339,0.667,21,70,74,6,3.92,0.133,36.2,0.271,94,9,3,6,33.3,4,0,97,67,562.6666666666667,3,0,113,2,0,0,0,0,0.9753447867298576,0.0,27500,0.088,1,0.0326678766,1.082204864,0,3615,0.0,1982,7,20,35,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1996,2006,0.21,84,237,205,19,43,10,0,3,62,21,8,3,18,0,3,32,5,0.302,0.279,0.581,9,0.277,0.25,13,63,70,0,3.93,0.093,16.8,0.201,84,5,0,5,0.0,0,0,73,62,515.3333333333334,5,0,145,193,36,0,0,0,0.9822212160413972,0.0,53333,-0.061,1,0.00424929178,0.261955871,0,1759,0.8868481413928203,1974,2,20,33,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1994,2005,0.237,110,272,232,24,55,11,1,5,83,22,18,1,18,0,3,57,3,0.358,0.299,0.657,7,0.169,0.0,17,58,63,0,3.94,0.121,26.1,0.224,110,1,1,0,100.0,0,0,114,86,692.0,9,0,45,152,10,0,0,0,0.9560404624277457,0.0,8600,0.341,1,0.149779736,0.309659027,0,783,0.1806924546888096,1971,8,19,35,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1994,2005,0.293,114,465,406,55,119,18,0,15,182,73,3,3,35,3,18,68,9,0.448,0.372,0.82,30,0.292,0.0,33,118,104,0,4.03,0.155,67.0,0.279,114,1,1,0,100.0,0,0,104,98,820.6666666666666,5,0,786,68,56,0,0,0,0.994314378554021,0.0,70000,2.694,1,0.18061674,0.457790993,0,2096,0.2966687738408352,1971,10,30,35,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
1996,2006,0.243,107,269,239,18,58,6,1,2,72,23,6,3,17,0,4,31,4,0.301,0.3,0.601,6,0.206,0.308,9,88,65,0,3.7,0.059,23.1,0.21,107,2,1,1,50.0,0,0,89,64,467.6666666666666,2,0,141,7,5,0,0,0,0.9955980042765502,0.0,16000,0.045,1,0.00708215297,0.113177133,0,1056,0.576447220444628,1973,6,3,34,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2008,2020,0.292,80,131,113,16,33,6,0,1,42,18,7,1,6,0,4,14,3,0.372,0.347,0.719,6,0.323,0.333,7,31,36,0,3.46,0.08,14.4,0.249,80,0,0,0,0.0,1,0,75,34,335.3333333333333,3,0,297,19,4,2,16,8,0.991,33.3,32500,0.551,1,0.0769230769,0.943254815,0,2491,0.0,1989,12,30,32,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
