선수명,ID,팀명,평균자책점,경기,승리,패배,세이브,홀드,승률,이닝,피안타,홈런,볼넷,사구,삼진,실점,자책점,이닝당_출루허용률,완투,완봉,퀄리티스타트,블론세이브,타자수,투구수,피안타율,2루타,3루타,희생번트,희생플라이,고의4구,폭투,보크,선발,선발승,구원승,종료,세이브기회,터프세이브,병살타,땅볼,뜬공,땅볼/뜬공,인플레이타구타율,투구수/경기,투구수/이닝,9이닝당 삼진,9이닝당 볼넷,삼진/볼넷,피출루율,피장타율,피OPS
권오준,99445,삼성,0.00,2,0,0,0,0,-,1 2/3,2,0,2,0,1,0,0,2.40,0,0,0,0,9,35,0.286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0.33,0.333,17.5,21.0,5.40,10.80,0.50,0.444,0.286,0.730
권혁,72447,삼성,2.90,63,5,7,6,21,0.417,80 2/3,64,10,42,4,76,29,26,1.31,0,0,0,4,346,1415,0.218,9,1,4,3,4,6,0,0,0,5,16,27,2,5,55,101,0.54,0.257,22.5,17.5,8.48,4.69,1.81,0.322,0.358,0.680
권오원,72454,삼성,3.38,3,0,1,0,0,0.000,2 2/3,2,0,5,0,2,1,1,2.63,0,0,0,0,14,63,0.250,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3,1,3.00,0.333,21.0,23.6,6.75,16.88,0.40,0.538,0.250,0.788
정현욱,96462,삼성,3.42,62,8,5,6,16,0.615,79,77,8,36,2,66,33,30,1.43,0,0,0,6,339,1305,0.263,11,2,6,2,1,9,0,0,0,8,10,25,1,12,96,56,1.71,0.312,21.0,16.5,7.52,4.10,1.83,0.345,0.396,0.741
나이트,79430,삼성,3.56,11,6,2,0,0,0.750,60 2/3,52,5,28,2,51,26,24,1.32,0,0,6,0,260,980,0.231,12,0,2,3,0,6,0,10,6,0,0,0,0,4,71,54,1.31,0.273,89.1,16.2,7.57,4.15,1.82,0.318,0.351,0.669
윤성환,74454,삼성,4.32,30,14,5,0,0,0.737,166 2/3,163,19,34,10,131,83,80,1.18,2,0,15,0,690,2654,0.257,29,4,6,6,0,3,0,28,13,1,2,0,0,6,143,203,0.70,0.294,88.5,15.9,7.07,1.84,3.85,0.303,0.405,0.708
크루세타,79435,삼성,4.36,30,9,10,0,0,0.474,157,134,11,109,6,127,90,76,1.55,1,1,14,0,700,2760,0.238,25,4,16,5,1,19,0,30,9,0,1,0,0,13,176,132,1.33,0.285,92.0,17.6,7.28,6.25,1.17,0.364,0.355,0.719
오승환,75421,삼성,4.83,35,2,2,19,0,0.500,31 2/3,28,7,17,0,51,17,17,1.42,0,0,0,1,140,641,0.228,5,0,0,0,1,1,0,0,0,2,32,21,2,0,16,28,0.57,0.323,18.3,20.2,14.49,4.83,3.00,0.321,0.439,0.760
박민규,79448,삼성,4.95,9,0,2,0,0,0.000,20,19,2,16,0,8,12,11,1.75,0,0,0,0,90,363,0.257,4,0,0,0,0,1,0,3,0,0,1,0,0,4,23,24,0.96,0.266,40.3,18.2,3.60,7.20,0.50,0.389,0.392,0.781
안지만,72463,삼성,5.12,17,2,4,0,1,0.333,51,54,5,18,1,32,31,29,1.41,0,0,2,0,216,836,0.286,9,1,3,5,0,2,0,9,2,0,1,1,0,6,43,65,0.66,0.312,49.2,16.4,5.65,3.18,1.78,0.343,0.423,0.766
