ID,선수명,데뷔년도,팀명,연도,타율,경기,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,희생번트,희생플라이,볼넷,고의사구,사구,삼진,병살타,장타율,출루율,OPS,멀티히트,득점권타율,대타타율,장타,땅볼,뜬공,결승타,투구수/타석,순수장타율,추정득점,GPA,경기(주루),도루시도(주루),도루허용(주루),도루실패(주루),도루성공률(주루),주루사(주루),견제사(주루),포지션(수비),경기(수비),선발경기(수비),수비이닝(수비),실책(수비),견제사(수비),자살(수비),보살(수비),병살(수비),포일(수비),도루허용(수비),도루실패(수비),수비율(수비),도루저지율(수비),WAR,FA여부,뉴스개수(연도별정규화),뉴스개수(누적정규화),수상횟수,누적타석,포지션 엔트로피,출생연도,출생월,출생일,나이,연봉,1차FA여부,2차FA여부,3차FA여부
70224,강봉규,1996,두산,2002,0.25,93,182,160,30,40,6,1,5,63,25,3,1,16,1,2,43,4,0.394,0.324,0.718,9,0.35,0.281,12,36,42,0,4.21,0.144,21.2,0.244,93,7,6,1,85.7,0,0,좌익수,66,35,334.3333333333333,1,0,70,3,1,0,0,0,0.9857058823529412,0.0,0.584,0.0,0.00943396226,0.00943396226,0,182,0.2525563422497613,1978,1,12,25,6437.207408915124,0.0,0.0,0.0
70224,강봉규,1996,두산,2003,0.231,6,15,13,3,3,0,0,1,6,3,0,0,2,0,0,2,1,0.462,0.333,0.795,1,0.4,0.0,1,4,4,0,3.07,0.231,2.0,0.265,6,1,1,0,100.0,0,0,좌익수,6,3,27.0,0,0,9,1,0,0,0,0,0.9629629629629628,0.0,0.116,0.0,0.0,0.00943396226,0,197,0.228538143953528,1978,1,12,26,5523.637363932881,0.0,0.0,0.0
70224,강봉규,1996,두산,2004,0.236,40,85,72,14,17,2,1,1,24,5,2,0,10,0,1,20,0,0.333,0.337,0.67,4,0.091,0.125,4,21,14,0,4.15,0.097,9.2,0.235,40,3,2,1,66.7,0,0,좌익수,41,16,173.33333333333334,1,0,45,5,3,0,0,0,0.9798076923076924,0.0,0.274,0.0,0.0145985401,0.0240325024,0,282,0.4634743869213112,1978,1,12,27,5375.554535719749,0.0,0.0,0.0
70224,강봉규,1996,두산,2005,0.235,48,124,102,12,24,3,1,1,32,10,2,0,18,1,2,30,2,0.314,0.361,0.675,3,0.25,0.3,5,23,25,0,4.03,0.078,13.0,0.241,48,3,2,1,66.7,0,0,좌익수,51,24,242.66666666666669,0,0,56,4,0,0,0,0,0.9876373626373628,0.0,0.322,0.0,0.00440528634,0.0284377887,0,406,0.2846390152669077,1978,1,12,28,5257.724246278148,0.0,0.0,0.0
70224,강봉규,1996,삼성,2006,0.234,87,145,128,16,30,6,1,4,50,16,1,2,13,0,1,33,2,0.391,0.306,0.697,3,0.233,0.267,11,36,31,0,3.94,0.156,16.1,0.235,87,7,4,3,57.1,0,0,좌익수,72,31,284.6666666666667,1,0,85,2,0,0,0,0,0.9860655737704916,0.0,0.285,0.0,0.00708215297,0.0355199417,0,551,0.3542524421813478,1978,1,12,29,6922.453942968323,0.0,0.0,0.0
70224,강봉규,1996,삼성,2007,0.282,83,170,142,20,40,9,1,1,54,13,5,2,16,0,5,25,4,0.38,0.37,0.75,8,0.3,0.364,11,39,40,0,3.69,0.099,20.8,0.262,83,6,4,2,66.7,0,0,우익수,87,45,403.6666666666667,2,0,117,8,2,0,0,0,0.9802981007431874,0.0,0.843,0.0,0.040201005,0.0757209467,0,721,0.5295121818353495,1978,1,12,30,7838.0092705537945,0.0,0.0,0.0
70224,강봉규,1996,삼성,2008,0.276,81,160,134,27,37,8,0,3,54,14,3,1,19,0,3,28,3,0.403,0.376,0.779,7,0.25,0.294,11,43,27,0,4.08,0.127,20.2,0.27,81,7,3,4,42.9,0,0,좌익수,74,35,316.6666666666667,1,0,115,4,9,0,0,0,0.9968863157894736,0.0,0.813,0.0,0.0385700847,0.114291031,0,881,0.6877695785043221,1978,1,12,31,7627.730294396962,0.0,0.0,0.0
70224,강봉규,1996,삼성,2009,0.31,126,529,449,89,139,24,2,20,227,78,6,1,69,2,4,61,15,0.506,0.405,0.911,37,0.274,0.333,46,137,113,0,4.0,0.196,88.6,0.309,126,23,20,3,87.0,0,0,우익수,145,107,895.6666666666666,4,0,302,19,11,0,0,0,0.9795649423148493,0.0,4.441,0.0,0.0802139037,0.194504935,0,1410,0.6469868560548091,1978,1,12,32,16672.502224028292,0.0,0.0,0.0
70224,강봉규,1996,삼성,2010,0.237,89,279,232,38,55,12,0,4,79,26,4,1,40,0,2,44,8,0.341,0.353,0.694,12,0.25,0.1,16,81,53,0,4.11,0.103,30.9,0.244,89,8,8,0,100.0,0,0,좌익수,89,60,539.3333333333334,4,0,183,13,11,0,0,0,0.9798380716934486,0.0,0.829,0.0,0.0335413417,0.228046277,0,1689,0.6599957169772541,1978,1,12,33,12242.997561155864,0.0,0.0,0.0
70224,강봉규,1996,삼성,2011,0.267,52,168,146,14,39,7,1,1,51,18,0,2,17,0,2,24,3,0.349,0.347,0.696,10,0.286,0.167,9,45,40,0,3.87,0.082,19.0,0.243,52,4,3,1,75.0,0,0,좌익수,56,31,304.66666666666663,1,0,70,0,0,0,0,0,0.9866126914660832,0.0,0.58,1.0,0.0324675325,0.260513809,0,1857,0.0799195851316321,1978,1,12,34,24506.40052072033,1.0,0.0,0.0
