ID,선수명,연도,뉴스개수,min,max,Min-Max,Min-Max 누적
60648,이인행,2017,11,0,1631,0.00674432863,0.00950467995
60648,이인행,2018,7,0,1881,0.00372142477,0.0132261047
60648,이인행,2019,3,0,1121,0.00267618198,0.0159022867
60655,임한용,2010,1,0,1282,0.000780031201,0.000780031201
60655,임한용,2011,7,0,1694,0.0041322314,0.0049122626
60658,최병연,2015,14,0,3985,0.0035131744,0.0035131744
60658,최병연,2016,17,0,1102,0.0154264973,0.0189396717
60658,최병연,2017,5,0,1631,0.00306560392,0.0220052756
60667,이종환,2010,33,0,1282,0.0257410296,0.0257410296
60667,이종환,2012,16,0,1578,0.010139417,0.0358804466
60667,이종환,2013,29,0,1567,0.0185067007,0.0543871473
60667,이종환,2014,49,0,3931,0.0124650216,0.0668521689
60667,이종환,2015,159,0,3985,0.0398996236,0.106751793
60667,이종환,2016,26,0,1102,0.0235934664,0.130345259
60667,이종환,2017,36,0,1631,0.0220723483,0.152417607
60693,이준호,2011,2,0,1694,0.00118063754,0.00118063754
60693,이준호,2012,118,0,1578,0.0747782003,0.0759588378
60693,이준호,2013,8,0,1567,0.00510529675,0.0810641346
60724,이상훈,2010,71,0,1282,0.0553822153,0.0553822153
60724,이상훈,2012,131,0,1578,0.0830164766,0.138398692
60724,이상훈,2013,121,0,1567,0.0772176133,0.215616305
60724,이상훈,2014,127,0,3931,0.0323073009,0.247923606
60724,이상훈,2015,143,0,3985,0.0358845671,0.283808173
60724,이상훈,2016,118,0,1102,0.10707804,0.390886213
60759,김재우,2010,2,0,1282,0.0015600624,0.0015600624
60805,최윤석,2010,25,0,1282,0.01950078,0.01950078
60805,최윤석,2011,53,0,1694,0.0312868949,0.0507876749
60805,최윤석,2012,78,0,1578,0.0494296578,0.100217333
60805,최윤석,2013,71,0,1567,0.0453095086,0.145526841
60805,최윤석,2016,2,0,1102,0.00181488203,0.147341723
60805,최윤석,2017,21,0,1631,0.0128755365,0.16021726
60805,최윤석,2018,9,0,1881,0.004784689,0.165001949
60805,최윤석,2019,1,0,1121,0.00089206066,0.165894009
60860,김정훈,2011,8,0,1694,0.00472255018,0.00472255018
60860,김정훈,2013,23,0,1567,0.0146777281,0.0194002783
60865,안정광,2011,3,0,1694,0.00177095632,0.00177095632
60865,안정광,2012,26,0,1578,0.0164765526,0.0182475089
60865,안정광,2014,38,0,3931,0.00966675146,0.0279142604
60865,안정광,2015,14,0,3985,0.0035131744,0.0314274348
60891,조성우,2013,61,0,1567,0.0389278877,0.0389278877
60891,조성우,2014,5,0,3931,0.00127194098,0.0401998287
61102,유강남,2011,3,0,1694,0.00177095632,0.00177095632
61102,유강남,2012,91,0,1578,0.0576679341,0.0594388904
61102,유강남,2015,126,0,3985,0.0316185696,0.09105746
61102,유강남,2016,275,0,1102,0.249546279,0.340603739
61102,유강남,2017,183,0,1631,0.112201104,0.452804843
61102,유강남,2018,207,0,1881,0.110047847,0.56285269
61102,유강남,2019,189,0,1121,0.168599465,0.731452155
61102,유강남,2020,261,1,1171,0.222222222,0.953674377
61104,정병곤,2011,5,0,1694,0.00295159386,0.00295159386
61104,정병곤,2013,281,0,1567,0.179323548,0.182275142
61104,정병곤,2017,11,0,1631,0.00674432863,0.18901947
61104,정병곤,2018,8,0,1881,0.00425305688,0.193272527
61104,정병곤,2019,7,0,1121,0.00624442462,0.199516952
61108,강병의,2015,1,0,3985,0.000250941029,0.000250941029
61114,김재율,2011,0,0,1694,0,0
61114,김재율,2012,18,0,1578,0.0114068441,0.0114068441
61114,김재율,2015,5,0,3985,0.00125470514,0.0126615492
61114,김재율,2017,79,0,1631,0.048436542,0.0610980912
61114,김재율,2018,21,0,1881,0.0111642743,0.0722623655
61114,김재율,2019,19,0,1121,0.0169491525,0.089211518
61186,이천웅,2012,37,0,1578,0.0234474018,0.0234474018
61186,이천웅,2013,4,0,1567,0.00255264837,0.0260000502
61186,이천웅,2016,218,0,1102,0.197822142,0.223822192
61186,이천웅,2017,88,0,1631,0.0539546291,0.277776821
61186,이천웅,2018,141,0,1881,0.0749601276,0.352736949
61186,이천웅,2019,132,0,1121,0.117752007,0.470488956
61186,이천웅,2020,79,1,1171,0.0666666667,0.537155623
61194,이민재,2012,24,0,1578,0.0152091255,0.0152091255
61194,이민재,2015,41,0,3985,0.0102885822,0.0254977077
61197,최영진,2012,41,0,1578,0.025982256,0.025982256
61197,최영진,2013,34,0,1567,0.0216975112,0.0476797672
61197,최영진,2014,6,0,3931,0.00152632918,0.0492060964
61197,최영진,2015,4,0,3985,0.00100376412,0.0502098605
61197,최영진,2017,7,0,1631,0.00429184549,0.054501706
61197,최영진,2018,32,0,1881,0.0170122275,0.0715139335
61197,최영진,2019,21,0,1121,0.0187332739,0.0902472074
61197,최영진,2020,21,1,1171,0.0170940171,0.107341224
61204,김동한,2012,5,0,1578,0.00316856781,0.00316856781
61204,김동한,2013,44,0,1567,0.0280791321,0.0312476999
61204,김동한,2016,43,0,1102,0.0390199637,0.0702676636
61204,김동한,2017,85,0,1631,0.0521152667,0.12238293
61204,김동한,2018,61,0,1881,0.0324295587,0.154812489
61204,김동한,2019,31,0,1121,0.0276538805,0.18246637
61204,김동한,2020,27,1,1171,0.0222222222,0.204688592
61208,정진호,2011,12,0,1694,0.00708382527,0.00708382527
61208,정진호,2012,55,0,1578,0.0348542459,0.0419380712
61208,정진호,2015,101,0,3985,0.0253450439,0.0672831151
61208,정진호,2016,31,0,1102,0.0281306715,0.0954137866
61208,정진호,2017,274,0,1631,0.167995095,0.263408882
61208,정진호,2018,209,0,1881,0.111111111,0.374519993
61208,정진호,2019,51,0,1121,0.0454950937,0.420015086
61208,정진호,2020,59,1,1171,0.0495726496,0.469587736
61304,정범수,2011,11,0,1694,0.00649350649,0.00649350649
61353,고종욱,2011,63,0,1694,0.0371900826,0.0371900826
61353,고종욱,2014,11,0,3931,0.00279827016,0.0399883528
61353,고종욱,2015,247,0,3985,0.0619824341,0.101970787
61353,고종욱,2016,241,0,1102,0.218693285,0.320664072
61353,고종욱,2017,178,0,1631,0.1091355,0.429799572
61353,고종욱,2018,95,0,1881,0.0505050505,0.480304622
61353,고종욱,2019,247,0,1121,0.220338983,0.700643605
61353,고종욱,2020,68,1,1171,0.0572649573,0.757908563
61360,김도현,2011,3,0,1694,0.00177095632,0.00177095632
61360,김도현,2012,23,0,1578,0.0145754119,0.0163463682
61360,김도현,2013,9,0,1567,0.00574345884,0.0220898271
61360,김도현,2014,41,0,3931,0.0104299161,0.0325197432
61363,문우람,2012,38,0,1578,0.0240811153,0.0240811153
61363,문우람,2013,157,0,1567,0.100191449,0.124272564
61363,문우람,2014,228,0,3931,0.0580005088,0.182273073
61363,문우람,2015,95,0,3985,0.0238393977,0.206112471
61366,홍성갑,2014,3,0,3931,0.000763164589,0.000763164589
61366,홍성갑,2015,31,0,3985,0.00777917189,0.00854233648
61366,홍성갑,2016,38,0,1102,0.0344827586,0.0430250951
61366,홍성갑,2017,9,0,1631,0.00551808706,0.0485431821
61366,홍성갑,2018,17,0,1881,0.00903774588,0.057580928
61404,김헌곤,2011,11,0,1694,0.00649350649,0.00649350649
61404,김헌곤,2012,8,0,1578,0.00506970849,0.011563215
61404,김헌곤,2013,1,0,1567,0.000638162093,0.0122013771
61404,김헌곤,2014,151,0,3931,0.0384126177,0.0506139948
61404,김헌곤,2017,105,0,1631,0.0643776824,0.114991677
61404,김헌곤,2018,131,0,1881,0.0696438065,0.184635484
61404,김헌곤,2019,66,0,1121,0.0588760036,0.243511487
61404,김헌곤,2020,16,1,1171,0.0128205128,0.256332
61463,김정혁,2011,6,0,1694,0.00354191263,0.00354191263
61463,김정혁,2014,0,0,3931,0,0.00354191263
