ID,선수명,연도,뉴스개수
72169,오태근,2003,1
94106,유지현,2003,8
73153,이대형,2003,0
97109,이병규,2003,14
72195,이일의,2003,0
91015,이종열,2003,11
94843,장재중,2003,0
98144,조인성,2003,6
94132,최동수,2003,3
97351,최만호,2003,0
72139,추승우,2003,0
94145,허문회,2003,0
90695,홍현우,2003,9
92509,강성우,2003,0
99210,강혁,2003,7
71837,김강민,2003,0
91803,김기태,2003,11
91523,김민재,2003,17
73827,김형철,2003,0
92809,박경완,2003,31
72819,박두일,2003,0
73853,송수근,2003,0
97404,송재익,2003,1
97157,안재만,2003,3
70608,양현석,2003,6
72852,윤형국,2003,0
72860,이대수,2003,0
99810,이진영,2003,25
94629,이호준,2003,29
96441,정경배,2003,9
71842,정상호,2003,0
98533,조경환,2003,7
94836,조원우,2003,8
71835,조중근,2003,0
70833,채종범,2003,3
93807,최태원,2003,2
70224,강봉규,2003,0
95712,강인권,2003,3
72214,고영민,2003,1
98218,김동주,2003,43
93242,김민호,2003,2
97644,김창희,2003,8
73209,나주환,2003,0
97219,문희성,2003,12
73246,백대운,2003,0
73213,손시헌,2003,1
95114,심재학,2003,14
92207,안경현,2003,6
71252,윤태수,2003,0
72253,이경환,2003,0
93494,이동수,2003,4
72202,이민택,2003,0
99229,이승준,2003,3
92211,장원진,2003,3
91465,전상렬,2003,1
95208,정수근,2003,31
73232,정종수,2003,0
70117,최경환,2003,5
99222,홍성흔,2003,12
96723,홍원기,2003,7
71509,권오현,2003,0
96503,김대익,2003,1
73540,김영화,2003,0
88510,김응국,2003,1
70410,김주찬,2003,2
94415,김태균,2003,11
72546,문규현,2003,1
99544,박경진,2003,0
70553,박기혁,2003,2
71815,박준서,2003,0
98130,박연수,2003,4
73543,박정준,2003,0
91514,박정태,2003,8
95518,박현승,2003,1
98538,손인호,2003,4
71504,신명철,2003,4
72559,신종길,2003,0
98808,윤재국,2003,0
96468,이계성,2003,2
71564,이대호,2003,1
97515,이동욱,2003,2
71565,이우민,2003,0
73563,이인구,2003,0
73513,정보명,2003,0
99543,조성환,2003,5
96704,조효상,2003,0
96224,최기문,2003,5
72522,허일상,2003,1
98420,강동우,2003,6
73409,강명구,2003,0
73732,고지행,2003,9
73455,곽용섭,2003,0
95468,김승관,2003,0
95409,김재걸,2003,1
94539,김종훈,2003,9
94450,김한수,2003,7
95549,마해영,2003,45
70408,박정환,2003,0
71432,박한이,2003,16
72456,손주인,2003,0
95835,심성보,2003,2
93410,양준혁,2003,18
95436,이승엽,2003,498
72452,이준민,2003,0
72448,이태호,2003,2
99459,장영균,2003,0
72466,조동찬,2003,0
97202,진갑용,2003,19
72427,현재윤,2003,0
89778,강석천,2003,4
71763,김무성,2003,0
96777,김수연,2003,2
95710,김승권,2003,0
89214,김종석,2003,1
71752,김태균,2003,19
73713,맹진국,2003,0
97709,백재호,2003,1
96761,송지만,2003,11
72765,송혁,2003,0
73736,신민기,2003,0
96722,심광호,2003,2
93225,이도형,2003,5
70756,이범호,2003,4
73725,이양기,2003,0
96734,이영우,2003,9
96766,임수민,2003,0
99507,임재철,2003,5
87760,장종훈,2003,14
99449,정성열,2003,0
92204,조경택,2003,0
70723,조윤채,2003,0
71463,조정권,2003,0
72752,조현수,2003,3
72742,채상병,2003,3
73703,한상훈,2003,0
99731,황우구,2003,0
72312,강귀태,2003,6
72325,강병식,2003,1
90419,김동수,2003,8
72303,김민우,2003,0
97300,김일경,2003,0
92906,박종호,2003,24
96307,박진만,2003,25
98504,서한규,2003,0
94204,심정수,2003,102
94310,이숭용,2003,13
73342,이택근,2003,3
70364,전근표,2003,6
91511,전준호,2003,4
99606,정성훈,2003,23
97350,정수성,2003,0
97335,조승현,2003,0
72313,조재호,2003,1
98315,채종국,2003,5
94426,최익성,2003,1
71610,김경언,2004,0
99614,김경진,2004,0
71609,김민철,2004,0
70612,김상훈,2004,21
71207,김원섭,2004,2
90811,김인철,2004,0
96616,김종국,2004,12
74605,김주형,2004,4
73604,김주호,2004,1
98457,김지훈,2004,0
95549,마해영,2004,17
96362,박재홍,2004,31
73606,서동욱,2004,11
97103,손지환,2004,9
95114,심재학,2004,24
92304,이재주,2004,6
73654,이정상,2004,0
93607,이종범,2004,56
72606,이현곤,2004,1
96610,장성호,2004,21
93705,허준,2004,0
70626,홍세완,2004,18
95158,권용관,2004,2
70646,김상현,2004,9
72131,김용우,2004,9
72108,김우석,2004,2
71150,김재학,2004,0
94107,김재현,2004,41
93112,김정민,2004,3
74158,김태완,2004,2
73113,박경수,2004,13
74103,박기남,2004,0
72133,박용택,2004,21
95666,안상준,2004,0
72161,안치용,2004,0
70608,양현석,2004,11
72169,오태근,2004,0
94106,유지현,2004,22
73153,이대형,2004,0
97109,이병규,2004,46
73136,이성열,2004,0
74163,이용규,2004,1
91015,이종열,2004,6
74148,이시찬,2004,0
98144,조인성,2004,15
70649,최길성,2004,0
94132,최동수,2004,4
97351,최만호,2004,6
70122,최승환,2004,0
99554,한규식,2004,0
74169,허용,2004,101
90695,홍현우,2004,5
92509,강성우,2004,0
99210,강혁,2004,4
71837,김강민,2004,3
91803,김기태,2004,22
91523,김민재,2004,5
