ID,선수명,연도,뉴스개수,min,max,Min-Max,Min-Max 누적
60457,김현우,2013,34,0,1858,0.0182992465,0.0312862595
60457,김현우,2014,177,0,2625,0.0674285714,0.0987148309
60457,김현우,2015,21,0,1473,0.0142566191,0.11297145
60457,김현우,2016,21,0,1182,0.0177664975,0.130737948
60457,김현우,2017,11,0,1268,0.00867507886,0.139413026
60559,박시영,2010,2,0,1309,0.00152788388,0.00152788388
60559,박시영,2016,58,0,1182,0.0490693739,0.0505972578
60559,박시영,2017,91,0,1268,0.0717665615,0.122363819
60559,박시영,2018,28,0,1351,0.0207253886,0.143089208
60559,박시영,2019,95,0,1461,0.0650239562,0.208113164
60559,박시영,2020,42,0,1375,0.0305454545,0.238658619
60634,임기준,2012,2,0,3038,0.000658327847,0.000658327847
60634,임기준,2015,116,0,1473,0.0787508486,0.0794091764
60634,임기준,2016,21,0,1182,0.0177664975,0.0971756739
60634,임기준,2017,61,0,1268,0.0481072555,0.145282929
60634,임기준,2018,47,0,1351,0.0347890452,0.180071975
60634,임기준,2019,43,0,1461,0.029431896,0.209503871
60635,이정훈,2012,128,0,3038,0.0421329822,0.0421329822
60636,심동섭,2010,5,0,1309,0.0038197097,0.0038197097
60636,심동섭,2011,44,0,1121,0.039250669,0.0430703787
60636,심동섭,2012,88,0,3038,0.0289664253,0.072036804
60636,심동섭,2013,6,0,1858,0.00322927879,0.0752660828
60636,심동섭,2014,113,0,2625,0.043047619,0.118313702
60636,심동섭,2015,118,0,1473,0.0801086219,0.198422324
60636,심동섭,2016,65,0,1182,0.0549915398,0.253413863
60636,심동섭,2017,125,0,1268,0.0985804416,0.351994305
60636,심동섭,2018,21,0,1351,0.0155440415,0.367538347
60713,안승민,2010,25,0,1309,0.0190985485,0.0190985485
60713,안승민,2011,138,0,1121,0.123104371,0.14220292
60713,안승민,2012,108,0,3038,0.0355497038,0.177752623
60713,안승민,2013,97,0,1858,0.0522066738,0.229959297
60757,김경태,2011,67,0,1121,0.0597680642,0.0597680642
60757,김경태,2012,5,0,3038,0.00164581962,0.0614138838
60757,김경태,2013,48,0,1858,0.0258342304,0.0872481142
60757,김경태,2016,16,0,1182,0.013536379,0.100784493
60757,김경태,2017,33,0,1268,0.0260252366,0.12680973
60757,김경태,2018,9,0,1351,0.00666173205,0.133471462
60757,김경태,2019,9,0,1461,0.00616016427,0.139631626
60764,김용주,2010,12,0,1309,0.00916730328,0.00916730328
60764,김용주,2013,3,0,1858,0.0016146394,0.0107819427
60764,김용주,2015,74,0,1473,0.0502376103,0.061019553
60764,김용주,2016,56,0,1182,0.0473773266,0.10839688
60764,김용주,2018,13,0,1351,0.00962250185,0.118019381
60768,이태양,2012,35,0,3038,0.0115207373,0.0115207373
60768,이태양,2013,235,0,1858,0.126480086,0.138000823
60768,이태양,2014,1189,0,2625,0.452952381,0.590953204
60768,이태양,2016,535,0,1182,0.452622673,1.043575877
