선수명,ID,팀명,타율,경기,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,희생번트,희생플라이,볼넷,고의사구,사구,삼진,병살타,장타율,출루율,OPS,멀티히트,득점권타율,대타타율,장타,땅볼,뜬공,땅볼/뜬공,결승타,볼넷/삼진,투구수/타석,순수장타율,추정득점,GPA
이진영,99810,SK,0.350,80,248,220,40,77,10,3,7,114,42,3,1,22,1,2,20,2,0.518,0.412,0.930,22,0.368,0.154,20,66,58,1.14,0,1.10,3.69,0.168,44.8,0.315
이재원,76812,SK,0.333,66,119,108,16,36,8,0,3,53,21,0,1,7,0,3,13,4,0.491,0.387,0.878,6,0.355,0.240,11,28,32,0.88,0,0.54,3.68,0.157,18.5,0.297
정근우,75808,SK,0.323,111,391,341,62,110,24,2,9,165,44,9,0,35,0,6,44,6,0.484,0.395,0.879,29,0.329,0.444,35,99,88,1.13,0,0.80,3.53,0.161,61.9,0.299
이호준,94629,SK,0.313,101,391,351,56,110,22,1,14,176,71,0,6,31,0,3,59,13,0.501,0.368,0.869,24,0.384,1.000,37,93,95,0.98,0,0.53,3.99,0.188,59.0,0.291
박재홍,96362,SK,0.280,115,400,347,53,97,19,1,17,169,54,1,7,41,6,4,52,5,0.487,0.356,0.843,22,0.247,0.333,37,84,121,0.69,0,0.79,3.85,0.207,61.4,0.282
조동화,71848,SK,0.272,121,345,290,48,79,8,3,0,93,18,13,4,31,1,7,59,1,0.321,0.352,0.673,17,0.297,0.200,11,86,70,1.23,0,0.53,3.92,0.048,40.5,0.239
박재상,71857,SK,0.269,123,368,312,53,84,16,1,10,132,37,8,0,42,2,6,50,5,0.423,0.367,0.790,21,0.261,0.231,27,95,83,1.14,0,0.84,4.03,0.154,50.7,0.271
최정,75847,SK,0.267,122,462,408,49,109,19,1,16,178,66,9,1,33,1,11,84,3,0.436,0.338,0.774,23,0.359,0.000,36,109,107,1.02,0,0.39,3.63,0.169,60.4,0.261
박경완,92809,SK,0.247,119,437,352,60,87,21,1,15,155,60,11,9,55,4,10,68,9,0.440,0.357,0.797,22,0.228,0.000,37,84,122,0.69,0,0.81,4.08,0.193,60.7,0.271
나주환,73209,SK,0.243,117,331,284,30,69,13,2,2,92,27,15,6,22,0,4,42,6,0.324,0.301,0.625,15,0.215,0.000,17,78,101,0.77,0,0.52,3.52,0.081,29.3,0.216
