선수명,연도,소속팀명,연봉,WAR,상세url
정종진,2016,롯데,"900,000",,http://www.statiz.co.kr/player.php?name=정종진
박정현,2016,롯데,"900,000",,http://www.statiz.co.kr/player.php?name=박정현
안준영,2016,롯데,"900,000",,http://www.statiz.co.kr/player.php?name=안준영
허준혁,2016,롯데,"900,000",,http://www.statiz.co.kr/player.php?name=허준혁
조준영,2016,롯데,"900,000",,http://www.statiz.co.kr/player.php?name=조준영
이준형,2016,롯데,"900,000",,http://www.statiz.co.kr/player.php?name=이준형
이진영,2016,롯데,"900,000",,http://www.statiz.co.kr/player.php?name=이진영
이예찬,2016,롯데,"900,000",,http://www.statiz.co.kr/player.php?name=이예찬
오현근,2016,롯데,"900,000",0.078,http://www.statiz.co.kr/player.php?name=오현근
이경우,2016,롯데,"900,000",-0.053,http://www.statiz.co.kr/player.php?name=이경우
맥스웰,2016,롯데,"900,000",0.506,http://www.statiz.co.kr/player.php?name=맥스웰
유정민,2016,롯데,"900,000",,http://www.statiz.co.kr/player.php?name=유정민
백왕중,2016,롯데,"900,000",,http://www.statiz.co.kr/player.php?name=백왕중
이성민,2016,롯데,"900,000",-0.418,http://www.statiz.co.kr/player.php?name=이성민
아두치,2016,롯데,"900,000",1.340,http://www.statiz.co.kr/player.php?name=아두치
안태경,2016,롯데,"900,000",,http://www.statiz.co.kr/player.php?name=안태경
김호준,2016,롯데,"900,000",,http://www.statiz.co.kr/player.php?name=김호준
린드블럼,2016,롯데,"120,000",2.690,http://www.statiz.co.kr/player.php?name=린드블럼
강민호,2016,롯데,"100,000",5.024,http://www.statiz.co.kr/player.php?name=강민호
손승락,2016,롯데,"70,000",1.418,http://www.statiz.co.kr/player.php?name=손승락
레일리,2016,롯데,"63,000",3.522,http://www.statiz.co.kr/player.php?name=레일리
손아섭,2016,롯데,"60,000",5.150,http://www.statiz.co.kr/player.php?name=손아섭
윤길현,2016,롯데,"50,000",0.097,http://www.statiz.co.kr/player.php?name=윤길현
황재균,2016,롯데,"50,000",6.073,http://www.statiz.co.kr/player.php?name=황재균
최준석,2016,롯데,"40,000",0.731,http://www.statiz.co.kr/player.php?name=최준석
송승준,2016,롯데,"40,000",-0.768,http://www.statiz.co.kr/player.php?name=송승준
정대현,2016,롯데,"32,000",0.242,http://www.statiz.co.kr/player.php?name=정대현
강영식,2016,롯데,"30,000",0.077,http://www.statiz.co.kr/player.php?name=강영식
정훈,2016,롯데,"21,000",0.538,http://www.statiz.co.kr/player.php?name=정훈
전준우,2016,롯데,"20,500",-0.161,http://www.statiz.co.kr/player.php?name=전준우
노경은,2016,롯데,"20,000",,http://www.statiz.co.kr/player.php?name=노경은
박종윤,2016,롯데,"16,000",-0.230,http://www.statiz.co.kr/player.php?name=박종윤
이명우,2016,롯데,"15,000",-0.952,http://www.statiz.co.kr/player.php?name=이명우
박헌도,2016,롯데,"8,000",0.267,http://www.statiz.co.kr/player.php?name=박헌도
김문호,2016,롯데,"7,000",2.342,http://www.statiz.co.kr/player.php?name=김문호
이우민,2016,롯데,"7,000",-0.198,http://www.statiz.co.kr/player.php?name=이우민
오승택,2016,롯데,"7,000",,http://www.statiz.co.kr/player.php?name=오승택
이정민,2016,롯데,"6,500",2.371,http://www.statiz.co.kr/player.php?name=이정민
박세웅,2016,롯데,"5,600",0.952,http://www.statiz.co.kr/player.php?name=박세웅
신본기,2016,롯데,"5,500",1.066,http://www.statiz.co.kr/player.php?name=신본기
조정훈,2016,롯데,"5,200",,http://www.statiz.co.kr/player.php?name=조정훈
배장호,2016,롯데,"4,600",0.629,http://www.statiz.co.kr/player.php?name=배장호
김민하,2016,롯데,"4,000",-0.250,http://www.statiz.co.kr/player.php?name=김민하
안중열,2016,롯데,"4,000",-0.184,http://www.statiz.co.kr/player.php?name=안중열
이재곤,2016,롯데,"3,800",,http://www.statiz.co.kr/player.php?name=이재곤
진명호,2016,롯데,"3,800",,http://www.statiz.co.kr/player.php?name=진명호
김대우,2016,롯데,"3,800",0.009,http://www.statiz.co.kr/player.php?name=김대우
이여상,2016,롯데,"3,600",-0.236,http://www.statiz.co.kr/player.php?name=이여상
김원중,2016,롯데,"3,600",-0.127,http://www.statiz.co.kr/player.php?name=김원중
손용석,2016,롯데,"3,400",-0.107,http://www.statiz.co.kr/player.php?name=손용석
김주현,2016,롯데,"3,300",-0.092,http://www.statiz.co.kr/player.php?name=김주현
김동한,2016,롯데,"3,200",,http://www.statiz.co.kr/player.php?name=김동한
김대륙,2016,롯데,"3,200",-0.211,http://www.statiz.co.kr/player.php?name=김대륙
박한길,2016,롯데,"3,000",-0.047,http://www.statiz.co.kr/player.php?name=박한길
김준태,2016,롯데,"3,000",0.450,http://www.statiz.co.kr/player.php?name=김준태
문규현,2016,롯데,"3,000",1.070,http://www.statiz.co.kr/player.php?name=문규현
구승민,2016,롯데,"2,900",,http://www.statiz.co.kr/player.php?name=구승민
이인복,2016,롯데,"2,900",,http://www.statiz.co.kr/player.php?name=이인복
강동수,2016,롯데,"2,900",,http://www.statiz.co.kr/player.php?name=강동수
강승현,2016,롯데,"2,900",-0.059,http://www.statiz.co.kr/player.php?name=강승현
김재유,2016,롯데,"2,900",-0.247,http://www.statiz.co.kr/player.php?name=김재유
김사훈,2016,롯데,"2,900",-0.048,http://www.statiz.co.kr/player.php?name=김사훈
박진형,2016,롯데,"2,800",0.744,http://www.statiz.co.kr/player.php?name=박진형
황진수,2016,롯데,"2,800",-0.293,http://www.statiz.co.kr/player.php?name=황진수
김상호,2016,롯데,"2,800",0.125,http://www.statiz.co.kr/player.php?name=김상호
차재용,2016,롯데,"2,800",-0.141,http://www.statiz.co.kr/player.php?name=차재용
김유영,2016,롯데,"2,800",-0.331,http://www.statiz.co.kr/player.php?name=김유영
오윤석,2016,롯데,"2,700",,http://www.statiz.co.kr/player.php?name=오윤석
배제성,2016,롯데,"2,700",,http://www.statiz.co.kr/player.php?name=배제성
양형진,2016,롯데,"2,700",,http://www.statiz.co.kr/player.php?name=양형진
강동관,2016,롯데,"2,700",-0.046,http://www.statiz.co.kr/player.php?name=강동관
박종무,2016,롯데,"2,700",,http://www.statiz.co.kr/player.php?name=박종무
한승혁,2016,롯데,"2,700",,http://www.statiz.co.kr/player.php?name=한승혁
김영일,2016,롯데,"2,700",,http://www.statiz.co.kr/player.php?name=김영일
나경민,2016,롯데,"2,700",-0.213,http://www.statiz.co.kr/player.php?name=나경민
김성재,2016,롯데,"2,700",-0.007,http://www.statiz.co.kr/player.php?name=김성재
이석훈,2016,롯데,"2,700",,http://www.statiz.co.kr/player.php?name=이석훈
임지유,2016,롯데,"2,700",,http://www.statiz.co.kr/player.php?name=임지유
최승훈,2016,롯데,"2,700",,http://www.statiz.co.kr/player.php?name=최승훈
김남길,2016,롯데,"2,700",,http://www.statiz.co.kr/player.php?name=김남길
박시영,2016,롯데,"2,700",0.757,http://www.statiz.co.kr/player.php?name=박시영
김성호,2016,롯데,"2,700",,http://www.statiz.co.kr/player.php?name=김성호
이지모,2016,롯데,"2,700",,http://www.statiz.co.kr/player.php?name=이지모
장국헌,2016,롯데,"2,700",,http://www.statiz.co.kr/player.php?name=장국헌
