선수명,연도,소속팀명,연봉,WAR,상세url
손용석,2017,롯데,"900,000",,http://www.statiz.co.kr/player.php?name=손용석
마켈,2017,롯데,"900,000",,http://www.statiz.co.kr/player.php?name=마켈
강영식,2017,롯데,"900,000",-0.023,http://www.statiz.co.kr/player.php?name=강영식
이여상,2017,롯데,"900,000",,http://www.statiz.co.kr/player.php?name=이여상
이우민,2017,롯데,"900,000",0.123,http://www.statiz.co.kr/player.php?name=이우민
최민국,2017,롯데,"900,000",,http://www.statiz.co.kr/player.php?name=최민국
김종환,2017,롯데,"900,000",,http://www.statiz.co.kr/player.php?name=김종환
애디튼,2017,롯데,"900,000",-0.279,http://www.statiz.co.kr/player.php?name=애디튼
김웅,2017,롯데,"900,000",,http://www.statiz.co.kr/player.php?name=김웅
박종윤,2017,롯데,"900,000",,http://www.statiz.co.kr/player.php?name=박종윤
김주현,2017,롯데,"900,000",-0.169,http://www.statiz.co.kr/player.php?name=김주현
박한길,2017,롯데,"900,000",,http://www.statiz.co.kr/player.php?name=박한길
김성재,2017,롯데,"900,000",,http://www.statiz.co.kr/player.php?name=김성재
김남길,2017,롯데,"900,000",,http://www.statiz.co.kr/player.php?name=김남길
정대현,2017,롯데,"900,000",,http://www.statiz.co.kr/player.php?name=정대현
김영일,2017,롯데,"900,000",,http://www.statiz.co.kr/player.php?name=김영일
이지원,2017,롯데,"900,000",,http://www.statiz.co.kr/player.php?name=이지원
이대호,2017,롯데,"250,000",3.737,http://www.statiz.co.kr/player.php?name=이대호
강민호,2017,롯데,"100,000",3.383,http://www.statiz.co.kr/player.php?name=강민호
레일리,2017,롯데,"85,000",5.029,http://www.statiz.co.kr/player.php?name=레일리
손승락,2017,롯데,"70,000",4.122,http://www.statiz.co.kr/player.php?name=손승락
손아섭,2017,롯데,"65,000",5.949,http://www.statiz.co.kr/player.php?name=손아섭
번즈,2017,롯데,"60,000",3.412,http://www.statiz.co.kr/player.php?name=번즈
윤길현,2017,롯데,"50,000",-0.002,http://www.statiz.co.kr/player.php?name=윤길현
최준석,2017,롯데,"40,000",0.855,http://www.statiz.co.kr/player.php?name=최준석
송승준,2017,롯데,"40,000",2.772,http://www.statiz.co.kr/player.php?name=송승준
전준우,2017,롯데,"20,500",3.364,http://www.statiz.co.kr/player.php?name=전준우
노경은,2017,롯데,"16,000",-0.478,http://www.statiz.co.kr/player.php?name=노경은
이정민,2017,롯데,"15,000",0.239,http://www.statiz.co.kr/player.php?name=이정민
정훈,2017,롯데,"15,000",0.528,http://www.statiz.co.kr/player.php?name=정훈
김문호,2017,롯데,"14,000",0.310,http://www.statiz.co.kr/player.php?name=김문호
문규현,2017,롯데,"12,000",-0.402,http://www.statiz.co.kr/player.php?name=문규현
이명우,2017,롯데,"11,000",0.064,http://www.statiz.co.kr/player.php?name=이명우
박세웅,2017,롯데,"10,000",4.625,http://www.statiz.co.kr/player.php?name=박세웅
장시환,2017,롯데,"6,500",,http://www.statiz.co.kr/player.php?name=장시환
박진형,2017,롯데,"6,000",1.388,http://www.statiz.co.kr/player.php?name=박진형
김상호,2017,롯데,"6,000",-0.476,http://www.statiz.co.kr/player.php?name=김상호
오승택,2017,롯데,"6,000",,http://www.statiz.co.kr/player.php?name=오승택
박헌도,2017,롯데,"5,600",0.157,http://www.statiz.co.kr/player.php?name=박헌도
신본기,2017,롯데,"5,500",-0.231,http://www.statiz.co.kr/player.php?name=신본기
배장호,2017,롯데,"5,400",1.120,http://www.statiz.co.kr/player.php?name=배장호
박시영,2017,롯데,"5,000",-0.127,http://www.statiz.co.kr/player.php?name=박시영
김동한,2017,롯데,"3,800",-0.118,http://www.statiz.co.kr/player.php?name=김동한
나경민,2017,롯데,"3,600",-0.026,http://www.statiz.co.kr/player.php?name=나경민
김민하,2017,롯데,"3,600",,http://www.statiz.co.kr/player.php?name=김민하
김대륙,2017,롯데,"3,400",-0.711,http://www.statiz.co.kr/player.php?name=김대륙
김유영,2017,롯데,"3,400",1.090,http://www.statiz.co.kr/player.php?name=김유영
김재유,2017,롯데,"3,000",-0.120,http://www.statiz.co.kr/player.php?name=김재유
김원중,2017,롯데,"3,000",0.849,http://www.statiz.co.kr/player.php?name=김원중
안중열,2017,롯데,"3,000",,http://www.statiz.co.kr/player.php?name=안중열
김대우,2017,롯데,"3,000",-0.240,http://www.statiz.co.kr/player.php?name=김대우
김사훈,2017,롯데,"2,900",-0.528,http://www.statiz.co.kr/player.php?name=김사훈
황진수,2017,롯데,"2,800",0.863,http://www.statiz.co.kr/player.php?name=황진수
차재용,2017,롯데,"2,800",0.097,http://www.statiz.co.kr/player.php?name=차재용
정태승,2017,롯데,"2,700",,http://www.statiz.co.kr/player.php?name=정태승
송주은,2017,롯데,"2,700",,http://www.statiz.co.kr/player.php?name=송주은
신원재,2017,롯데,"2,700",,http://www.statiz.co.kr/player.php?name=신원재
김건국,2017,롯데,"2,700",,http://www.statiz.co.kr/player.php?name=김건국
나종덕,2017,롯데,"2,700",-0.164,http://www.statiz.co.kr/player.php?name=나종덕
이재곤,2017,롯데,"2,700",,http://www.statiz.co.kr/player.php?name=이재곤
윤성빈,2017,롯데,"2,700",,http://www.statiz.co.kr/player.php?name=윤성빈
강동호,2017,롯데,"2,700",0.647,http://www.statiz.co.kr/player.php?name=강동호
송창현,2017,롯데,"2,700",,http://www.statiz.co.kr/player.php?name=송창현
이재욱,2017,롯데,"2,700",,http://www.statiz.co.kr/player.php?name=이재욱
홍지훈,2017,롯데,"2,700",,http://www.statiz.co.kr/player.php?name=홍지훈
박성민,2017,롯데,"2,700",,http://www.statiz.co.kr/player.php?name=박성민
강동관,2017,롯데,"2,700",0.001,http://www.statiz.co.kr/player.php?name=강동관
이석훈,2017,롯데,"2,700",,http://www.statiz.co.kr/player.php?name=이석훈
