ID,선수명,데뷔년도,연도,평균자책점,경기,승리,패배,세이브,홀드,승률,이닝,피안타,홈런,볼넷,사구,삼진,실점,자책점,이닝당_출루허용률,완투,완봉,퀄리티스타트,블론세이브,타자수,투구수,피안타율,2루타,3루타,희생번트,희생플라이,고의4구,폭투,보크,선발,선발승,구원승,종료,세이브기회,터프세이브,병살타,땅볼,뜬공,인플레이타구타율,투구수/경기,투구수/이닝,9이닝당 삼진,9이닝당 볼넷,피출루율,피장타율,피OPS,경기(수비),선발경기(수비),수비이닝(수비),실책(수비),견제사(수비),자살(수비),보살(수비),병살(수비),수비율(수비),WAR,FA여부,뉴스개수(연도별정규화),뉴스개수(누적정규화),수상횟수,누적이닝,포지션 엔트로피,출생연도,출생월,출생일,나이,팀명_KIA,팀명_KT,팀명_LG,팀명_NC,팀명_SK,팀명_두산,팀명_롯데,팀명_삼성,팀명_우리/히어로즈/넥센/키움,팀명_한화,팀명_현대,연봉,1차FA여부,2차FA여부,5년평균평균자책점,5년평균경기,5년평균승리,5년평균패배,5년평균세이브,5년평균홀드,5년평균승률,5년평균이닝,5년평균피안타,5년평균홈런,5년평균볼넷,5년평균사구,5년평균삼진,5년평균실점,5년평균자책점,5년평균이닝당_출루허용률,5년평균완투,5년평균완봉,5년평균퀄리티스타트,5년평균블론세이브,5년평균타자수,5년평균투구수,5년평균피안타율,5년평균2루타,5년평균3루타,5년평균희생번트,5년평균희생플라이,5년평균고의4구,5년평균폭투,5년평균보크,5년평균선발,5년평균선발승,5년평균구원승,5년평균종료,5년평균세이브기회,5년평균터프세이브,5년평균병살타,5년평균땅볼,5년평균뜬공,5년평균인플레이타구타율,5년평균투구수/경기,5년평균투구수/이닝,5년평균9이닝당 삼진,5년평균9이닝당 볼넷,5년평균피출루율,5년평균피장타율,5년평균피OPS,5년평균경기(수비),5년평균선발경기(수비),5년평균수비이닝(수비),5년평균실책(수비),5년평균견제사(수비),5년평균자살(수비),5년평균보살(수비),5년평균병살(수비),5년평균수비율(수비),5년평균WAR,5년평균뉴스개수(연도별정규화),5년평균수상횟수,5년평균포지션 엔트로피,5년평균연봉
67588,윤성빈,2017,2018,6.39,18,2,5,0,0,0.286,50.66666666666666,51,5,36,3,65,36,36,1.72,0,0,1,0,235,1010,0.264,12,0,2,1,0,5,0,10,1,1,2,0,0,4,32,46,0.371,56.1,19.9,11.55,6.39,0.386,0.404,0.79,18,10,50.66666666666666,0,0,2,3,0,1.0,0.389,0.0,0.131754256,0.131754256,0,50.66666666666666,0.0,1999,2,26,20,0,0,0,0,0,0,1,0,0,0,0,2714.678111587983,0.0,0.0,6.39,18.0,2.0,5.0,0.0,0.0,0.286,50.66666666666666,51.0,5.0,36.0,3.0,65.0,36.0,36.0,1.72,0.0,0.0,1.0,0.0,235.0,1010.0,0.264,12.0,0.0,2.0,1.0,0.0,5.0,0.0,10.0,1.0,1.0,2.0,0.0,0.0,4.0,32.0,46.0,0.371,56.1,19.9,11.55,6.39,0.386,0.404,0.79,18.0,10.0,50.66666666666666,0.0,0.0,2.0,3.0,0.0,1.0,0.389,0.131754256,0.0,0.0,2725.074198180948
77829,김광현,2007,2007,3.62,20,3,7,0,0,0.3,77.0,80,5,41,4,52,35,31,1.57,0,0,5,0,342,1324,0.284,8,0,10,5,2,2,0,13,3,0,3,0,0,13,76,79,0.326,66.2,17.2,6.08,4.79,0.377,0.365,0.742,20,13,77.0,0,0,3,10,1,1.0,1.244,0.0,0.48125937,0.48125937,0,77.0,0.0,1988,7,22,20,0,0,0,0,1,0,0,0,0,0,0,4898.7557940961215,0.0,0.0,3.62,20.0,3.0,7.0,0.0,0.0,0.3,77.0,80.0,5.0,41.0,4.0,52.0,35.0,31.0,1.57,0.0,0.0,5.0,0.0,342.0,1324.0,0.284,8.0,0.0,10.0,5.0,2.0,2.0,0.0,13.0,3.0,0.0,3.0,0.0,0.0,13.0,76.0,79.0,0.326,66.2,17.2,6.08,4.79,0.377,0.365,0.742,20.0,13.0,77.0,0.0,0.0,3.0,10.0,1.0,1.0,1.244,0.48125937,0.0,0.0,2563.8718307290087
77829,김광현,2007,2008,2.39,27,16,4,0,0,0.8,162.0,127,9,63,2,150,50,43,1.17,1,1,18,0,659,2538,0.218,13,0,11,0,1,3,0,27,16,0,1,0,0,14,168,138,0.278,94.0,15.7,8.33,3.5,0.296,0.286,0.582,27,27,162.0,5,0,7,28,0,0.875,5.427,0.0,1.0,1.48125937,2,239.0,0.0,1988,7,22,21,0,0,0,0,1,0,0,0,0,0,0,15493.827160493829,0.0,0.0,2.9726315789473685,23.68421052631579,9.842105263157896,5.421052631578948,0.0,0.0,0.5631578947368422,121.73684210526316,104.73684210526316,7.105263157894737,52.578947368421055,2.9473684210526314,103.57894736842107,42.89473684210527,37.31578947368421,1.3594736842105264,0.5263157894736842,0.5263157894736842,11.842105263157896,0.0,508.8421052631579,1962.947368421053,0.24926315789473685,10.631578947368421,0.0,10.526315789473685,2.368421052631579,1.4736842105263157,2.526315789473684,0.0,20.368421052631582,9.842105263157896,0.0,1.9473684210526319,0.0,0.0,13.526315789473687,124.42105263157896,110.05263157894738,0.3007368421052632,80.83157894736843,16.410526315789475,7.2642105263157895,4.111052631578947,0.3343684210526316,0.323421052631579,0.6577894736842106,23.68421052631579,20.368421052631582,121.73684210526316,2.6315789473684212,0.0,5.105263157894736,19.473684210526315,0.4736842105263158,0.9342105263157895,3.4455789473684213,0.7542807542105264,1.0526315789473684,0.0,4898.7557940961215
77829,김광현,2007,2009,2.8,21,12,2,0,0,0.857,138.33333333333334,121,14,53,4,112,46,43,1.26,1,0,16,0,568,2199,0.239,11,2,4,0,1,8,0,21,12,0,1,0,0,17,138,136,0.281,104.7,15.9,7.29,3.45,0.316,0.351,0.667,21,21,138.33333333333334,0,0,6,16,0,1.0,4.623,0.0,1.0,2.48125937,0,377.33333333333337,0.0,1988,7,22,22,0,0,0,0,1,0,0,0,0,0,0,20261.72145281216,0.0,0.0,2.9089298892988933,22.69372693726937,10.638376383763838,4.158671586715867,0.0,0.0,0.6715867158671587,127.8610086100861,110.73800738007381,9.649446494464945,52.73431734317343,3.335793357933579,106.68634686346864,44.04059040590406,39.413284132841326,1.3227675276752766,0.7011070110701106,0.33210332103321033,13.376383763837639,0.0,530.6715867158671,2050.0516605166054,0.24547601476014763,10.767527675276753,0.7380073800738007,8.118081180811808,1.4944649446494467,1.2988929889298892,4.546125461254613,0.0,20.60147601476015,10.638376383763838,0.0,1.5977859778597787,0.0,0.0,14.808118081180814,129.43173431734317,119.62730627306273,0.29345387453874544,89.63911439114392,16.222140221402217,7.273726937269373,3.8671217712177124,0.327590405904059,0.3335977859778598,0.6611881918819188,22.69372693726937,20.60147601476015,127.8610086100861,1.6605166051660516,0.0,5.435424354243542,18.19188191881919,0.2988929889298893,0.9584870848708488,3.880051660516605,0.8449520626199263,0.6642066420664207,0.0,10475.109144831758
77829,김광현,2007,2010,2.37,31,17,7,0,0,0.708,193.66666666666663,153,13,84,5,183,56,51,1.22,2,1,20,0,797,3129,0.221,22,1,14,1,1,13,0,30,16,1,2,0,0,19,230,128,0.281,100.9,16.2,8.5,3.9,0.309,0.312,0.621,31,30,193.66666666666663,3,1,6,26,2,0.914,7.12,0.0,0.765469824,3.246729194,0,571.0,0.0,1988,7,22,23,0,0,0,0,1,0,0,0,0,0,0,30050.994013746214,0.0,0.0,2.7522186682175054,25.109043326548413,12.488223320732772,4.984879325385286,0.0,0.0,0.6821750508868857,146.99612290394492,123.02704274498402,10.623727827856934,61.82582145972666,3.819715033439954,128.8769991276534,47.518173887758074,42.78249491131143,1.2928845594649607,1.078801977318988,0.5263157894736842,15.30241349229427,0.0,608.1151497528351,2363.790636813027,0.23835882523989532,14.033730735678976,0.8141901715615004,9.828438499563827,1.3506833381797034,1.2119802268101192,7.004361733061937,0.0,23.334399534748474,12.197441116603665,0.29078220412910727,1.7147426577493459,0.0,0.0,16.027042744984005,158.67519627798777,122.0619366094795,0.28983250945042166,92.91357952893283,16.21570223902297,7.630305321314337,3.876682175050887,0.322184646699622,0.327317534166909,0.649502180866531,25.109043326548413,23.334399534748474,146.99612290394492,2.0500145391102067,0.29078220412910727,5.5995929049142195,20.46234370456528,0.7935446350683338,0.9455510322768248,4.822170979936028,0.8218400420849085,0.4710671706891538,0.0,14086.405199437071
77829,김광현,2007,2011,4.84,17,4,6,0,0,0.4,74.33333333333333,70,6,45,2,61,45,40,1.55,1,0,5,0,328,1317,0.253,9,2,3,1,0,3,0,14,4,0,3,0,0,6,83,64,0.303,77.5,17.7,7.39,5.45,0.36,0.365,0.725,17,14,74.0,0,0,6,7,1,1.0,0.736,0.0,1.0,4.246729194,0,645.3333333333334,0.0,1988,7,22,24,0,0,0,0,1,0,0,0,0,0,0,27229.33391191148,0.0,0.0,3.2620429293545943,23.128861322067834,10.415447730214156,5.232765988620546,0.0,0.0,0.6132695172279065,129.25228525147938,110.07814216991036,9.49463993553271,57.71705208664012,3.3753510292788937,112.30182413127883,46.9032502258797,42.103025567141216,1.3556706795926838,1.0595589851285683,0.39779248370003173,12.786623037288466,0.0,539.7126321701545,2108.170349930405,0.24193411638299428,12.804522478083562,1.1037581499841271,8.160972870015383,1.2650484725647726,0.9160215867744376,6.026519498913335,0.0,21.05499255207443,10.195672877341211,0.2197748528729457,2.02859515030158,0.0,0.0,13.578496251617787,140.1957461356255,107.88354374740543,0.2930479353373544,89.1496715586921,16.578159263510045,7.571624136162731,4.260877390051525,0.331418939708432,0.3365193768161949,0.667938316524627,23.128861322067834,21.05499255207443,129.17088715782273,1.5494127127542674,0.2197748528729457,5.697370027593953,17.174916363458767,0.8439598544602085,0.9588471587995409,3.8243513955703157,0.8653456849056188,0.35603526165417204,0.0,18728.623522876776
77829,김광현,2007,2012,4.3,16,8,5,0,0,0.615,81.66666666666667,85,9,36,2,65,44,39,1.48,0,0,4,0,347,1322,0.287,15,2,7,6,0,2,1,16,8,0,0,0,0,12,78,74,0.333,82.6,16.2,7.16,3.97,0.362,0.443,0.805,16,16,81.66666666666667,0,1,5,13,0,1.0,0.7,0.0,0.385450955,4.632180149,0,727.0,0.0,1988,7,22,25,0,0,0,0,1,0,0,0,0,0,0,25804.503916449084,0.0,0.0,3.463890747478694,21.839198065981293,10.894874362042442,4.921100827818612,0.0,0.0,0.6588637640106468,125.1666300375245,108.29129935776903,10.021953065859197,54.824375473126416,2.9494273644111253,109.44616737076016,47.910673732021195,42.94627725818661,1.3551261263461207,0.9536030866157114,0.35801323533002855,11.763766452589682,0.0,521.1623403579888,2029.264926375424,0.24687328758760466,14.033430197064785,1.481770896925594,7.612292740104026,1.8827379062782348,0.5360308661571146,5.623867549022002,0.24419428096993967,20.982076139776808,10.69707699445679,0.19779736758565114,1.3931527923616027,0.0,0.0,13.276452345486067,134.26456008400282,103.7742179678152,0.29805250177040854,90.85949061072989,16.396149056189103,7.686191545993992,4.113550340651022,0.3323141315230397,0.35841459305023077,0.6907287245732705,21.839198065981293,20.982076139776808,125.09337175323353,1.3944714414788404,0.4419916485555908,5.916021586774437,17.190007570022708,0.6153695880442479,0.9629624429195868,3.4334745671656366,0.8035411864032623,0.3204317354887548,0.0,20804.4483840608
77829,김광현,2007,2013,4.47,25,10,9,0,0,0.526,133.0,128,12,68,4,102,72,66,1.47,0,0,9,1,580,2273,0.259,31,3,7,7,0,9,1,22,10,0,2,1,0,17,144,127,0.3,90.9,17.1,6.9,4.6,0.349,0.407,0.756,25,22,133.0,0,0,9,19,1,1.0,1.853,0.0,0.496232508,5.128412657,0,860.0,0.0,1988,7,22,26,0,0,0,0,1,0,0,0,0,0,0,28664.625672218976,0.0,0.0,3.8644257771482984,21.866889697443288,9.940221240018557,6.04996214988645,0.0,0.0,0.6060681546238187,121.76833288564382,110.40636370296207,10.652340602183095,56.86290933066348,3.3428731899098922,101.78022514712706,53.49188054015775,48.56811799467656,1.4098717980024906,0.7140484969842006,0.17801763082708602,10.189641278601254,0.24419428096993967,515.6547581255646,2015.4269492808478,0.2539979243486117,18.32558423481722,2.0661766501428533,6.974286342213865,3.403824082439989,0.3382334985714634,6.82664647993944,0.46396913384288535,20.362897120949427,9.76220360919147,0.17801763082708602,1.598031794095382,0.24419428096993967,0.0,14.08138995384728,131.777441332324,104.51065908036433,0.3014195257747064,90.41653927865009,16.66840614392811,7.40137456960758,4.320809015652853,0.3416250152621425,0.38072064174257036,0.722345657004713,21.866889697443288,20.362897120949427,121.70240042978193,0.5340528924812581,0.39779248370003173,6.5128079900368725,16.073258284290983,0.7980269102097629,0.9846904837488705,2.7600767502625088,0.7001699272779663,0.0,0.0,24318.943255940983
77829,김광현,2007,2014,3.42,28,13,9,0,0,0.591,173.66666666666666,178,10,81,3,145,77,66,1.49,1,0,15,0,749,3009,0.274,36,4,12,3,1,9,1,28,13,0,1,0,0,21,184,146,0.337,107.5,17.3,7.51,4.2,0.355,0.388,0.743,28,28,173.66666666666666,1,0,8,24,1,0.97,5.2,0.0,1.0,6.128412657,0,1033.6666666666667,0.0,1988,7,22,27,0,0,0,0,1,0,0,0,0,0,0,89607.0,0.0,0.0,3.909383653634831,23.489560694488535,10.390393396986642,7.354325901687382,0.0,0.0,0.5662056604234329,132.05303085801728,125.38480134795242,10.010329418085028,63.31405826475543,3.164391589948963,110.86061390442235,60.3127151962101,53.62777465751751,1.4510493028253277,0.7426436472857805,0.1602158677443774,10.526482869771188,0.2197748528729457,565.0884471685673,2231.5816219384146,0.26104493174769844,23.697882835583986,2.5479475470684476,8.630411955751995,3.7960245171058093,0.4044101487143171,7.188176112915436,0.6617665014285364,22.13596737564406,10.230177529242264,0.1602158677443774,1.538228614685844,0.2197748528729457,0.0,15.350028082342309,143.6326341237088,110.10153598202729,0.3130524529315523,92.52862933750092,16.933437522893215,7.443959854460209,4.416873824815022,0.3485860906937559,0.38678376596420116,0.735369856657957,23.489560694488535,22.13596737564406,131.9936916477416,0.7248418842030719,0.35801323533002855,6.949915752973065,18.0194867036214,0.9624185001587261,0.9788956069448853,3.0872691753559134,0.7301529345501697,0.0,0.0,26652.66531876694
77829,김광현,2007,2015,3.72,30,14,6,0,1,0.7,176.66666666666666,173,19,66,3,160,86,73,1.35,1,1,16,0,754,2896,0.257,33,0,11,2,2,10,0,29,14,0,1,1,0,18,216,125,0.311,96.5,16.4,8.15,3.36,0.326,0.391,0.717,30,29,176.66666666666666,2,1,12,30,1,0.9549999999999998,3.957,0.0,0.99592668,7.124339337,0,1210.3333333333337,0.0,1988,7,22,28,0,0,0,0,1,0,0,0,0,0,0,88746.16222640389,0.0,0.0,4.085107567580767,23.99641034406974,10.318771214378158,7.074699030548705,0.0,0.24419428096993967,0.57843154013333,134.06309166239325,133.03020683255596,11.774462162096164,60.98715538082098,2.8595638690141874,112.4580840516715,67.20727210568728,58.737271373104434,1.459689629068887,0.6241850015872628,0.24419428096993967,10.497057458914313,0.19779736758565114,577.7792483700031,2264.4261922785768,0.2658314326878464,26.214231642694926,2.148958511391663,8.434787917266977,3.760616346365168,0.708163414812825,7.036775658714073,0.5955898512856829,22.678176357109717,10.318771214378158,0.0,1.34021147224732,0.4419916485555908,0.0,15.47083099313814,148.85065077775877,111.15879954091474,0.3171730360674953,92.29131156748309,16.90893262679788,7.464095870674709,4.233321530609753,0.34877878440086935,0.3985967375644062,0.7473755219652755,23.99641034406974,22.678176357109717,134.00968637314512,0.708163414812825,0.4222119117970257,8.320089863495397,19.794315157139017,0.8219823691729139,0.9824180117701641,2.718155747112403,0.7899608697406657,0.0,0.0,42947.29136566218
