ID,선수명,팀명,연도,포지션 엔트로피
70117,최경환,두산,2002,0.0
70121,경헌호,LG,2002,0.0
70142,김광수,LG,2002,
70148,윤현식,LG,2002,0.0
70224,강봉규,두산,2002,0.2525563422497613
70317,퀸란,LG,2002,0.0
70323,신철인,현대,2002,0.0
70329,마일영,현대,2002,0.0
70345,김성태,현대,2002,0.0
70349,박준수,현대,2002,0.0
70364,전근표,현대,2002,0.0
70408,박정환,삼성,2002,0.0
70410,김주찬,롯데,2002,1.3415181909536926
70425,배영수,삼성,2002,0.0
70434,이용훈,SK,2002,0.0
70444,이명호,롯데,2002,0.996316519558962
70531,강민영,롯데,2002,0.0
70553,박기혁,롯데,2002,0.1547605274824089
70608,양현석,SK,2002,0.0
70612,김상훈,KIA,2002,0.0
70615,강영식,삼성,2002,0.0
70626,홍세완,KIA,2002,0.0
70630,최영완,KIA,2002,0.0
70646,김상현,LG,2002,1.146241085468574
70655,윤형진,KIA,2002,0.0
70719,김장백,한화,2002,0.0
70723,조윤채,한화,2002,0.0
70750,허진석,한화,2002,0.0
70754,장재혁,한화,2002,0.0
70755,조규수,한화,2002,0.0
70756,이범호,한화,2002,1.0111904233062998
70766,방진호,한화,2002,0.9182958340544896
70820,이승호,SK,2002,0.0
70833,채종범,SK,2002,0.0
70834,브리또,삼성,2002,0.0
70839,김명완,SK,2002,0.0
70840,콜,두산,2002,0.0
70855,엄정욱,SK,2002,0.0
71118,이동현,LG,2002,0.0
71150,김재학,LG,2002,0.0
71201,최경훈,두산,2002,0.0
71260,이재우,두산,2002,0.0
71263,장인규,두산,2002,
71347,장기영,현대,2002,
71419,마르티네스,LG,2002,0.0
71432,박한이,삼성,2002,0.0
71433,이정호,삼성,2002,0.0
71463,조정권,한화,2002,0.0
71504,신명철,롯데,2002,0.270902539014116
71509,권오현,롯데,2002,0.0
71550,김장현,롯데,2002,0.0
71551,이대일,롯데,2002,0.0
71552,최준석,롯데,2002,0.0
71558,박상민,롯데,2002,0.0
71562,박종윤,롯데,2002,0.0
71563,김제빈,롯데,2002,0.0
71564,이대호,롯데,2002,0.9970110929766364
71565,이승화,롯데,2002,0.0
71609,김민철,KIA,2002,1.727659634696128
71610,김경언,KIA,2002,0.2148502404884441
71638,오우진,KIA,2002,0.0
71641,이윤학,KIA,2002,0.0
71648,심제훈,KIA,2002,0.0
71649,레스,두산,2002,0.0
71661,김주철,KIA,2002,0.0
71708,김백만,한화,2002,0.0
71713,서창호,한화,2002,1.1956217818146275
71715,지승민,한화,2002,0.0
71745,고상천,한화,2002,0.0
71748,박정근,한화,2002,0.0
71752,김태균,한화,2002,0.9121535791960212
71761,김대원,한화,2002,0.0
71801,정대현,SK,2002,0.0
71806,김동건,SK,2002,0.9940302114769564
71815,박남섭,롯데,2002,0.5643364444932288
71823,조형식,SK,2002,0.0
71827,오승준,SK,2002,0.0
71829,에르난데스,롯데,2002,0.0
71842,정상호,SK,2002,0.0
71845,채병용,SK,2002,0.0
71848,조동화,SK,2002,0.0
71851,김건한,SK,2002,0.0
71859,에레라,롯데,2002,0.0
72108,김우석,LG,2002,0.6890641560608949
72123,만자니오,LG,2002,0.0
72124,케펜,LG,2002,0.0
72131,김용우,LG,2002,1.521928094887362
72133,박용택,LG,2002,0.0
72139,추승우,LG,2002,0.0
72157,서승화,LG,2002,0.0
72161,안치용,LG,2002,0.0
72195,이일의,LG,2002,0.0776195111263741
72214,고영민,두산,2002,0.362051251733998
72216,이재영,두산,2002,0.0
72220,유재웅,두산,2002,0.0
72253,이경환,두산,2002,0.0
72268,김학재,두산,2002,0.0
72303,김민우,현대,2002,0.7588840483719563
72312,강귀태,현대,2002,0.0
72313,조재호,현대,2002,0.0
72314,박우호,현대,2002,0.0
72321,배힘찬,현대,2002,
72322,폴,현대,2002,0.0
72325,강병식,현대,2002,0.4101884702147618
72333,이대환,현대,2002,0.0
72337,프랭클린,현대,2002,0.0
72340,최환인,현대,2002,0.0
72342,토레스,현대,2002,0.0
72350,베라스,현대,2002,0.0
72351,조용준,현대,2002,0.0
72412,엘비라,삼성,2002,0.0
72427,현재윤,삼성,2002,0.0
72428,패트릭,삼성,2002,0.0
72432,박봉수,삼성,2002,0.0
72443,최형우,삼성,2002,0.8904916402194913
72447,권혁,삼성,2002,0.0
72448,이태호,삼성,2002,0.0
72454,권오원,삼성,2002,0.0
72456,손주인,삼성,2002,0.0
72461,노병오,삼성,2002,0.0
72466,조동찬,삼성,2002,1.0
72513,매기,SK,2002,0.0
72522,허일상,롯데,2002,0.0
72523,고효준,롯데,2002,0.0
72535,이명우,롯데,2002,0.0
72543,베로아,롯데,2002,0.0
72548,김정현,롯데,2002,0.0663439752683116
72551,이정민,롯데,2002,0.0
72553,해처,롯데,2002,0.0
72554,김풍철,롯데,2002,0.0
72556,신원주,롯데,2002,0.0
72562,변인재,롯데,2002,0.0
72606,이현곤,KIA,2002,1.0930483286295187
72623,조민철,KIA,2002,0.0
72627,강철민,KIA,2002,0.0
72641,김진우,KIA,2002,0.0
72649,신용운,KIA,2002,0.0
72653,키퍼,KIA,2002,0.0
72654,뉴선,KIA,2002,0.0
72659,리오스,KIA,2002,0.0
72720,유혜정,한화,2002,0.0
72736,가르시아,한화,2002,0.0
72742,채상병,한화,2002,0.0
72749,마정길,한화,2002,0.0
72752,조현수,한화,2002,0.5079353563991224
72756,피코타,한화,2002,0.0
72765,송혁,한화,2002,0.0
72801,제춘모,SK,2002,0.0
72824,페르난데스,SK,2002,0.2137342007596734
72838,러핀,SK,2002,0.0
