선수명,ID,팀명,평균자책점,경기,승리,패배,세이브,홀드,승률,이닝,피안타,홈런,볼넷,사구,삼진,실점,자책점,이닝당_출루허용률,완투,완봉,퀄리티스타트,블론세이브,타자수,투구수,피안타율,2루타,3루타,희생번트,희생플라이,고의4구,폭투,보크,선발,선발승,구원승,종료,세이브기회,터프세이브,병살타,땅볼,뜬공,땅볼/뜬공,인플레이타구타율,투구수/경기,투구수/이닝,9이닝당 삼진,9이닝당 볼넷,삼진/볼넷,피출루율,피장타율,피OPS
고창성,78248,두산,1.95,64,5,2,1,16,0.714,74,59,1,14,11,48,21,16,0.99,0,0,0,0,301,1079,0.219,9,1,7,0,0,2,0,0,0,5,7,12,0,6,112,50,2.24,0.264,16.9,14.6,5.84,1.70,3.43,0.286,0.271,0.557
진야곱,78257,두산,2.03,7,0,1,0,1,0.000,13 1/3,12,0,9,0,8,3,3,1.58,0,0,0,0,55,208,0.261,0,0,0,0,0,0,0,2,0,0,2,1,0,3,20,6,3.33,0.316,29.7,15.6,5.40,6.08,0.89,0.382,0.261,0.643
지승민,71715,두산,2.88,43,0,0,1,8,-,34 1/3,38,1,16,2,22,11,11,1.57,0,0,0,1,151,586,0.292,10,0,3,0,0,2,0,0,0,0,9,9,0,5,29,41,0.71,0.346,13.6,17.1,5.77,4.19,1.38,0.378,0.392,0.770
임태훈,77251,두산,3.06,58,11,5,4,13,0.688,88 1/3,67,3,24,3,85,30,30,1.03,0,0,0,5,353,1402,0.211,15,0,6,2,2,1,0,0,0,11,13,22,1,1,76,92,0.83,0.276,24.2,15.9,8.66,2.45,3.54,0.271,0.286,0.557
성영훈,79222,두산,3.38,9,2,0,0,0,1.000,10 2/3,10,0,4,0,7,6,4,1.31,0,0,0,0,45,167,0.250,3,0,0,1,0,1,0,0,0,2,3,1,0,1,9,15,0.60,0.294,18.6,15.7,5.91,3.38,1.75,0.311,0.325,0.636
니코스키,79859,두산,3.78,19,4,8,0,0,0.333,69,63,3,33,9,47,33,29,1.39,0,0,4,0,301,1254,0.248,8,0,3,2,0,0,0,13,4,0,2,0,0,10,88,58,1.52,0.291,66.0,18.2,6.13,4.30,1.42,0.352,0.315,0.667
이재우,71260,두산,3.88,54,5,2,0,12,0.714,97 1/3,82,14,49,3,100,47,42,1.35,0,0,0,2,422,1646,0.228,18,3,4,6,1,6,0,7,3,2,7,10,0,8,83,101,0.82,0.270,30.5,16.9,9.25,4.53,2.04,0.321,0.411,0.732
유희관,79229,두산,4.05,16,0,0,0,0,-,13 1/3,15,1,7,0,10,7,6,1.65,0,0,0,0,61,230,0.283,2,0,0,1,0,0,0,0,0,0,2,1,0,1,15,14,1.07,0.326,14.4,17.3,6.75,4.73,1.43,0.361,0.377,0.738
이용찬,77211,두산,4.20,51,0,2,26,0,0.000,40 2/3,33,4,19,4,34,22,19,1.28,0,0,0,5,176,694,0.224,6,1,4,2,0,1,1,0,0,0,45,32,5,2,37,45,0.82,0.261,13.6,17.1,7.52,4.20,1.79,0.326,0.361,0.687
금민철,75258,두산,4.43,36,7,2,0,0,0.778,83 1/3,74,7,52,9,55,44,41,1.51,0,0,0,0,372,1481,0.248,8,2,11,2,0,3,0,9,4,3,6,2,0,11,105,66,1.59,0.282,41.1,17.8,5.94,5.62,1.06,0.374,0.359,0.733
정재훈,73241,두산,4.44,32,5,5,0,4,0.500,93 1/3,99,6,29,7,80,48,46,1.37,0,0,2,0,405,1501,0.277,16,3,8,3,1,3,0,11,4,1,5,4,0,3,85,97,0.88,0.338,46.9,16.1,7.71,2.80,2.76,0.340,0.388,0.728
오현택,79293,두산,4.45,17,0,0,0,0,-,30 1/3,33,4,13,1,22,15,15,1.52,0,0,0,0,130,491,0.292,7,0,1,2,0,0,0,0,0,0,3,1,0,4,29,31,0.94,0.326,28.9,16.2,6.53,3.86,1.69,0.364,0.460,0.824
노경은,73211,두산,4.50,9,0,2,0,0,0.000,24,18,4,19,2,11,14,12,1.54,0,0,0,1,107,413,0.214,1,1,1,1,0,1,0,3,0,0,4,1,0,5,19,37,0.51,0.200,45.9,17.2,4.13,7.13,0.58,0.368,0.393,0.761
김상현,71255,두산,4.72,40,7,6,0,3,0.538,108 2/3,120,9,32,5,81,57,57,1.40,1,0,8,1,455,1663,0.294,25,2,5,5,2,7,1,14,3,4,6,3,0,12,87,125,0.70,0.344,41.6,15.3,6.71,2.65,2.53,0.349,0.431,0.780
김선우,78232,두산,5.11,29,11,10,0,0,0.524,148,176,18,48,6,89,93,84,1.51,0,0,8,0,649,2465,0.301,31,4,7,3,0,10,0,29,11,0,0,0,0,17,204,118,1.73,0.329,85.0,16.7,5.41,2.92,1.85,0.359,0.461,0.820
홍상삼,78247,두산,5.23,30,9,6,0,3,0.600,117,114,21,71,4,96,75,68,1.58,0,0,3,0,527,2118,0.256,29,2,2,5,0,8,0,25,9,0,0,2,0,12,91,149,0.61,0.279,70.6,18.1,7.38,5.46,1.35,0.360,0.472,0.832
