ID,선수명,데뷔년도,연도,타율,경기,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,희생번트,희생플라이,볼넷,고의사구,사구,삼진,병살타,장타율,출루율,OPS,멀티히트,득점권타율,대타타율,장타,땅볼,뜬공,결승타,투구수/타석,순수장타율,추정득점,GPA,경기(주루),도루시도(주루),도루허용(주루),도루실패(주루),도루성공률(주루),주루사(주루),견제사(주루),경기(수비),선발경기(수비),수비이닝(수비),실책(수비),견제사(수비),자살(수비),보살(수비),병살(수비),포일(수비),도루허용(수비),도루실패(수비),수비율(수비),도루저지율(수비),WAR,FA여부,뉴스개수(연도별정규화),뉴스개수(누적정규화),수상횟수,누적타석,포지션 엔트로피,출생연도,출생월,출생일,나이,연봉,팀명_KIA,팀명_KT,팀명_LG,팀명_NC,팀명_SK,팀명_두산,팀명_롯데,팀명_삼성,팀명_우리/히어로즈/넥센/키움,팀명_한화,팀명_현대,포지션(수비)_1루수,포지션(수비)_2루수,포지션(수비)_3루수,포지션(수비)_수비기록없음,포지션(수비)_우익수,포지션(수비)_유격수,포지션(수비)_좌익수,포지션(수비)_중견수,포지션(수비)_포수,1차FA여부,2차FA여부,3차FA여부,4년평균타율,4년평균경기,4년평균타석,4년평균타수,4년평균득점,4년평균안타,4년평균2루타,4년평균3루타,4년평균홈런,4년평균루타,4년평균타점,4년평균희생번트,4년평균희생플라이,4년평균볼넷,4년평균고의사구,4년평균사구,4년평균삼진,4년평균병살타,4년평균장타율,4년평균출루율,4년평균OPS,4년평균멀티히트,4년평균득점권타율,4년평균대타타율,4년평균장타,4년평균땅볼,4년평균뜬공,4년평균결승타,4년평균투구수/타석,4년평균순수장타율,4년평균추정득점,4년평균GPA,4년평균경기(주루),4년평균도루시도(주루),4년평균도루허용(주루),4년평균도루실패(주루),4년평균도루성공률(주루),4년평균주루사(주루),4년평균견제사(주루),4년평균경기(수비),4년평균선발경기(수비),4년평균수비이닝(수비),4년평균실책(수비),4년평균견제사(수비),4년평균자살(수비),4년평균보살(수비),4년평균병살(수비),4년평균포일(수비),4년평균도루허용(수비),4년평균도루실패(수비),4년평균수비율(수비),4년평균도루저지율(수비),4년평균WAR,4년평균뉴스개수(연도별정규화),4년평균수상횟수,4년평균포지션 엔트로피,4년평균연봉
61463,김정혁,2011,2015,0.167,17,20,18,3,3,0,0,0,3,1,1,0,1,0,0,3,0,0.167,0.211,0.378,0,0.333,0.0,0,5,7,0,3.85,0.0,0.5,0.137,17,0,0,0,0.0,0,0,16,5,49.66666666666667,0,0,16,10,3,0,0,0,1.0,0.0,0.103,0.0,0.0035131744,0.00705508703,0,27,0.992476003943082,1985,8,3,31,3445.4392393780336,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0835,9.5,12.5,11.5,2.5,1.5,0.0,0.0,0.0,1.5,0.5,0.5,0.0,0.5,0.0,0.0,2.0,0.5,0.0835,0.1055,0.189,0.0,0.1665,0.0,0.0,3.5,4.5,0.0,3.825,0.0,-0.15000000000000002,0.0685,9.5,0.0,0.0,0.0,0.0,0.0,0.0,9.0,3.0,30.833333333333336,0.0,0.0,8.5,7.0,2.0,0.0,0.0,0.0,1.0,0.0,-0.01750000000000001,0.0017565872,0.0,0.496238001971541,3478.86
61463,김정혁,2011,2016,0.236,46,118,106,13,25,1,1,2,34,11,1,1,9,0,1,25,3,0.321,0.299,0.62,6,0.154,0.0,4,33,24,0,3.81,0.085,10.2,0.215,46,2,1,1,50.0,1,0,50,28,260.0,2,0,59,41,8,0,0,0,0.9911384615384616,0.0,-0.286,0.0,0.0145190563,0.0215741433,0,145,0.6900703653284017,1985,8,3,32,4404.022150976392,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.13433333333333333,21.666666666666668,47.666666666666664,43.0,6.0,9.333333333333334,0.3333333333333333,0.3333333333333333,0.6666666666666666,12.333333333333334,4.0,0.6666666666666666,0.3333333333333333,3.3333333333333335,0.0,0.3333333333333333,9.666666666666666,1.3333333333333333,0.16266666666666665,0.17,0.33266666666666667,2.0,0.16233333333333333,0.0,1.3333333333333333,13.333333333333334,11.0,0.0,3.8200000000000003,0.028333333333333335,3.2999999999999994,0.11733333333333333,21.666666666666668,0.6666666666666666,0.3333333333333333,0.3333333333333333,16.666666666666668,0.3333333333333333,0.0,22.666666666666668,11.333333333333334,107.22222222222223,0.6666666666666666,0.0,25.333333333333332,18.333333333333332,4.0,0.0,0.0,0.0,0.9970461538461538,0.0,-0.107,0.0060107435666666665,0.0,0.5608487897571612,3462.1496196890166
77848,박윤,2007,2011,0.2,10,17,15,3,3,0,0,0,3,0,0,0,2,0,0,4,0,0.2,0.294,0.494,0,0.0,0.286,0,1,7,0,3.76,0.0,1.1,0.182,10,0,0,0,0.0,0,0,4,1,14.0,0,0,14,0,1,0,0,0,1.0,0.0,-0.03,0.0,0.00944510035,0.00944510035,0,17,0.0,1988,3,7,24,3049.685398134085,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.2,10.0,17.0,15.0,3.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,0.2,0.294,0.494,0.0,0.0,0.286,0.0,1.0,7.0,0.0,3.76,0.0,1.1,0.182,10.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,14.0,0.0,0.0,14.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-0.03,0.00944510035,0.0,0.0,2671.199467888552
77848,박윤,2007,2014,0.267,6,15,15,0,4,0,0,0,4,2,0,0,0,0,0,5,0,0.267,0.267,0.534,1,0.5,0.0,0,2,4,0,3.93,0.0,1.0,0.187,6,0,0,0,0.0,1,0,5,4,37.0,0,0,34,6,5,0,0,0,1.0,0.0,-0.057,0.0,0.00788603409,0.0204997023,0,52,0.0,1988,3,7,27,3689.7,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.2335,8.0,16.0,15.0,1.5,3.5,0.0,0.0,0.0,3.5,1.0,0.0,0.0,1.0,0.0,0.0,4.5,0.0,0.2335,0.28049999999999997,0.514,0.5,0.25,0.143,0.0,1.5,5.5,0.0,3.8449999999999998,0.0,1.05,0.1845,8.0,0.0,0.0,0.0,0.0,0.5,0.0,4.5,2.5,25.5,0.0,0.0,24.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,-0.0435,0.00866556722,0.0,0.0,3049.685398134085
77848,박윤,2007,2015,0.111,17,29,27,1,3,0,0,0,3,0,1,0,0,0,1,13,1,0.111,0.143,0.254,1,0.0,0.0,0,8,3,0,3.66,0.0,-0.8,0.092,17,0,0,0,0.0,0,0,15,6,70.66666666666667,1,0,68,8,6,0,0,0,0.9730330188679246,0.0,-0.493,0.0,0.00928481807,0.0297845203,0,81,0.1080231952636283,1988,3,7,28,4176.289987124889,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.19266666666666668,11.0,20.333333333333332,19.0,1.3333333333333333,3.3333333333333335,0.0,0.0,0.0,3.3333333333333335,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.0,0.3333333333333333,7.333333333333333,0.3333333333333333,0.19266666666666668,0.23466666666666666,0.42733333333333334,0.6666666666666666,0.16666666666666666,0.09533333333333333,0.0,3.6666666666666665,4.666666666666667,0.0,3.783333333333333,0.0,0.43333333333333335,0.15366666666666665,11.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,8.0,3.6666666666666665,40.55555555555556,0.3333333333333333,0.0,38.666666666666664,4.666666666666667,4.0,0.0,0.0,0.0,0.9910110062893082,0.0,-0.19333333333333333,0.00887198417,0.0,0.03600773175454277,3369.6926990670427
77848,박윤,2007,2016,0.091,7,12,11,0,1,0,0,0,1,0,0,0,1,0,0,2,0,0.091,0.167,0.258,0,0.333,0.0,0,3,5,0,3.67,0.0,-0.1,0.098,7,0,0,0,0.0,0,0,6,2,26.0,0,0,24,2,1,0,0,0,1.0,0.0,-0.34,0.0,0.00362976407,0.0334142844,0,93,0.0,1988,3,7,29,3687.088312445351,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.16725,10.0,18.25,17.0,1.0,2.75,0.0,0.0,0.0,2.75,0.5,0.25,0.0,0.75,0.0,0.25,6.0,0.25,0.16725,0.21775,0.385,0.5,0.20825,0.0715,0.0,3.5,4.75,0.0,3.755,0.0,0.3,0.13974999999999999,10.0,0.0,0.0,0.0,0.0,0.25,0.0,7.5,3.25,36.91666666666667,0.25,0.0,35.0,4.0,3.25,0.0,0.0,0.0,0.9932582547169811,0.0,-0.22999999999999998,0.007561429145,0.0,0.027005798815907076,3638.5584617529917
92204,조경택,1992,2002,0.204,107,177,157,15,32,6,0,4,50,16,4,0,13,0,3,41,3,0.318,0.277,0.595,5,0.179,0.0,10,49,35,0,3.96,0.115,13.5,0.204,107,3,1,2,33.3,0,0,106,39,460.3333333333333,2,3,417,33,6,4,38,19,0.996,33.3,0.25,0.0,0.0,0.0,0,177,0.0,1970,11,25,33,6437.207408915124,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.204,107.0,177.0,157.0,15.0,32.0,6.0,0.0,4.0,50.0,16.0,4.0,0.0,13.0,0.0,3.0,41.0,3.0,0.318,0.277,0.595,5.0,0.179,0.0,10.0,49.0,35.0,0.0,3.96,0.115,13.5,0.204,107.0,3.0,1.0,2.0,33.3,0.0,0.0,106.0,39.0,460.3333333333333,2.0,3.0,417.0,33.0,6.0,4.0,38.0,19.0,0.996,33.3,0.25,0.0,0.0,0.0,2517.2980489654883
77869,김기현,2007,2015,0.429,9,9,7,0,3,0,0,0,3,0,0,0,2,0,0,3,0,0.429,0.556,0.985,1,0.5,0.5,0,0,1,0,4.22,0.0,1.8,0.357,9,0,0,0,0.0,0,0,5,0,9.0,0,0,1,0,0,0,0,0,0.7777777777777778,0.0,0.1,0.0,0.0180677541,0.0202067915,0,10,0.0,1987,5,9,29,3132.2174903436667,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.429,9.0,9.0,7.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.429,0.556,0.985,1.0,0.5,0.5,0.0,0.0,1.0,0.0,4.22,0.0,1.8,0.357,9.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7777777777777778,0.0,0.1,0.0180677541,0.0,0.0,2846.34
65586,전병우,2015,2018,0.364,27,77,66,18,24,7,0,3,40,13,0,1,9,0,1,24,1,0.606,0.442,1.048,6,0.692,0.0,10,9,10,1,4.17,0.242,16.3,0.35,27,3,3,0,100.0,0,1,31,15,158.0,1,0,26,32,6,0,0,0,0.9919662447257382,0.0,1.117,0.0,0.0249867092,0.0249867092,0,77,1.3395553054851947,1992,10,24,27,2714.678111587983,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.364,27.0,77.0,66.0,18.0,24.0,7.0,0.0,3.0,40.0,13.0,0.0,1.0,9.0,0.0,1.0,24.0,1.0,0.606,0.442,1.048,6.0,0.692,0.0,10.0,9.0,10.0,1.0,4.17,0.242,16.3,0.35,27.0,3.0,3.0,0.0,100.0,0.0,1.0,31.0,15.0,158.0,1.0,0.0,26.0,32.0,6.0,0.0,0.0,0.0,0.9919662447257382,0.0,1.117,0.0249867092,0.0,1.3395553054851947,2725.074198180948
65586,전병우,2015,2019,0.098,29,55,51,2,5,1,0,0,6,0,1,0,3,0,0,22,0,0.118,0.148,0.266,0,0.0,0.0,1,6,18,0,3.75,0.02,-0.5,0.096,29,0,0,0,0.0,1,0,21,12,100.66666666666666,2,0,67,11,5,0,0,0,0.963956953642384,0.0,-0.905,0.0,0.0294380018,0.054424711,0,132,1.493660689688186,1992,10,24,28,2700.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.23099999999999998,28.0,66.0,58.5,10.0,14.5,4.0,0.0,1.5,23.0,6.5,0.5,0.5,6.0,0.0,0.5,23.0,0.5,0.362,0.295,0.657,3.0,0.346,0.0,5.5,7.5,14.0,0.5,3.96,0.131,7.9,0.22299999999999998,28.0,1.5,1.5,0.0,50.0,0.5,0.5,26.0,13.5,129.33333333333331,1.5,0.0,46.5,21.5,5.5,0.0,0.0,0.0,0.9779615991840611,0.0,0.10599999999999998,0.0272123555,0.0,1.4166079975866905,2714.678111587983
