데뷔년도,연도,평균자책점,경기,승리,패배,세이브,홀드,승률,이닝,피안타,홈런,볼넷,사구,삼진,실점,자책점,이닝당_출루허용률,완투,완봉,퀄리티스타트,블론세이브,타자수,투구수,피안타율,2루타,3루타,희생번트,희생플라이,고의4구,폭투,보크,선발,선발승,구원승,종료,세이브기회,터프세이브,병살타,땅볼,뜬공,인플레이타구타율,투구수/경기,투구수/이닝,9이닝당 삼진,9이닝당 볼넷,피출루율,피장타율,피OPS,경기(수비),선발경기(수비),수비이닝(수비),실책(수비),견제사(수비),자살(수비),보살(수비),병살(수비),수비율(수비),WAR,FA여부,뉴스개수(연도별정규화),뉴스개수(누적정규화),수상횟수,누적이닝,포지션 엔트로피,출생연도,출생월,출생일,나이,팀명_KIA,팀명_KT,팀명_LG,팀명_NC,팀명_SK,팀명_두산,팀명_롯데,팀명_삼성,팀명_우리/히어로즈/넥센/키움,팀명_한화,팀명_현대,연봉,1차FA여부,2차FA여부,5년평균평균자책점,5년평균경기,5년평균승리,5년평균패배,5년평균세이브,5년평균홀드,5년평균승률,5년평균이닝,5년평균피안타,5년평균홈런,5년평균볼넷,5년평균사구,5년평균삼진,5년평균실점,5년평균자책점,5년평균이닝당_출루허용률,5년평균완투,5년평균완봉,5년평균퀄리티스타트,5년평균블론세이브,5년평균타자수,5년평균투구수,5년평균피안타율,5년평균2루타,5년평균3루타,5년평균희생번트,5년평균희생플라이,5년평균고의4구,5년평균폭투,5년평균보크,5년평균선발,5년평균선발승,5년평균구원승,5년평균종료,5년평균세이브기회,5년평균터프세이브,5년평균병살타,5년평균땅볼,5년평균뜬공,5년평균인플레이타구타율,5년평균투구수/경기,5년평균투구수/이닝,5년평균9이닝당 삼진,5년평균9이닝당 볼넷,5년평균피출루율,5년평균피장타율,5년평균피OPS,5년평균경기(수비),5년평균선발경기(수비),5년평균수비이닝(수비),5년평균실책(수비),5년평균견제사(수비),5년평균자살(수비),5년평균보살(수비),5년평균병살(수비),5년평균수비율(수비),5년평균WAR,5년평균뉴스개수(연도별정규화),5년평균수상횟수,5년평균포지션 엔트로피,5년평균연봉
2013,2020,5.94,54,1,1,1,7,0.5,50.0,54,6,26,3,43,34,33,1.6,0,0,0,1,228,941,0.276,11,3,3,0,1,4,0,0,0,1,11,9,1,3,44,55,0.327,17.4,18.8,7.74,4.68,0.369,0.454,0.823,54,0,50.0,2,1,4,7,0,0.846,0.304,0,0.0283636364,0.0333220645,0,86.0,0.0,1994,6,3,27,0,0,0,0,0,0,0,0,0,1,0,5200.84934872632,0,0,4.516666666666667,30.666666666666668,1.0,0.3333333333333333,0.3333333333333333,2.333333333333333,0.5,28.666666666666668,29.0,3.6666666666666665,19.666666666666668,1.3333333333333333,24.0,18.666666666666668,18.0,1.41,0.0,0.0,0.0,0.3333333333333333,131.33333333333334,553.0,0.24,5.0,1.0,1.3333333333333333,0.6666666666666666,0.3333333333333333,2.0,0.0,0.0,0.0,1.0,8.0,3.0,0.3333333333333333,3.0,24.33333333333333,31.666666666666668,0.2576666666666666,19.966666666666665,18.0,5.890000000000001,4.753333333333333,0.3236666666666666,0.4059999999999999,0.7296666666666667,30.666666666666668,0.0,28.666666666666668,1.0,0.3333333333333333,1.6666666666666667,3.0,0.3333333333333333,0.532,0.13,0.0111073548466666,0.0,0.0,3257.3390557939915
2017,2020,7.45,17,0,1,0,0,0.0,19.33333333333333,28,3,16,0,17,17,16,2.28,0,0,0,0,100,390,0.333,5,2,0,0,2,7,0,0,0,0,10,0,0,0,14,25,0.391,22.9,20.2,7.91,7.45,0.44,0.548,0.988,17,0,19.33333333333333,0,0,0,2,0,1.0,-0.101,0,0.0189090909,0.0591895433,0,25.33333333333333,0.0,1998,7,2,23,0,0,0,0,1,0,0,0,0,0,0,2918.1015257978925,0,0,18.73,7.333333333333333,0.0,1.0,0.0,0.0,0.0,8.444444444444443,14.666666666666666,2.333333333333333,7.0,0.0,7.0,11.333333333333334,11.0,3.033333333333333,0.0,0.0,0.0,0.0,46.333333333333336,184.33333333333331,0.3993333333333333,2.6666666666666665,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666,2.6666666666666665,0.0,0.6666666666666666,0.0,0.0,3.6666666666666665,0.0,0.0,0.0,6.333333333333333,11.333333333333334,0.401,29.8,25.33333333333333,6.843333333333334,8.443333333333333,0.5,0.745,1.245,7.333333333333333,0.6666666666666666,8.444444444444443,0.0,0.0,0.3333333333333333,1.0,0.0,0.6666666666666666,-0.3323333333333333,0.0197298477666666,0.0,0.0,2707.3390557939915
2008,2020,3.51,19,7,4,0,0,0.636,110.33333333333331,116,10,31,4,85,51,43,1.33,1,1,12,0,470,1757,0.27,22,1,2,4,0,5,0,19,7,0,1,0,0,11,125,107,0.314,92.5,15.9,6.93,2.53,0.323,0.396,0.719,19,19,110.33333333333331,0,0,9,9,0,1.0,1.488,0,0.262545455,1.038929637,0,540.3333333333333,0.0,1990,1,26,31,0,0,1,0,0,0,0,0,0,0,0,17335.430861928417,0,0,3.844,33.0,4.2,3.0,8.0,0.6,0.4588,51.2,57.0,4.0,17.8,3.2,41.4,27.6,24.6,1.458,0.2,0.2,2.4,1.8,226.4,843.8,0.2759999999999999,11.2,0.4,2.6,1.8,2.2,3.2,0.0,3.8,1.4,2.8,19.2,11.2,1.4,4.8,55.2,49.2,0.336,31.9,16.160000000000004,7.134,3.558,0.3522,0.382,0.7341999999999999,32.8,3.8,51.2,0.6,0.2,3.2,5.4,0.2,0.76,0.5596,0.13771678782,0.0,0.0,8414.69987244336
2019,2020,3.7,36,9,3,0,0,0.75,87.66666666666667,78,12,39,2,72,37,36,1.33,0,0,2,2,372,1514,0.242,13,0,7,2,1,7,0,12,8,1,5,3,0,6,66,108,0.275,42.1,17.3,7.39,4.0,0.326,0.394,0.72,36,12,87.66666666666667,2,1,2,8,0,0.8330000000000001,2.224,0,0.205090909,0.234522805,0,90.66666666666669,0.0,2000,8,9,21,0,0,0,1,0,0,0,0,0,0,0,9990.119385226506,0,0,6.35,19.0,4.5,1.5,0.0,0.0,0.375,45.333333333333336,41.0,6.5,20.5,1.0,36.5,20.0,19.5,1.665,0.0,0.0,1.0,1.0,193.0,783.5,0.2875,6.5,0.0,3.5,1.0,0.5,3.5,0.0,6.5,4.0,0.5,3.0,1.5,0.0,3.0,34.0,56.5,0.2875,34.3,17.5,5.195,5.0,0.3775,0.4885,0.866,19.0,6.5,45.333333333333336,1.0,0.5,1.0,4.0,0.0,0.4165,1.0625,0.1172614025,0.0,0.0,2700.0
2006,2020,4.26,58,3,5,30,0,0.375,57.0,56,4,20,2,41,30,27,1.33,0,0,0,6,245,867,0.259,5,1,5,2,1,4,0,0,0,3,45,37,5,6,77,44,0.301,14.9,15.2,6.47,3.16,0.325,0.347,0.672,58,0,57.0,1,0,4,7,0,0.917,0.943,0,0.0821818182,0.76251558,0,403.0,0.0,1987,7,31,34,0,0,0,1,0,0,0,0,0,0,0,24811.81477269443,0,0,4.182,59.8,3.0,4.6,13.2,11.2,0.4082,66.4,66.6,4.6,19.2,3.4,56.0,33.8,30.8,1.298,0.0,0.0,0.0,4.2,281.0,1043.2,0.2623999999999999,7.6,1.2,2.2,2.2,1.0,4.6,0.0,0.0,0.0,3.0,23.2,29.4,1.8,7.8,81.2,52.2,0.3154,17.4,15.68,7.534000000000001,2.644,0.3204,0.3567999999999999,0.6772,59.8,0.0,66.46666666666667,1.2,0.0,4.0,6.8,0.2,0.8972,1.1529999999999998,0.14084597314,0.0,0.0,19402.76342698161
2019,2020,7.43,13,0,0,0,0,0.0,13.333333333333334,17,4,7,0,9,12,11,1.8,0,0,0,0,64,238,0.298,3,0,0,0,0,0,0,0,0,0,11,0,0,1,20,11,0.295,18.3,17.9,6.08,4.73,0.375,0.561,0.936,13,0,13.333333333333334,0,0,2,1,1,1.0,-0.055,0,0.00290909091,0.0159138821,0,16.666666666666668,0.0,1999,11,18,22,0,0,0,1,0,0,0,0,0,0,0,2780.232456155625,0,0,6.415,8.5,0.0,0.0,0.0,0.0,0.0,8.333333333333334,12.0,2.0,3.5,0.5,5.0,7.0,6.5,1.95,0.0,0.0,0.0,0.0,40.5,156.5,0.368,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.5,12.5,7.0,0.381,18.55,20.2,4.390000000000001,2.365,0.423,0.5305,0.9535,8.5,0.0,8.333333333333334,0.0,0.0,1.0,1.0,0.5,1.0,-0.026,0.007956941055,0.0,0.0,3000.0
2017,2020,6.57,13,0,0,0,0,0.0,12.333333333333334,8,1,14,1,8,9,9,1.78,0,0,0,0,59,249,0.182,2,0,0,0,0,1,0,0,0,0,4,2,0,0,16,12,0.2,19.2,20.2,5.84,10.22,0.39,0.295,0.685,13,0,12.333333333333334,0,0,0,3,0,1.0,0.023,0,0.00436363636,0.018737353,0,13.333333333333334,0.0,1999,2,9,22,0,0,0,1,0,0,0,0,0,0,0,2852.1001275244917,0,0,3.285,7.0,0.0,0.0,0.0,0.0,0.0,6.666666666666667,4.5,0.5,7.5,0.5,4.5,4.5,4.5,1.89,0.0,0.0,0.0,0.0,32.0,136.0,0.216,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.5,1.0,0.0,0.0,8.0,7.0,0.2665,21.1,21.6,7.42,9.61,0.395,0.2724999999999999,0.6675,7.0,0.0,6.666666666666667,0.0,0.0,0.0,1.5,0.0,0.5,0.03,0.00936867648,0.0,0.0,2700.0
2015,2020,1.74,15,9,0,0,1,1.0,93.33333333333331,58,7,18,0,102,20,18,0.81,0,0,12,0,348,1378,0.177,12,0,2,1,0,2,0,14,9,0,0,0,0,8,91,77,0.233,91.9,14.8,9.84,1.74,0.22,0.278,0.498,15,14,93.33333333333331,1,0,5,10,0,0.938,4.912,0,0.648,1.342850473,0,517.0,0.0,1997,2,17,24,0,0,0,1,0,0,0,0,0,0,0,20569.757915927432,0,0,3.96,28.8,7.0,5.8,0.0,0.8,0.6226,103.4,100.0,13.0,39.6,4.0,103.4,51.0,47.0,1.3259999999999998,0.0,0.0,5.8,0.2,443.0,1804.0,0.2454,17.8,1.0,3.6,1.6,0.2,8.6,0.6,18.0,6.6,0.4,2.4,1.4,0.0,8.4,98.8,93.6,0.3017999999999999,67.82000000000001,17.44,9.058000000000002,3.494,0.319,0.39,0.709,28.8,18.0,103.4,1.4,0.2,3.0,14.4,0.2,0.922,2.1746,0.26857009462,0.0,0.0,8830.452842720999
2008,2020,5.06,57,4,5,0,17,0.444,48.0,32,5,54,3,61,27,27,1.79,0,0,0,1,229,963,0.188,11,0,1,1,0,8,0,0,0,4,4,14,0,3,41,37,0.257,16.9,20.1,11.44,10.13,0.39,0.341,0.731,57,0,48.0,0,0,1,4,0,1.0,0.934,0,0.0778181818,1.065232236,0,490.6666666666667,0.0,1990,2,13,31,1,0,0,0,0,0,0,0,0,0,0,15358.289362677564,0,0,5.462,19.8,1.2,1.4,1.0,3.6,0.3888,19.466666666666665,16.4,1.8,18.0,1.6,20.6,12.2,11.8,1.73,0.0,0.0,0.0,0.2,91.8,375.6,0.2477999999999999,3.6,0.8,0.4,0.6,0.2,3.6,0.0,0.6,0.2,1.0,4.4,4.2,0.0,2.4,17.2,17.6,0.3128,22.92,18.62,8.764,7.282000000000001,0.3942,0.3856,0.7798,19.8,0.6,19.466666666666665,0.2,0.0,0.4,1.0,0.0,0.5,0.1964,0.04851565132,0.0,0.0,10384.268503158955
2013,2020,5.25,16,0,0,0,0,0.0,12.0,16,1,5,1,5,8,7,1.75,0,0,0,0,58,240,0.32,2,0,2,0,0,0,0,0,0,0,3,1,0,1,14,15,0.341,15.0,20.0,3.75,3.75,0.393,0.42,0.813,16,0,12.0,1,0,0,2,0,0.6670000000000001,0.07,0,0.00581818182,0.08428578,0,99.66666666666666,0.0,1990,12,24,31,0,0,0,1,0,0,0,0,0,0,0,7159.755539333373,0,0,3.9066666666666663,38.333333333333336,0.6666666666666666,0.6666666666666666,0.3333333333333333,5.666666666666667,0.2223333333333333,25.444444444444443,23.666666666666668,2.0,13.0,1.3333333333333333,17.666666666666668,12.333333333333334,11.333333333333334,1.47,0.0,0.0,0.0,0.0,111.66666666666669,446.6666666666667,0.2649999999999999,4.0,0.3333333333333333,3.333333333333333,1.6666666666666667,0.3333333333333333,1.0,0.3333333333333333,0.0,0.0,0.6666666666666666,4.666666666666667,8.0,0.0,1.0,21.33333333333333,31.33333333333333,0.2913333333333334,12.066666666666668,17.599999999999998,5.316666666666666,4.28,0.3563333333333333,0.3723333333333333,0.7286666666666667,38.333333333333336,0.0,25.444444444444443,0.3333333333333333,0.3333333333333333,1.0,5.0,0.6666666666666666,0.8890000000000001,0.4793333333333333,0.0210800982066666,0.0,0.0,5230.587124413382
