선수명,ID,팀명,타율,경기,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,희생번트,희생플라이,볼넷,고의사구,사구,삼진,병살타,장타율,출루율,OPS,멀티히트,득점권타율,대타타율,장타,땅볼,뜬공,땅볼/뜬공,결승타,볼넷/삼진,투구수/타석,순수장타율,추정득점,GPA
김동주,98218,두산,0.342,118,504,401,61,137,23,2,23,233,89,0,13,79,8,11,53,15,0.581,0.450,1.031,39,0.387,0.500,48,94,130,0.72,0,1.49,3.96,0.239,101.1,0.348
윤태수,71252,두산,0.333,6,6,6,1,2,0,0,1,5,1,0,0,0,0,0,1,0,0.833,0.333,1.166,0,0.000,0.200,1,2,1,2.00,0,0.00,3.50,0.500,1.6,0.358
안경현,92207,두산,0.333,128,539,475,65,158,28,3,10,222,72,6,5,48,2,5,43,21,0.467,0.396,0.863,45,0.328,0.000,41,113,166,0.68,0,1.12,3.45,0.135,79.3,0.295
정수근,95208,두산,0.321,89,294,262,32,84,11,3,0,101,17,2,2,24,1,4,27,1,0.385,0.384,0.769,21,0.313,0.370,14,67,86,0.78,0,0.89,3.45,0.065,40.1,0.269
최경환,70117,두산,0.297,115,344,313,44,93,16,2,4,125,28,6,4,20,1,1,56,4,0.399,0.337,0.736,25,0.286,0.300,22,80,88,0.91,0,0.36,3.53,0.102,42.4,0.251
강인권,95712,두산,0.291,67,207,179,17,52,9,0,0,61,17,7,2,18,0,1,28,4,0.341,0.355,0.696,13,0.350,0.000,9,53,48,1.10,0,0.64,3.89,0.050,21.4,0.245
홍성흔,99222,두산,0.290,73,263,241,20,70,12,0,7,103,36,2,5,15,0,0,44,8,0.427,0.326,0.753,19,0.242,0.000,19,69,63,1.10,0,0.34,3.66,0.137,32.3,0.253
장원진,92211,두산,0.290,124,429,386,46,112,23,1,5,152,48,4,4,31,1,4,38,6,0.394,0.346,0.740,30,0.272,0.391,29,124,116,1.07,0,0.82,3.76,0.104,52.4,0.254
김창희,97644,두산,0.274,121,328,288,36,79,12,2,3,104,36,8,3,27,0,2,36,14,0.361,0.338,0.699,22,0.287,0.267,17,100,76,1.32,0,0.75,3.81,0.087,33.0,0.242
홍원기,96723,두산,0.273,124,453,384,43,105,13,1,8,144,42,9,3,54,2,3,65,7,0.375,0.365,0.740,25,0.277,0.667,22,102,115,0.89,0,0.83,3.86,0.102,54.9,0.258
전상렬,91465,두산,0.262,125,436,386,58,101,15,4,1,127,29,4,2,30,0,14,56,4,0.329,0.336,0.665,27,0.245,0.125,20,118,113,1.04,0,0.54,4.08,0.067,44.5,0.233
이승준,99229,두산,0.258,24,31,31,2,8,2,0,2,16,3,0,0,0,0,0,11,1,0.516,0.258,0.774,0,0.000,0.300,4,5,7,0.71,0,0.00,4.03,0.258,4.0,0.245
심재학,95114,두산,0.236,111,322,276,28,65,16,0,5,96,27,0,4,39,1,3,44,6,0.348,0.332,0.680,15,0.173,0.304,21,65,106,0.61,0,0.89,4.31,0.112,35.0,0.236
강봉규,70224,두산,0.231,6,15,13,3,3,0,0,1,6,3,0,0,2,0,0,2,1,0.462,0.333,0.795,1,0.400,0.000,1,4,4,1.00,0,1.00,3.07,0.231,2.0,0.265
