데뷔년도,연도,타율,경기,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,희생번트,희생플라이,볼넷,고의사구,사구,삼진,병살타,장타율,출루율,OPS,멀티히트,득점권타율,대타타율,장타,땅볼,뜬공,결승타,투구수/타석,순수장타율,추정득점,GPA,경기(주루),도루시도(주루),도루허용(주루),도루실패(주루),도루성공률(주루),주루사(주루),견제사(주루),경기(수비),선발경기(수비),수비이닝(수비),실책(수비),견제사(수비),자살(수비),보살(수비),병살(수비),포일(수비),도루허용(수비),도루실패(수비),수비율(수비),도루저지율(수비),WAR,뉴스개수(연도별정규화),뉴스개수(누적정규화),수상횟수,누적타석,포지션 엔트로피,연봉,출생연도,출생월,출생일,나이,팀명_KIA,팀명_KT,팀명_LG,팀명_NC,팀명_SK,팀명_두산,팀명_롯데,팀명_삼성,팀명_우리/히어로즈/넥센/키움,팀명_한화,팀명_현대,포지션(수비)_1루수,포지션(수비)_2루수,포지션(수비)_3루수,포지션(수비)_수비기록없음,포지션(수비)_우익수,포지션(수비)_유격수,포지션(수비)_좌익수,포지션(수비)_중견수,포지션(수비)_포수
2005,2016,0.31,138,650,575,121,178,31,2,18,267,88,1,5,60,2,9,58,14,0.464,0.381,0.845,54,0.388,0.0,51,180,164,7,3.59,0.155,99.7,0.287,138,28,22,6,78.6,8,2,143,137,1181.6666666666667,16,0,341,406,105,0,0,0,0.9766566995768688,0.0,4.317,0.327586207,3.192824954,0,5808,0.0762112504675995,175000,1982,10,2,35,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
2005,2017,0.33,105,442,391,73,129,22,0,11,184,46,5,3,32,3,10,48,12,0.471,0.392,0.863,41,0.341,0.0,33,118,99,6,3.58,0.141,65.8,0.294,105,12,6,6,50.0,3,2,104,98,803.0,11,0,231,292,78,0,0,0,0.9753424657534244,0.0,2.884,0.151440834,3.344265788,0,6250,0.0355079342770365,110000,1982,10,2,36,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
2005,2018,0.304,102,425,375,63,114,24,1,11,173,57,1,3,39,1,7,43,12,0.461,0.377,0.838,30,0.326,0.0,36,122,99,3,3.59,0.157,61.1,0.285,102,11,6,5,54.5,8,0,74,72,575.0,11,0,310,118,59,0,0,0,0.9660017391304347,0.0,1.273,0.103668262,3.44793405,0,6675,1.1054045382769728,110000,1982,10,2,37,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
2005,2019,0.278,88,305,277,37,77,10,1,3,98,30,3,1,20,1,4,43,11,0.354,0.334,0.688,17,0.361,0.417,14,91,67,7,3.61,0.076,30.0,0.239,88,13,8,5,61.5,5,0,82,70,559.0,6,0,280,13,22,0,0,0,0.9791091234347048,0.0,0.543,0.190008921,3.637942971,0,6980,0.9500370136928584,35000,1982,10,2,38,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
1992,2002,0.288,130,548,486,50,140,24,4,8,196,58,7,6,44,0,5,65,13,0.403,0.349,0.752,40,0.244,0.0,36,152,135,0,3.59,0.115,67.3,0.258,130,9,5,4,55.6,0,0,167,130,1151.0,6,0,249,358,95,0,0,0,0.98295684911671,0.0,3.135,0.0283018868,0.0283018868,0,548,0.656373080627905,37500,1970,2,13,33,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1992,2003,0.333,128,539,475,65,158,28,3,10,222,72,6,5,48,2,5,43,21,0.467,0.396,0.863,45,0.328,0.0,41,113,166,0,3.45,0.135,79.3,0.295,128,2,1,1,50.0,0,0,130,128,1022.6666666666666,5,0,293,313,89,0,0,0,0.992039113428944,0.0,4.98,0.0120481928,0.0403500796,1,1087,0.0445910545995446,37500,1970,2,13,34,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1992,2004,0.28,125,525,447,57,125,20,1,10,177,51,9,2,54,2,13,44,15,0.396,0.372,0.768,33,0.248,0.0,31,121,159,0,3.54,0.116,66.1,0.266,125,11,8,3,72.7,0,0,127,124,1054.6666666666667,8,0,261,350,99,0,0,0,0.9873204804045512,0.0,3.419,0.0364963504,0.07684643,0,1612,0.1669025394522287,37500,1970,2,13,35,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1992,2005,0.293,105,415,355,54,104,19,0,4,135,62,4,3,44,1,9,39,10,0.38,0.382,0.762,25,0.346,0.0,23,98,117,0,3.81,0.087,52.1,0.267,105,3,1,2,33.3,0,0,108,101,794.3333333333334,3,0,216,259,75,0,0,0,0.9931351237935376,0.0,2.797,0.136563877,0.213410307,1,2027,0.1351716410923683,37500,1970,2,13,36,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1992,2006,0.284,125,499,423,45,120,21,0,15,186,70,5,5,50,2,16,45,19,0.44,0.377,0.817,29,0.337,0.0,36,116,147,0,3.54,0.156,68.6,0.28,125,4,3,1,75.0,0,0,144,119,963.6666666666669,9,0,635,139,66,0,0,0,0.9784330681425112,0.0,3.539,0.052407932,0.265818239,0,2526,1.3094477658652233,30000,1970,2,13,37,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1992,2007,0.274,109,400,351,26,96,17,4,2,127,49,4,6,33,2,6,27,13,0.362,0.341,0.703,23,0.278,0.2,23,103,131,0,3.38,0.088,43.4,0.244,109,1,1,0,100.0,0,0,103,98,793.3333333333334,2,0,802,61,71,0,0,0,0.998,0.0,0.963,0.122278057,0.388096296,0,2926,0.0,30000,1970,2,13,38,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1992,2008,0.257,51,134,113,9,29,5,0,1,37,12,1,2,14,1,4,16,3,0.327,0.353,0.68,6,0.159,0.267,6,30,40,0,3.58,0.071,14.4,0.241,51,2,1,1,50.0,0,0,38,29,234.0,1,0,224,21,21,0,0,0,0.996,0.0,0.197,0.0809031044,0.4689994,0,3060,0.0,8000,1970,2,13,39,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
